score,reple
10,아니 얘네 왜케 연기잘햐요?;;;; 진짜 걍 개좋앗음 쟤가 내 남친이길 바라고바랫네!!
10,세상으로부터 버림받은 두사람이 서로의 세상을 지켜주는 이야기
10,"연기, 연출, 엔딩 크레딧에 노래까지 완벽..."
10,세상은 우리를 지켜주지 않지만 어떤 누군가가 다른 누군가를 지켜줄수 있다. 앞으로 그런 누군가가 되고싶다.
10,주동우라는 배우면 믿고 봄.
10,진짜 말이 필요없음. 안 보면 후회한다. 주동우가 계속 우는 연기를 하는데 나까지 울컥해서 펑펑 울었다. 웬만하면 영화 리뷰 안 남기는데 안 남길 수가 없는 영화. 이양천새도 잘생기고 연기 너무 잘함. 대사 하나하나가 전부 명대사다. 솔직히 어린 아이들의 사랑이라고만 정의내리기에는 영화 안에 담겨진 메시지와 그들의 교차하는 감정과 교감 또한 너무 뛰어나고 감정선이 너무 좋았다. 상영관이 더 많았으면 거의 출석체크하러 갔을텐데 얼마 안 하는 게 넘 아쉬웠음.
10,오늘은 종일 이 영화 생각만 날듯...
10,주동우의 연기가 여전히독보적이다
10,"주동우는 매번 연기의 끝을 보여주는 것 같아요,너무 감동적이었고 이양천새 쨩 ㅠㅠ??"
7,주동우와 이양천새의 연기는 그저 소름돋는다.
10,진짜 부족한 거 하나 없어요꼭 보세요 강추합니다그리고 학교에서 학생들에게 이 영화 틀어줘도 좋을 만한 스토리에요
10,영화가 끝나고 그 누구도 자리에서 일어나지 않았다 이거 하나로 정의된거 아닐까
10,아련한 포스터로 숨겨진 짙고 쓰린 영화
10,이런영화가 많아졌으면 좋겠습니다
10,주동우 당신은 대체..
10,"포스터로 봤던 청춘로맨스 느낌과는 달리 실화바탕의 영화였다. 학교폭력과 비극적인 가정사로 힘겹고 외롭게 살고있던 두 사람이, 서로 의지하고 배려함으로써 마침내 오롯이 죗값을 치르고 자유로운 세상으로 나아가는 모습이 감동적이었다. 두 주인공의 연기가 빛났던 다시 보고 싶은 영화!"
10,"처음으로 리뷰남깁니다. 여운이 꽤 오래 가네요.. 정말 잘만든 영화, 감동있는 영화 입니다. 남주 여주 캐슷도 너무 딱이고, 감정이입되서 계속 울면서 봤네요.. 추천, 또 추천 합니다."
10,무거운 이야기에 로맨스 한 스푼
10,학교 폭력과 그 안에서 두 사람의 낡고 축축한 사랑이 돋보였던 영화입니다...개인적으로 두 사람의 연기가 너무 좋았습니다. 진짜 댓글 알바 아님;; 오랜만에 몰입도 정말 높은 영화를 봐서 좋았습니다 ㅜㅜ
10,
10,"이 영화를 볼까 말까 고민을 했었는데 보고 온 저 자신을 칭찬해요 진짜 ㅠㅠ이양천새 아련한 그 눈빛,, 주동우의 섬세한 연기에 진짜 치이고 나왔습니다 사랑해여ㅜㅜㅠㅠ"
10,"아련미가 있는 &#34;소년시절의 너&#34; 포스터. 로맨스를 주로 이룬 영화처럼 보이지만 실상은 그보다 사회문제를 많이 담아낸 영화이다. 현 시대에 살아가는 청춘들이 겪고 있는 사회의 무관심으로 인한 소외감, 외로움, 그리고 그 속에서의 사랑을 표현해 아픈현실과 마주하는 우리의 모습을 잘 나타낸 영화인 것 같다."
10,이양천새 사랑해!!!
10,예고편이 영화를 못 담음 오랜만에 제대로 된 중국영화 봤네여
9,진짜 생각보다 재밌어서 놀랐다상영관 갔는데 볼 게 없어서 예고편 바로 보고 괜찮을 거 같다 싶길래 봤지만 진짜 예상외로 무거운 이야기를 담고 있었고마냥 로맨스가 아닌 여러가지의 주제를 담고 있었다.
10,
10,중국 영화는 진짜 안보는데 벌써 두번이나 본 영화... 진짜 최고의 영화다 ... 다들 꼭 봤으면 좋겠다 ...  아직까지 여운이 남고 마음이 무거워지는 그런영화다 .. 결론은 꼭 보세요 ..ㅠㅠ
10,"나의 소녀시대같은 평범한 청춘물을 생각하고 가볍게 들어왔다가 결국은 울면서 나왔다. 아픈 내 어린시절을 떠올리기도 하고 공감하고 감동하고 나왔다. 처음에는 배우들의 외모만 보고 약간 실망했지만, 이 내용 이 주제와는 정말 딱맞게 잘 캐스팅했다고 생각한다. 배우들의 연기가 아주 뛰어나다. 올해의 인생영화에 등극한 기분."
10,이 영화 본지 쫌 되었는데 영화관에서 다시 보니 감동이 더 커지더라고요ㅜㅜ처음에는 주동우 팬이었는데 영화보고 나면 이양천새까지 팬되는 영화랍니다! 꼭 보세요
10,주동우 팬이라 개봉 하자마자 아침부터 달려가서 봤는데 좋다좋다 하더니 진짜 너무 좋았고 연기 진짜 소름돋게 잘하고.... 영상미 쩔고 스케일쩔고... 음악 나올때마다 소름 돋고 보면서 여섯 번이나 울었다고ㅠㅠ 솔직히 보기 전에 기대 컸는데 보고나니까 더 좋았다 진짜 제발 꼭 봤으면 좋겠다 내 인생영화!!!
10,주동우... 세계적인 배우가 되어야 한다 .. 감정의 끝을 가본느낌 마저 든다..
10,"개봉 전에 이 영화를 인터넷에서 처음 보고 며칠동안 여운이 심해서 계속 돌려보고 몇번을 다시 봤던 영화였어요 극장에서 보니까 더 감동적이네요 이 영화를 보고 이양천새팬이 되어서 저한텐 더 특별한 영화예요! 이양천새의 목소리와 연기는 정말 중국 아이돌이라는 생각이 안들정도로 완벽했어요 주동우의 연기는 워낙 &lt;안녕 나의 소울메이트&gt;,&lt;먼훗날우리&gt;를 너무 인상깊게 봤어서 믿고 봤던거 같아요영화를 통해서 학교폭력의 심각성도 깨닫게 되고 방관자가 피해자가 되는 상황도 너무 화나고 슬펐어요 이런 좋은 영화를 극장에서 보게 되어 정말 다행이라고 생각해요"
10,연기를 왜케 잘해...
10,"진짜 명작 다들 한번씩 보셔도 후회 없습니다 특히 후반부로 갈수록 배우들 연기도, 배경음악도 정말 훠몰아치는 느낌... 긴 말 필요없이 중국 박스오피스 1위한 이유가 있다ㅠㅠ"
10,진짜 2시간이 하나도 안아깝고 전혀 지루하지 않았어요 특히 주동우 배우와 이양천새 배우의 눈빛 연기는 진짜 소름 돋을 정도로 너무 좋았고 가장 기억에 남는 거 같아요 다들 꼭 보세요
10,그들이 울때 나도 하염없이 울었다.그들의 상처가 치유되길 진심으로 바란다.
10,올해 본 것 중 최고의 영화
