score,reple
10,재밌으면 추천 재미없으면 비추천 눌러주세요좀 있다가 어머니랑 영화 볼려고 해요 어머니께서 엄청 좋아하셨습니다. 부모님이랑 함께 보기 좋은 영화인거 같습니다
10,아.... 내가 판소리를... 보고..눈물을.. 흘릴줄이야....
10,"시사회 보고나서 개봉하고 한번 더 봐야겠다는 생각이 들 정도로 재밌었어요. 초반에는 살짝 지루한 감이 없지않아 있는데 중반부부터는 시간가는줄 모르고 봤네요! 배우님들이 연기도 너무 잘하고 소리도 진짜 너무 좋아요 더운 여름철에 소리꾼으로 귀 정화하는 느낌 입니다..ㅠㅠ 그리고 가장 좋게봤던건 영상미였는데 카메라 구도나 영상색감이 너무 예뻤어요! 리틀포레스트의 초가을 버전 같은 느낌의 색감이라서 좋았고 풍경과 색감,구도가 한데 어우러져서 보는 내내 즐거웠습니다. 꼭 보시기를 추천드릴게요!"
9,오랜만에 눈호강 귀호강  했내요
9,판소리 듣고 울다니 색다른 경험이었습니다
10,살아있다 결백 보다 재밌으면 따봉
10,영화내용도 좋고 이봉근님 소리에 반하고 +몰락양반 김동완님 연기도 영화에 잘 스며든거 같고 감동도 있고 흥했으면 좋겠어요
10,평소 영화를 안 좋아해서 처음에 걱정 많았는데 지루한 부분없이 처음부터 끝까지 재밌게 보고 온 것 같습니다.감동과 재미를 둘 다 잡은 영화인 것 같아요.
10,대사에 어색한 부분이 있지만 모든 것이 용서되는 청이의 연기력! 그리고 두 개의 이야기가 동시에 진행되는 것이 감동을 더함. 만들어가는 이야기의 매력이 철철~~~
10,코로나블루 시대에 이렇게 힐링하고 가네요. 심심한 것 같아도 자극적이지 않은 담백함으로 감동까지 얻어갈 수 있어 가족과 함께 다시 보러 가야겠어요.
10,모처럼 눈도 귀도 마음도 즐거운 영화 :) 덕분에 행복했습니다
10,평소 액션 같은 영화만 즐겨보는 나에게 이 영화는 색다른 즐거움을 선사하였다. 추천하는 영화이다. 이영화는 앞으로 천만관객되어도 손색없을것같다. 그만큼 추천한다.
10,"아쉬운 부분들도 있었으나 따뜻한 영화였고 개인적으로 이봉근 씨의 연기와 소리에 감동 받았네요. 다만 소리하는 부분이 좀 더 많았더라면, 그리고 부모님과 함께 보았다면 더 좋았을 것 같습니다."
10,다른영화들과는 다른점이 많아 신선하게 봤습니다ㅎ초반에는 살짝 지루한 감은 있었지만 중간부터전개도빠르고 판소리와 연기 스토리 전체가눈과 귀를 호강시켜줘서 별점 5개 누르고 갑니다ㅎㅎ
10,친구들이 보고나서 기대안했는데 보기잘했다고 이런 멋있는 영화인줄 몰랐다고 놀라워했습니다.**** 영화보다 훨씬 좋습니다.정말 강추합니다!!~~~
10,극장에서 혼자 보고 너무 좋아서 가족이랑 vod로 다시 봤는데 애들이 너무 좋아하네요. 올해 최고 힐링 무비였어요...가족들이 함께 보시는거 정말 추천드립니다. 아이들 교육적으로도 재미적으로도 최고에요!!
10,영화평점 처음 남겨요너무 재미 있어요ㅎ
10,"꼭 보면 좋을 영화다. 관람하는 내내, 우리 것의 소중함이 느껴지고 지키고 싶은 소중한 문화유산이라 생각되어진 시간이었다."
6,살아있다 보지 말고 이거 보세요 좀 더 가치있어요
10,판소리라는거에 크게 관심없어서 기대없이 봤는데진짜....너무 감동이였고 한국판 뮤지컬이라는말이 딱 맞는거같아요 전개도 너무 흥미롭고 꼭 보세요 진짜 후회안합니다ㅠㅠ 부모님이랑 봐도 커플끼리 봐도 너무 재밌고 감동있는 영화입니다 강추요ㅠㅠㅜ판소리에 흥미없어도 꼭보세요 없으면 더보세요 꼭!!!
10,어라? 모지?하고 생각하는데 눈물나고 있음.판소리로도 이게 되는구나 싶음.
8,진부해질수도 있는 심청전과 춘항전 의 소재를 소리꾼 의 현실과 오버랩하여  재조명한  한국형 뮤지컬 드라마 로서 서편제 처럼 판소리 가  메인인 우리소리를  잘 보여준 영화
10,김하연양 연기가 감동이었습니다!!!대성할 배우..더 많은 작품으로 만나길 고대합니다.
10,개봉날 아침 첫프로 보고왔어요남자 주인공의 소리. 연기 대단합니다.이유리와 다른분들도 이질감 없이 잘 섞여있고..기대안하고 그냥 흘러가는듯이 보고 들으며 감상하면 마음이 편합니다~한편의 뮤지컬? 연극? 보는 것 같았어요!두시간정도라 시작전에 좀 긴데? 했는데가만 보고 있으니 금방 끝나더라구요
