score,reple
10,후회안하실겁니다 솔직히 여러분 액션스케일크신거같은영화나스펙좋은영화필요없어요 설경구씨오열하는데진짜같이울엇습니다 마음이착잡하면서따뜻하네요 7번방의 단순 눈물짜기랑은다른깊이네요 연기너무좋고 강추요
10,살다살다 이런 영화를 보다니.7번방과 비교도 안된다. 내 인생 최고의 영화다. 연말에 시상식 휩쓸듯!이런 영화 만들어줘서 감사합니다.
10,펑펑울고싶으시면보세요정말따뜻하네요설경구씨역시믿은만큼짱이네요 중간에 코코몽너무귀여웟어요 ㅋㅋ 딴영화보다이거믿고보세요 솔직히 ㅋ
10,오랜만에 울다가 나온 영화
10,우리나라 법좀 개선되라 진짜 ㅡ.ㅡ 술먹으면 형이 줄어드는게 말이되냐 진짜
10,아픔을딛고 일어나는 가족!!~~힘내시고 사랑합니다
10,소원이는 울지 않지만 극장 안은 눈물바다...
10,정말 현실감 있게 그리고 그  범죄만  보여주는게  아니라 어떻게  치유해가야하는지  그리고  범죄를 바라보는  시각이 어떻게 되어야하는지도  정확히  알게해준 영화라  생각이 드네요  술은 심신미약상태가  절대  아니라는것도 ...
10,보고 싶은데 자신이 없어요...그냥 제목만봐도 눈물나요...보고 있으면 가슴이 답답하고 먹먹해질거 같아요...4살된 딸아이 키우고 있습니다..
10,진짜 보는 내내 울었다.. 억울했다... 그리고 슬펐다...두번세번도 볼수있는 영화다... 개봉하자마자 첫타임에 봤는데... 설경구 역시 최고였습니다...
10,이 영화를 계기로 나영이 사건이 재조명 되어조두순에게 사형 재판이 내려지길 간절히 기도해 봅니다그리고 나영이 팔아서 만든 영화라고 표현하고폄하하시는 분들 귀댁의 자녀에게도 같은 일이 꼭 생기시길남의 일이라고 막말하지 마세요 사필귀정 인과응보
9,우리나라 사람이라면 한번 쯤 꼭 봐야할 영화라고 생각합니다
7,억지감동 눈물짜내기 오글거리는 장면이 없어서 좋음
10,"주연,조연 배우들이 연기를 너무 잘해서 몰입도 최고 였어요"
10,"군더더기없이 치유와 극복에 대하여 그려낸 섬세한 작품.이레양과 설경구, 엄지원, 김해숙, 라미란씨등 깊이있는 연기에 두번감동합니다. 억지스러워 눈물을참고봤던 7번방과는 차원이다릅니다. 남아있는눈물까지 쏟아내고싶어졌어요"
10,아역 배우 이레양? 정말 연기 잘하더라구요ㅋㅋ 놀랐습니다
10,법이 바뀌어야 한다 반드시 보는 내내 분통.
