score,reple
10,별점 2개 반점 준 초딩은 누구냐?이 영화는 인종주의를 옹호하는 정통 서부극이 아니라 인디언을 비판어린 시각으로 보는 백인을 비판적인 시각으로 보는 수정주의 서부극이다. 알지도 모르면서 이 영화를 함부로 평가하지 마라 초딩들아
10,"관람자를 압도하는 영상, 짧은 시간에도 선명한 로맨스와 유머, 부족함이 없는 완전한 인물들, 그리고 거대한 풍광을 담아내는 촬영은 기원에 가깝다. 반 세기를 넘는 현대성과 영상만큼 압도적인 존 웨인의 눈빛마저 모두 역사적이다."
10,복잡한 이론 다 집어치고... 일단 재밌자나
10,가장 휼룡한 서부극이자  모든 것이 담겨있는 영화
7,볼만하다 존웨인의 남성미를 느낄수있다
10,평점 조절이 필요함. 7점대 영화는 아니라고 생각한다.
10,"이 영화는 인디언 과 백인의 대결이나 정복자 피정복자...뭐 그런 사상이나 이념 그런 거 떠나서 그냥 하나의 서부극 영화로 봐야 함. 미 남부 배경이 멋있고, 마지막 영화 끝나기 전에 존 웨인이 홀로 등을 돌린 채 홀로 터벅터벅 걸어 가는 뒷모습이 아주 애절했던 기억...미 서부극의 수작임."
9,보수주의자가 새로운 질서.첨 보는 세계에 직면할 때의 반응은?미국의 서부를 넘어 전 인류가 질문해 볼 주제.
10,
10,와~~~57년도에 한국서 개봉 했다면 나도 태어 나기 한참 전이네 ~ㅎ 존웨인 할아버지 나온영화 아니 명작이겠지? 지금 tv The Move방송에서 해주고 있네
10,서부 영화 하면 떠오르는 영화는 수색자와 역마차(짱임)둘다 존포드의 영화...존 포드 이전에 존 포드 없고 존 포드 이후에 존 포드 없다(리얼)적어도 서부 영화라는 장르 자체에서는 그렇다.그러나 개인적으로 제일 좋아하는 서부 영화는 오케이 목장의 결투
10,유일하게 재밌게 본 50년대 서부극. 애매한 수정주의는 약간 아쉽다
8,시간이 지나도 볼만하고 매력적인 대표 서부극. 여주인공들도 하나같이 이쁘다.
7,존 포드의 걸작이라고 해서 봤는데 웅장한 서부를 배경으로 한 아름다운 장면을 빼면 그닥 건질게 없어 보인다.
8,백인위주의 전래의 서부극과는 시각이 좀 다른 영화. 한때 우리 백인 우월적인 서부극에 열광햇지요. 마카로니 웨스턴이 우리의 의식을 일깨웠지요.
10,존포드가 만든 최고의 예술이자 모든영화를 통틀어 걸작에 손꼽히는 영화 보고난뒤 많은것을 생각하게 해준다
7,The Searchers
10,"백인의 善과 인디언의 惡을 비틀어버린, 백인우월주의 서부영화의 종식을 알린 영화."
10,복수는 복수를 부르고..
10,서부는 무조건 10점..
5,60년 가까이 지나니 빛바랜 모뉴먼트 밸리.
10,배댓 왜 이러죠..? 중학생으로서 말하는데 자꾸 초등학생이라고 계속 놀리는건 아닌거 같습니다. 모든 초등학생이 그런것도 아니고 일부들만 그러는건대... 초등학생때 재밌게 봤는데 왜 이런 초딩까는 글이 베댓인지 의문이네요..
10,인종차별적인 영화가 아닌 것은 알지만 그래도 인디언들이 처참히 쓰러지는 장면들은 무척이나 슬펐다.
7,수정주의 서부극이라고 불리우기에는 좀 예매하다
6,존 포드 특유의 원주민들을 왜곡 하는 연출이 많지만  반대로 백인들을 비판하는 내용도 많다. 존웨인이 절대자로서 모든 걸 해결하던 이전 영화들과 달리 존웨인은 잘못된 선택도 하고 자신의 결정을 번복하는 모습도 많이 보여주는 것도 신선하다.
5,인종주의는 존포드의 한계
1,노잼 영화.... 어디가 걸작인지
