score,reple
10,레이스를 주제로 한 애니메이션이라 너무 즐겁게 관람햇네요~
9,강아지 넘 귀염뽀짝..보기만 해도 시원해서 지금 보기 딱 좋은 영화
10,조카랑 함께 봤어요ㅋㅋㅋ 너무 좋아하네요
9,속 뻥뚫리는 시원한 레이스ㅎㅎ 겨울 영화같아보여도 여름에 딱 어울렸음 댕댕이도 졸귀
10,24살먹고 혼자봤는데 너무 재밌음...
10,캐릭터들이 귀엽고 시원한 레이스를 즐기는 스토리 좋았습니다 슈퍼 레이스 홧팅!
10,무더위를 잊어버리게 하는 영화였어요~ 같이 레이스를 시원하게 펼치는 기분이 들었습니다~ 강추!
10,조카한테 사랑받는 방법! 오스트 넘 좋음
10,더운 여름에 시원하게 달라는 레이스보니 너무 좋았어요!캐릭터 왜이렇게 귀여운건지ㅋㅋㅋ
10,정말 재밌게 보고 아이들에게 교육적으로도 좋아서 주변에 추천해 줬는데 상영관이 너무 없네요.. 하루에 한번 상영은 진심 너무한거 아닌가요? 주변 극장에서 전부 반도만 틀어주니 참 볼수가 없네요;;
10,"정말로 아이들과 보기 딱 좋은 애니메이션 입니다. 유쾌함과 감동, 시원한 레이스가 잘 어우러져있고 OST가 전부 좋네요. 귀에 착착 감기는듯. 마스크 잘하고 정말 재밌게 보고 왔습니다!!"
10,조재윤 홍보대사....잼나다
10,여름인데 넘 잘어울리는 썰매영화~~~너무 재밋었어요:)
10,와 이 영화 짱이에요^^ 제가 잭같이 나쁜 자식은 이 만화영화에서 처음 봤었어요ㅠㅠ 하지만 프랭키와 친구들이 멋지게 이기더라고요?^^ 다들 이 영화 강추니까 꼭 봐보세요^^
8,6살 아들이랑 함께 봤는데 아들이 끝나고 난 후에 '진짜 재미있다' 를 외쳤답니다. 성인들이 보기에도 괜찮아요~
10,"7살 딸아이가 정말 재밌게 봤다고 얘기해주었어요. ""엄마, 친구랑 싸우는 것보다 친구들이랑 재밌게 노는게 더 좋은거지요~"" 하는 말을 들었을 때 이 영화 잘봤구나, 싶었어요!!!"
10,강아지가 달려가는 것같았다.
1,알바 풀지마애니메이션이 이렇게 지루할수도 있구나..별 얘기 아닌데 시간만 끔
6,"아이들 눈높이에는 나름 잼나고 감동있는데 겨울왕국, 모아나 등등의 대작 애니메이션처럼 어른들의 감동폭은 솔직히 안 높습니다. 아이는 좋아하고 즐겁게 봤습니다. 아빠는 대신 졸았네요ㅠㅎㅎ;;"
8,
8,스토리 보통 수준.애니메이션 퀄리티 나름 높음.초등 저학년 잘 봄.초등 고학년 중간에 나감.성인 잠.ㅠㅠ
6,나만 그런가 좀 재미가
1,잤다  한마디만하고간다~~~
1,와 평점 다 알바인거같네요 전부 5점 평점 올라온 날짜 시간대도 겹치네요7살 아들이 단 한번도 웃지않네요처음부터 끝까지 곤욕스러울 정도로 지겹고 재미없어요역대급 망작입니다..감동도 없고 캐릭터도 별로고아이들 데리고 보러 가시면 후회하실거예요저희도 보다가 결국 나왔어요
