score,reple
7,휴 잭맨은 악역을 해도 선역같이 멋있네~ ㅋ
8,어느 순간 드라마장르가 바뀌는데 이질감이 없다.
10,정말 잘 만든 영화. 역시 우디.
7,장르를감독의 뛰어난 재치로 바꿔버리네요 볼만해욬ㅋㅋ
7,우디 알렌 스타일의 유쾌함이 느껴지는 영화
10,보기에 유쾌한 영화였다. 특히 우디 앨런 감독이 제일 재밌었다.
6,부담 없이 가볍게 즐기는 로맨틱 코미디와 약간의 범죄 수사
8,"스칼렛의 약간 푼수같은 스타일연기 ㅋ 베플 감상평이 나랑 같은 생각 ""부담 없이 가볍게 즐기는 로맨틱 코미디와 약간의 범죄 수사"""
6,죽어서도 수다떠는 우디 알렌 ㅋㅋㅋ
8,이 영화 매력있네.. 근데  포스터가 저게 뭐야..
10,위대한 쇼맨 보고 휴잭맨 영화찾다가 스칼렛이랑 같이 나왔다길래 고민없이 바로봤음! 이남자는...정말 악역을 해도 이렇게 멋잇니..ㅜㅜ 스칼렛도 그렇고 둘다 풋풋한 모습보는 재미도있었고! 우디앨런 넘 웃김ㅋㅋㅋ
8,스칼렛 요한슨의 요상한 매력
10,재개봉으로 봤어요. 휴잭맨의 비쥬얼덕에 (심지어 젊은 시절의 휴잭맨이라니!!!) 악역인거 알면서도 사랑에 빠질수밖에요ㅎㅎ 우디엘런식의 유머는 정말 최고. 로맨틱코메디에서 넘나 자연스럽게 호러로 장르체인지 ㅋㅋ 미친듯이 웃으며 본 유쾌한 영화!!!
10,앤딩 뭔데 상큼함 ㅋㅋㅋ
7,꽤 잔혹한 사건을 판타지스런 계기로 끌어들이고 해프닝처럼 풀어내는 앨런식 마술 ㅋㅋ
10,휴잭맨 멋있다. 그리고 꽤 볼만한영화
10,I love it
9,역시 실망시키지 않는 이야기꾼 우디
7,나이가 들수록 우디 앨런은 더 노련한 이야기꾼이 되는 것 같다. 스칼렛 요한슨 친구를 보는 재미는 숨겨진 뽀너스.
9,우디알렌 감독이 th-th-the 더듬거리는 소리로 내뱉는 유머가 영화를 잡아준다. 이 감독의 영화를 사랑한다면 충분히 웃으면서 즐길 수 있는 영화. 더불어 두 남녀 주인공의 연기도 눈이 즐겁다.
6,감독의전작들에 비해 유머가 조금 딸렸으나 한번쯤은 볼만하다.가장 기억에 남는대사는 세상모든일이 그렇게 나쁘지많은 않아~사실은전부다지만..
10,우리 앨런의 깨알 유머~ 로맨스 스릴러 코미디~
8,그의 수다 앞에선 미스터리도 밝아질 수 밖에 없다
7,뭐 그렇게 재밌진 않은데 볼 만 함 ㅋㅋㅋㅋ
7,우디앨런 스러우면서 아주 재밌는 영화.  우디앨런 특유의 더듬거리는 수다쟁이 역할이 잘 어울렸다.
7,연인과함께 극장에서 보기딱좋은무뷔!
6,우디 알렌식 유머와 전개는 좋았으나...
6,"예전처럼 신랄한 맛은 없지만, 지루하지 않은 여행 같은 느낌."
7,70의 감독이 만든 영화가 이렇게 귀여울 수가.
8,평점넘낮다 섬세한 코메디상황설정들이 넘 좋다 스칼렛요한슨 연기역시 일품
10,무서운 살해와 죽음의 현장이 이렇게 밝아질줄이야~~
9,살인사건을 이렇게 담백하게 그려낼 줄이야.
5,"우디앨런 영화 중 하위권 탑5안에 들어가지 않을까. 재치도, 로맨스도, 의미도 없다"
5,"애런과 스칼렛 말싸움, 앨런 정신사납게 더듬으면서 말하는 게 주를 이루는데 멀미 나올 지경이네 으으"
6,우디앨런 연기가 싫다.
9,즐거운 시간이었습니다
5,우디앨런 영화라서 봤는데.. 재미는 있는데 그닥이네요~ ㅋㅋㅋ
8,재개봉 영화지만 유쾌하게 다시봐도 좋은 우디앨런영화ㅎ
6,우디앨런스러움이 뭔지 알게된 영화 슬픈 결말조차도 유쾌하게
9,잔잔한 전개 좋아요~~
10,이것도 재개봉이네 역시..
10,"유머와 나름의 스릴이 잘 어우러진 영화.가볍게 즐기기 안성맞춤.+멋짐 그 자체, 휴 잭맨."
9,갈수록 우디 앨런이 주인공이네ㅋㅋ 재밌다
10,우디앨런과 스칼렛 요한슨의 즐거운 수다
10,언제 봐도 재미있는 우디 앨런의 작품
8,맨중맨과 스칼렛요한슨의 풋풋한 모습 좋다 ㅋㅋ 우디앨런의 수다는 넘 시끄러웠어... 간만에 재기발랄한 영화 좋았다!
9,"..,,..,,..,,"
4,한줄평남기는시간이아깝다
7,음.. 이건 뭔가 좀 빗나간 것 같은.. 매치포인트 이후의 실패작인듯한.
7,"뉴요커 특유의 뉘앙스는 옅어지고 헐리우드 가면을 쓰고 수다를 떤다. 가벼운 대화 안에 스민 '결국 사람, 결국 사랑'"
9,스칼렛 너무 귀엽고 이쁘다
7,8점을 줄까하다.연극같긴한데.기대없이 볼만해요.우디알렌좋아요.
8,"유쾌한 상상 , ..가벼운 반전"
6,무엇인가를 표현하려고 했지만 그것이 적절하지 않았다. 인지부조화
8,멋진 연극.
7,믿고 보는 우디 앨런
10,우연과 삶의 희비극을 유쾌하게 그린 걸작.
