score,reple
3,에라이  ))))((((
1,진짜로 엄청 재미없어요.돈아까움 금방 무료로 올라올듯
2,공포영화를  보고싶었는데 개같은 촌구석 영화관에 딱하나있던 공포영화가 이 개같은 영화였다는게 참을수 없이 화가났다 그와중에 엔딩크레딧 ost는 내취향이라 이노래를 듣기위해 1시간짜리 광고를 본 기분이었다
1,나만 재미없었나? 보는 사람도 적고 방영하는 곳도 적고 보다가 지루해서 거의 자면서 봄ㅠ 감독 소설은 좋아하는데 영화는 아닌듯;;
1,[안보는게 낫다] 라는  분... 무섭지 않으세요??? 영화의 내용은 [안보면 죽는다] 입니다... 난 봐서 살았는데.. 내 소중한 시간이 죽었습니다..ㅠㅠ
2,.... 이것도 공포 영화라고 참나.. ..  전설의고향보다 못하다
1,"그냥 ,, 정말 전형적인 일본느낌의 공포영화..귀신은 정말 웃겼다 .. 박나래씨가 맘먹고 분장하면 더 무서울듯하다.퀄리티도 높을듯 주인공 의문의1패의 정말 얼탱이 없는 최악의 결말.시라이는 꼭 피하시고 차라리 살아있다를 보겠소"
1,유튜브에서 토요미스테리극장 아무거나 두번 보는게 더 낫습니다 이영화는 쓰레기예요 주인공들이 링처럼 살고싶은 의지가 전혀없음 남주는 아 귀찮아 대충죽고 끝내자 이런느낌이고 여주는 있으나 마나임
1,진짜 개 노잼... Btv로 11000원주고 봤더만무서운장면은 10분도 안나오고무서운장면의 CG도 어이없어서 웃겼음 ㅋㅋ스포같아서 말은 안하겠지만 진짜 충격적으로 어이없는 부분 많으니 1000원 되면 보던가 보지말던가 하세요
1,cg 장난치냐...
4,찍다가 만 결말 인정 보면서도 예상되는 전개 끝부분은 뭐 어쩌라고? 말하게 됨 찝찝하다 돈 내고 볼 만한 영화는 아님 집에서 vod로 보는 게 딱인 영화
5,분위기도 괜찮고 귀신디자인도 모션이나 생김새나  참 기분나쁘게 잘만들었다. 다만 등장인물이 괜히 좀많고 산만하긴한데이걸 다떠나서 영화를 왜 찍다말았냐 한 30분어치만 더찍지 ㅠㅠ
4,상영관이 많이 없을 때에는 다 그만한 이유가 있었구나.
6,스토리 자체는 나쁘지 않았다 하지만 영상 이어지는 부분이 부자연스럽다 그래도 귀신이미지는 생각보다 좋았다 결말은 뭐 개찝찝하게 끝난다
5,무서운건 알겠는데여 결말이 진짜 개 뭐같아요
1,진짜 보지 마세여... 연출이며 내용전개며 말수도 별로없고 그냥 OO노잼이네..어휴 이게 영화냐...
1,내용 연결도 안되고 뭔 개 노잼 진심 돈아끼세요~찍다가 포기한듯 연기도 발로하고 심함
8,찍다가 만 것 같은 결말만 제외하면 나름 괜찮은 호러라고 생각됨. 피카디리에서 봤는데 옆에서 팝콘 드시던 남자분이 깜짝깜짝 놀라더라고요.
8,노원 밤 12시꺼 봤는데 사람 별로없어서 그 분위기가 무서웠던거같음 한번쯤은 돈주고 봐도 ㄱㅊ을듯마지막 조금 아쉽
9,공포 영화치고 스토리도 있고 요새 장마철이라 그런지 더 무섭게 느껴졌음 심장 떨면서 봄
1,눈알 빠지는 cg는 엉성하고 시라이상은 서양판 착신아리 포스터처럼 생겨가지곤 포스도 없고 뭘 생각하고 만든 영화인지 모르겠다.
1,시마이---1---
4,시라이상 귀엽게 생겼음
2,저만 당할순 없다는 생각을 버리고솔직하게 쓰겠습니다 보는 도중에 졸림도 오고 런닝타임이 일년처럼 느껴졌습니다대단히 실망 했습니다 그래 15세니까..그런거라 좋게 생각하려 합니당 정신건강에 않좋으니까요 ㅠㅠ
1,내가 뭘 본건지 모르겠는 영화
1,공포는 1도없고 시라이 나올 때마다 면상 땜 개웃었음 외계귀신인줄ㅋㅋㅋ
1,그냥 총체적으로 답 안나옴
1,보지 마시길바랍니다.
1,재미가 없어도 너무없습니다더이상 말은 생략하겟습니다
4,시라이...시...마리나가 떠오르더라
8,결말이 너무 흐지부지 .... 엔딩 나오고 이게 끝이야? 하게 됨 ... 스토리 자체도 좋고 일본 공포영화는 귀신 얼굴 잘 만들어서 좋고 뭔가 친근한 귀신느낌 .. 그저 볼만함
2,와.너.무.무.섭.다.연기들은 다 좋았는데 애매한 결말과 찝찝한 스토리 내용이 흐지브지합니다
7,스토리가 좀 더 있었다면 좋았을 텐데
9,"이에는 이 (Tooth for Tooth), 눈에는 눈 (Eye for Eye). 기발한 귀신퇴치법."
1,"링의 사다코, 주온의 카야코 급의 귀신을 만들고 싶었던것 같으나..잘 쳐줘야 그 둘의 하위 호환. 긴장감이 너무 부족한 것 같다."
1,
2,기대하고 봤는데 진짜 재미없고 지루하고 졸렸음..
1,아.. 평점 처음 남긴다..에라이!!
4,에라이!! 에라이 에라이
1,그냥 노잼임. 무섭지도 않고 보다가 어이 없어서 웃음만 나옴.
2,재미 ㅈㄴ 없으니까 돈내고 보지마세요 ㅎ
4,뭐지?? 연결도 부자연스럽고 ㅋㅋ
9,혹시 블룸하우스의 ㅌㄹㅅ ㅇㅇ ㄷㅇ?그래도 결말이 다르네.분장도 과하지 않고 좋았음.근데 ost 알고 싶다.
2,귀신 나올 때 만큼은 무섭다
1,링 주온보다 못함  귀신디자인은 맘에 드네
1,진짜 평점같은거 처음달아보는데 후회하지말고 절대 보지마세요 진짜 한시간보다가 재밌어지겠지하고 쭉보면서 중간에 뛰쳐나올뻔했어요
1,"후회하지말고, 시라이 절대 보지마세요"
1,별 반개 주기도 아까움 개 재미없음 1도 안무섭고 연기도 어색하고 마무리 개대충 끝내요 보고 돈 버리니까 보지마세요 꼭
10,어 나도 노원 밤12시에 봤는데 혹시 성함이 한고은?
6,영화적으로는 어설프나 <링>의 향수가 느껴진다
1,엔딩 음악은 굉장히 좋다.
6,의외로 꽤 무서움 간만에 공포영화다운 j호러의 등장 스토리가 뻔한게 좀 아쉽
