score,reple
10,"내 인생에 10점 짜리 영화는 별로 안된다. 그중에 하나가 바로 이 영화이다. 현장감있는 연출과 카메라 앵글, 케릭터들이 모두 생동감 있고 몰입도가 상당하다. 영화를 보고나면 마치 내가 브라질 빈민가에서 살아봤던것처럼 느낄정도로 정말 잘 만든 영화이다"
9,이 영화보면 브라질 가고싶은 마음이 사라질것이다.
8,악순환의 연속
10,오프닝 시퀀스가 모든것을 얘기해준다.죽음을 기다리는 닭은 가까스로 탈출하지만 결국 다시 잡힐 수 밖에 없다.
8,브라질의 마약과 총기 폭력의 굴레에 벗어나지 못하는 현실적인 이야기.
10,사실적이고  실오라기 하나만 걸친영화?  무례하지만 가식적이지 않은영화... 최고의 찬사를 받을만하다.
9,믿기 힘든 참혹한 현실을 단지 스크린으로 보게 된 것이 얼마나 다행인가.. 인간의 본성에 관해 다시금 생각하게 하는 영화.
10,진부한 헐리웃 영화외는 다른 수작
10,개꿀잼 쌈바 좋아서 브라질 갔다가 어떤일 당할지 예상이 가는 영화
10,"정말 나의 인생 영화 탑 텐에 들정도인 명작 중에 명작인 하나.. 정말 오랜만에 다시 보련다.  다시 보는 영화들이 극히 드물지만..그정도로 이 영화는 다시 한번즘 보고 싶다, 중간에 정말 스토리 전개 죽이는 부분을 다시 보고 싶어서 그런것이다."
10,"우리 나라 영화 중 1,000만 이상 흥행한 모든 영화보다 이 영화 한 편이 더 재미있다."
10,평점 줄려고 로그인 했다. 최고!!
8,6~70년대 브라질 치안 상태를 여지없이 보여주는 다큐멘터리 같은 영화. 그런데 50년이 넘은 지금도 브라질의 모습은 이 영화의 모습과 별반 다르지 않다는 것이 함정..
10,2005년에 보고 최근에 다시 봤다. 05년 영화라고 생각하기 힘들 정도의 연출력 스토리 전개 모든 것이 완벽한 영화이다. 진짜 안 보신 분들 찾아서 보라고 말해주고 싶은 영화..
10,생애 봐왔던 많은 영화들을 가슴에 안고있지만 그 중에 다시 개봉했으면 하는 영화 1위가 바로 시티 오브 갓. 이제는 10년도 더 된 영화이지만 지금봐도 엄청난 퀄리티에 놀라곤한다. 영화의 배경 연출 연기 카메라앵글 등 모든 요소가 완벽한 영화.
10,"그래, 이 영화는 미쳤어"
