score,reple
10,박평식아? 그게 평론가라는 타이틀을 달고  할말이냐?에휴;;
8,재밌었음. 박평ㅅ 평론가님 꼭 ㅂㅅ 되셧음 소원합ㄴㄷ
10,"박평식인지 박ㅂㅅ인지는 잘 모르겠는데 ""어쨋든,발기""ㅋㅋㅋ 그러고도 니가 평론가를 떠나 사람이냐ㅋㅋㅋ"
10,실화 바탕 감동 실화 아무튼 아담 너무 감동적으로 봤습니다 ㅜㅜ 세번 울컥 눈물.... 힐링 받고 싶으신분 꼭 보세요 박평식 평론가 글은 저도 봤습니다 좀 심한듯 ...
8,예상대로 감동적인 실화 바탕의 영화입니다. 그나저나 영화 평론가란 사람이 어떻게 이 영화를 보고 이딴 평을 남길 수 있는지...
10,"울고 웃고 반복한 영화, 기대 만큼 정말 좋은 영화였다. 특정 장애를 가진 사람들만의 이야기가 아닌 우리의 인생이야기인것같다. 누구나 각자 어려움을 겪고 있고 그것을 위해 노력하여 극복해나아간다. 특히 아담의 인생에서는 아무에게나 주어지지 않는 사랑이 더욱 돋보인다. 가족, 친구, 간병인 진심가득한 사랑말이다."
8,희생자가 아닌 생존자로 내 스스로가 선택한 삶을 살 수 있도록
10,힘든일이있거나 할때 보면 위로가 될것같아요 특히 코로나로 힘든 요즘 많은분들이 이영화를 보고 힘내셨으면 좋겠습니다
10,박평식이가 저래되면 평점다시하려나
10,요새 많이 힘들었는데 영화보고 힐링했어요. 이런 이야기는 언제나 마음이 따뜻해지는 것 같습니다. 그리고 남자 주인공 연기가 너무 좋았다는 점!!
7,장애인은 장애인이 가장 많이 공감한다. 왜냐면 그 디테일은 그들만이 알기 때문이다. 일반사람들은 잘 모른다 특히 장애복지 빌드 하는 사람들 그들은 장애인의 시선이 아닌 일반인의 시선에서 바라보기에 교통 길 집 모든것이 장애인에 자유롭지 못하다. 물론 일반인인 그들도 잘하려 했으나 정말 잘하고 싶다면 장애인의 말을 듣고 그들의 입장을 그들에게서 반영하여야 장애인의 복지가 실천될것이다. 대한민국에서 휠체어 타는 사람들을 잘 못보는 이유는 그 장애인들이 나갈수가 없는 길들로 포장되어 있어서 우리는 그들과 함께하지 못한다. 장애인의 편견을 깨려면 마주쳐야 하는데 그런 길이 막혔다. 최우선으로 평범한 우리는 많이 마주쳐야 그들의 편견이 없어질것이다. 그것이 첫 걸음이다.
8,내용은 좋아요감동적인 줄거리만 보고 부모님이랑 봤다가 낯뜨거워 죽는줄 알았네요 15세라니ㅜㅜ
10,실화라는데 박평식 평론가라는새긔 어쨋든 발기? 니도 똑같이 당해봐라 인과응보
10,감동 실화라고 함. 실화라니!
10,"뜻하지 않은 웃음과 따뜻함, 감동이 살아 있는 영화, 인생을 살아가는 데 큰 힘이 될 것 같다."
6,많이 보던 얘기. 감동을 당해야만 하는 느낌
9,"몸은 불구가 됐지만, 누구보다 멋지게 재기한 아담"
10,힘든 요즘 힐링되는 영화다. 인생에 있어 다시한번 생각하게 됐다. 아론폴 연기가 좋다
1,"박평식 평론가님에 동감하는데요..남성의 성욕을 주인공의 생명력으로, 성적행위 자체를 주인공의 갱생으로 묘사한 영화입니다. 영화에서 표현하려는 남성성이 거북했고 이로 인해 영화의 메세지가 빈약해졌다고 생각합니다.. 연기는 잘합니다."
10,"브레이킹베드를 보고 팬을했던 아론폴!연기 너무 찰지게잘하고 화내고 욕하는 캐릭터도 브레이킹베드때랑 쏙 닮았다ㅋㅋ 이 영화는 스토리보다 연기, 즉 주인공의 감정선을 지켜보는게 포인트인거 같다 잘봤다"
10,감동에 감동을 더하네 .. 절대 돈 아깝지 않은 영화  100분 이란 시간이 날 반성하게 하고 날 깨우치게 하네요 .. 보세요 후회없어요 절대
10,재미와 감동을 한번에진짜 열심히 살도록 동기를 주는 영화네요!!♡꼭 다들 한 번 보시길~인생영화등극
9,실화라고 하니 왠지 더 감동적인 느낌! 엄청 드라마틱하지는 않지만 오히려 평범해서 더 보기 좋았습니다
10,한 순간의 사고로 전신 마비 모든 것을 잃어버린 아담은 평범했던 예전의 삶을 그리워하고 무기력과 실의에 빠진 아담은 성공한 삶을 살았다.
10,아론 폴의 연기는 설명이 필요 없음
5,감동적입니다
10,너무감동잼남돈안아까움
8,
8,"조커다음으로 오랜만에 집중해서 본영화 눈에 머가들어갔나,,,"
8,장애인에 대해  깊은 이해의  시간이되었다.
2,다이빙은 안돼 ... 그래도 내리사랑을 볼 수 있었다.
8,감동적이 내용나오다가도남주 얼굴때문에 잘 생겼다란 말만나옴
8,언젠간 내가 겪을 수도 있는 일. 집중해서 봤어요.
10,재밌어요~~ 집중해서 잘 봤어요~
8,"다시 일어서는 과정을 솔직하고 가감없이, 그런데 따뜻하다"
1,
1,공감장애 감독이 만든 유사 장애인 발기모먼트 영화. 영화에서 시종일관 진동하는 감독의 랄부냄새와 중후반부 자살시도에서 '아프니까.. 청춘이다..'식 연출은 정말이지 압권이다.
