score,reple
10,스토리는 그다지 중요하지 않다. 인물이 느끼는 감정선을 이토록 섬세히 느끼게 해준다는 것이 놀랍다. 마지막 장면은 정말 압권이다.
8,유아인 때문에 들어온사람 추천 아니면 비추
7,"엠마가 키티쉬가 되어가는 과정 에서 내가 다 희열, 건물 안에 갖힌 비둘기가 밖으로 나가듯이 엠마 자신에게 솔직해지는 것은 좋았으나, 그 사랑이 아름답기엔 너무 앞뒤 없다."
9,전체보다 괜찮은 순간.
8,영화적 세련미로 흥분시키는 이탈리아 일가.
10,정말 잘찍었다. 그걸로 된거지 뭐.
5,"위험한 사랑지상주의, 현실에선 최악의 불륜극이지만, 감독은 징그럽게 아름답게 그린"
8,오감이 만족되는 작품. 분위기에 취해서 정신을 차릴 수가 없다.
7,영화적 기법들 참 정교하고 참신하다. 근데 너무 스토리가 빈약하다.
10,"이탈리아어 배우는 사람으로서, 이탈리아의 배경, 정서를 잘 느낄 수 있는 몇 안되는 영화라 좋았고, 또 밀라노 상류층 생활을 엿볼 수 있어 더욱 만족했다. 오감을 만족시키는 perfetto 한 영화, Bravissimo !"
10,당신이 알던 나는 이제 없어. 넌 존재하지도 않았어. 아들을 떠나 보낸 성당에서 아들의 친구와 사랑에 빠진 자신을 고백하는 엠마가 잘난 남편과 주고받는 이별의 장군멍군... 우아한 영상과 파괴적인 새 사랑...
1,"육욕과 쾌락, 위험한 일탈과 막장 불륜을 사랑이라는 이름으로 미화시키려는 걸 도저히 이해할 수 없군요. 자신으로부터 비롯된 맏아들의 죽음 앞에서도 무책임과 이기적인 욕망만을 추구하는 엠마의 모습 앞에서는 어이가 없고 황당하기까지 합니다."
7,"섬세한 정성이 느껴지는 연출, 그리고 최후에서 폭발되는 에너지!"
1,보는내내 짜증 동굴은 정말 이해 안됨
10,죽음과 사랑을 운 좋게 피해 살아가고 있다.
2,모취향일수도 있겠다만..허세들은.별볼일없는 불륜미화스토리..
4,전체적으로 심심한 연출을 감성주의적 색체로만 방어할순없다.
9,섬세한 영화적 즐거움 이면에 드는 강한 씁쓸함 이것이 '사랑'이란 단어 하나로 정리가 될 수 있을까?
