score,reple
10,마음을 움직이는 영화!
10,미누씨의 삶에 대해 다시 한번 생각하게 만든 웰메이드 작품이에요
10,1세대 이주노동자들에게 시민이될수있는 기회조차 주지않고  다 추방시켜버린 것은 우리가 얼마나 다름의 존재를 배척하고 혐오하는 문화를 가진사람들인지를 말해준다. 이 영화를 통해 우린 우리와 다른존재들은 어떻게 껴안고 함께 공존해나갈것인지 생각해보는 시간을 가져야할것이다.
10,안녕 미누 착하고 따뜻하고 잘 만든 영화
10,"미누씨, 미안하고 고맙고 사랑합니다..."
10,한국을 고향으로 여기고 그리워했던 미누씨의 애틋한 마음에 울컥울컥합니다~ 지켜줬어야 할 소중한 사람이렇게 영화로 만들어주셔서 알게 됐네요따뜻하고감사한 마음에 더해 모르는 척했던 뾰족한 마음 반성합니다
10,
10,우리가 준 것은 추방과 편견뿐인데 그에게 받은 것은 사랑 밖에 없었다 . 일평생 대한민국을 사랑해준 고마운 사람. 이제 그의 삶으로 더 나은 미래가 올 지도...
10,가벼운 마음으로 보러 갔다가 무거운 마음으로 나옵니다. 다큐멘터리인데 진짜 영화같은 이야기입니다. 이주노동자의 삶에 대해서 생각해보는 계기가 되었습니다.
10,다큐가 이리도 재미있을 수 있단 말인가!그러면서도 내 생각에 변화를 주는 울림까지!띵작이다.
10,
10,여운이 길게 남네요. 본인이 한국인으로 착각할 정도로 한국을 사랑했지만 버림받았던 외노자 미누에게 그나마 이 영화가 위로가 되길 바랍니다. 평안하길..
10,
10,멀리 떨어져 있는 그곳에서 사람이 사람을 기다립니다.  이야기를 다루는 솜씨가 예사롭지 않은 감독을 발견했다.   목장갑 선물에 눈시울을 적시는 장면은 이 영화를 관통해 모든 걸 말없이 전달 했다.
10,미등록 외국인근로자들의 현실을 직시하게 된 감사한 영화. 우리 내면의 무관심 외면 차별을 되돌아보았다. 우리는 타인의 거울과도 같아서 보이진 않지만 타인의 차별이 나의 차별이고 타인의 존중이 나의 존중임을 다시 자각하고 행동해야겠다. 미누의 마지막씬 목포의 눈물.. 그의 마음이 느껴졌다.. 내면 깊숙히.. 한국인이였던 미노.
10,"꼭 봐야함..ㅠ허구의 영화가 아닌, 현실이라 더 감동이고 더 뜨거워지고. 현재가 존재할 수 있었던 과거의 희생. 이기적인 내 일상에 파묻혀 내 옆... 내 이웃...품어야할 자들을 잊은 개인. 그들의 부르짖음을 이성적 잣대로 막는 또다른 이기적 사회."
10,minu.. you did your best!  we'll remember you forever!
10,"다문화가 대세인 요즘, 정말로 성숙된 현대인 이라면 이방인이라는 편견에서 벗어나 존중과 공생을 보여야 할 시기라 봅니다. 내 자식이 외국에서 힘들게 살고 있다고 생각하시면 공감 될 스토리~!!아주 좋은 소재의 영화입니다"
10,참 어려운 주제네요 많은 생각이 듭니다
10,"십수년 전 이들 밴드에 대한 기억이 있어 다큐멘터리가 새로 나왔다길래 기쁜 마음으로 보러 다녀왔습니다. 미누씨도, 다른 멤버분들도, 새록새록 생각나는 곡과 가사들도 모두 너무나 반가웠습니다. 공연도 성공리에 잘 마치고 앞으로 네팔에서 좋은 일들만 있으시기를 바라며 영화를 쭉 보았습니다. 그리고 그저 먹먹함에 숨을 죽이고 화면 속 그를 바라볼 수 밖에 없었던 마지막 몇 분... 그 그리움을... 그 누가 이해할 수 있을까요... 그와 이들 밴드에 대해 모르시는 분들도 한번쯤 꼭 보셨으면 하는 다큐멘터리입니다."
8,"요즘 매체에서 대한외국인들이 활약하고, 미국에서 인종차별문제로 이슈가 되고있는가운데, 과연 한국이 이런 문제에 떳떳할 수 있을까? 많은 생각을 안겨주는 작품이다."
8,한 순간에 사라진 삶의 방향이 그를 새로운 삶으로 나아가게 했다.
10,"한국인인 나보다 한국을 더 좋아하고, 그리워한 미누씨... 다음에는 한국에서 같이 살아요~ 웃는 모습이 눈에 선하네요!"
10,"네팔의 거리를 걷는 그의 뒷모습에 마음이 아팠다. 네팔 젊은이들을 이리저리 챙기는 그의 든든한 모습이 왜 부유하는 것처럼 느껴졌는지. 강산이 두 번 바뀌도록 살았으면, &#34;한국 나이&#34;로 몇 살이라고 밝힐 정도면 한국인 아닌가. 어쩌면 &#34;고향에 고향에 이르러도 그리던 고향이 아니러뇨&#34;라는 우리의 시구는 그의 것이 되어버렸는지도."
10,감사하고 미안합니다..너무 가슴이 먹먹해서..감독님..감사합니다
10,여러 추천글을 보고 이 영화를 보았는데 보는내내 한국을 사랑해준 미누에 대한 고마움과 미안함을 느꼈습니다.. 이 영화를 만들어준 감독님. 제작진분들께 감사합니다.
10,.
10,"안녕, 미누씨!!!"
10,... 최고의 감동... ㅜㅜ
10,이주외국인노동자의 삶에 대해 조금이나마 알 수 있는 기회였습니다. 한국사회에서 불평등한 이주외국인노동자를 대변하는 미누(주인공)의 실화다큐로 그의 역동적인 삶에 감동입니다.
10,영화를 통해서 참사람은 어떻게 살아야하는지 깨닫게 되었어요. 미누를 보면서 행복에 대해 깨닫게 되었습니다. 이런 일이 영화를 통해서 가능하다니..언빌리버블~
10,
10,점점 마음이 따뜻해지는 영화 먼 이국 땅에서 제2의 삶을 시작하는 청년 이주민들의 다문화 가정이 보편적이지 않던 시절 열악한 환경 속에서 근로하며 대한민국의 이주민 문화가 정착하는 데 기여했지만 한국 정부의 멍청한 선택... 그래도 어머니 같고 고향같아서 미워할 수 없는 대한민국...보는 내내 주인공의 매력에 빠졌던 것 같다.
10,
10,뮤지컬 빨래처럼 목포의 눈물이 항상 기억날 것 같아요세계가 언제나 평화롭기를...
10,멋진 인간의 아름다운 이야기...안타깝지만 감동적이다. 사람을 또 인생을 다시 생각하는 영화...KBS에서 틀어줬으면 좋겠다. 그의 노래가 또 그의 인생이 계속 기억되었으면 좋겠다.
10,고향과 정체성에 대한 질문을 우리에게 던지는 영화.  당신의 고향은 어디인가요?
2,불법체류자 미화하지 맙시다.
1,it's very good
