score,reple
10,아침 일찍 아이들과 보고 왔는데 너무 재밌어해요~ 핵꿀잼!
10,"시사회로 미리 봤는데, 어른들도 재밌게 볼 수 있고 아이도 좋아하고 즐겁게 봤네요. 추천해요"
10,메시지도 좋고 음악도 좋았어요!!!
10,초딩 조카들이랑 같이 봤는데 너무 재미있었다고 자막판으로 다시 보고 싶다고 하네요~ 상상력 가득한 스토리에 영상도 예쁘고 음악도 신나서 아이들이랑 보기 좋습니다~
10,아이들이 무조건 좋아할만한 스토리~~
10,애들이 넘 좋아해요~강추bb
10,방학시즌에 비와서 우울했는데 기분전환 딱인 영화...!
10,오랜만에 애들이랑 같이 극장 다녀왔는데요. 여름방학 영화로 최고! 강추입니다!!
10,아이와함깨 기대합니다
10,넘 기대됩니다 애니멀크래커 방학추천작이예요
10,과자를먹으면 동물로변하다니 너무흥미진진하고 재미있을거같아요!
10,아이들이 너무 재미있어 하네요~!가족 영화 강추 입니다~!!
10,"오 완전 재밌어요~ 과자를 먹으면 다양한 동물로 바뀐다는 소재가 흥미로웠는데 그이상으로 코믹하고 감동도 있고! 조카도 너무너무 재밌다고하네요 어른, 아이 다 같이 즐길수있는 영화같아요"
10,너무 예쁘고 재밌어요~! 즐거운 영화 입니다~
10,볼거리도 다양하고 음악도 좋고~ 아이들과 보기에 딱 좋은 애니메이션이에요~
10,너무 재밌을거같아용:)
10,예고편만 봐도 너무 재밌어요. 기대됩니다.
10,즐겁습니다 초등생에게 강추해요
10,시사회당첨 감사합니다^^예쁘게는못써도 블로그에 리뷰할께요. 집에서2 시간거리 오니라 힘드네요ㅎㅎ
10,너무 재밌을것같아요*^^*
10,과자먹으면 동물로 변한다니 애들이 좋아해요
10,상상력 짱 입니다.너무 재미있을것 같습니다.
10,귀여운 캐릭터의 모험 기대됩니다
10,아이와 함께 가고 싶습니다.예고편 재밌게 봤어요~~^^
9,아이들이 좋아할 소재의 영화라 기대됩니다~:)
10,애니멀크래커 재밌을것같아요~^^기대됩니다
10,동물과자  를 생각한게  신기했어요먼저  동물이  다양해서   재미있었어요아무튼 재미있어요.
10,노래가 너무 신나요~ 동물친구들도 너무 재밌습니다~
10,에밀리 블런트가 더빙했다길래 기대하면서 봤는데 두 부부 합이 진짜 장난아니더라구요ㅎㅎ 믿고 보는 제작진들이라 영상미도 좋았네요
10,퀸 노래 나온다고 해서 기대했는데 스크린으로 서커스 장면이랑 같이 보니까 진짜 최고였어요ㅋㅋㅋ동물들도 넘 귀엽고 감동적인 교훈까지 좋았네요ㅎㅎ여름방학이라 조카들 델꼬 또 가려구요
10,아이들이좋아할것같아요.
10,꿈을 찾아가는 오웬! 메시지가 너무 좋네요 ㅎㅎ 아이들 보여주기 좋은 영화!
10,캐릭터 퀄리티가 좋네요ㅎㅎ 복슬복슬~ 오랜만에 재밌는 애니메이션봤습니다
10,아이들보다 제가 더 신난듯ㅋㅋ퀸 노래 나올때 들썩들썩했네요
10,기대안하고 봤는데 엄청 재미있네요 ㅋㅋ다섯살이 보기엔 좀 어려운거 같은데재미있어 했어요 강추!!
10,동물들도 너무 귀엽고 노래도 너무 신나고 즐거워요!~!
10,아이들과 봤는데 너무 좋아하네요~^^ 또 보자고 난리 난리..주말에 또 보러가야겠어요
10,아이들이랑 즐겁게 봤습니다. 재미있었어요!
8,처음에는 조금 지루해하듯 했으나 갈수록 재미있어했어요. 끝에 너무 흥미진진해하네요^^
9,상상력도 뛰어나고 퀸 음악나오는 장면은 정말 신나고 좋네요. 보면 행복해지는 영화라 너무 좋은 거 같아요~
6,재미있었어요아들이좋아했어요
8,음악좋구요저는쏘쏘햇는데무엇보다 7살딸이 너무좋앗다고하네요^
8,애니멀크래커~아이들이좋아할것같아요
10,아이가 재미있을꺼같아서 완전기대중이예요
10,너무재밌을것같아요!8살딸이 매우기대하고있어요!!!!♡♡
10,아이들에게 좋은 영화가 될듯합니다.
10,기대했는데..역쉬..잼납니다
8,기댜돱니다 감사히 잘보고갈게요
10,시사회 왔는데 너무 기대되네요~^^
10,우와 우와 좋아요 빵 좋아요
10,저희가족이 재밌게 보고 올께요~
10,스토리가 흥미진진하고 ost도 넘좋았어요!!!추천합니다
10,아이랑 방학에 보러왔어요 잼있을거 같아요
10,너무 기대됩니다  동물들 캐릭터 귀여워요  ♡
10,재밌는상상이에요~~~아이들 넘좋아합니다
10,너무잼있을꺼같아요 ~~
8,애니멀친구들이 어떤 모헙을 펼쳐질지 너무 기대 됩니다!!
10,굿 애들과 같이 관람 하세요
10,너무 기대이상이예요  최고
10,너무 너무 재밌어여
10,아이랑 과자 먹고 동물로 변신하는 재미있는 애니메이션으로 정말 즐거운 시간 될 수 있을것 같아요
10,크래커를 먹으면  애니멀로  변신하는  내용이라니♡♡♡ 아이들  웃음 포인트 확실하겠죵??^^아이들과  함께 웃으며  너무 즐거운 시간이 될것 같아요^^
10,아이들과 같이 볼려고 하는데  아이들이 보기전인데도 많이 좋아 하네요
10,아이와기대하며 보러왔어요^^
10,아이와함께볼만한 애니메이션 영화.
10,즐겁게 관람하네요.아이들이 보기에 너무 좋은 애니메이션이네요.
10,굿굿굿 우리  효원이가 너무너무 재미있다고 해요
9,"아이가 좋아했어요. 중간에 잠시 재미없었는지 나간다고했는데, 갑자기 재미있어졌는데 나간다고해놓고 열심히 보네요^^ 잘보고 갑니다!"
10,뻔한 스토리라 기대하지 않았는데 재미있었어요
8,동물도 많이 나오고 스토리도 좋아서 아이랑 함께 보기에 너무 좋았어요~
10,아이와 보았는데 어른에게도 큰 감동이었어요^^
8,전체 스토리는 뻔한느낌이 있지만 유머코드는 괜찮아서 재미있게봤어요. 초1 딸래미도 많이 재미있었다고하네요
10,가족을 선택한 주인공의 행동이 아이에게 교훈을 주었던것같습니다 아들도 재밌었다고 하네요^^
9,아이와 어른과 함께보기도 재밌는 영화
8,좋아요 아이와볼만합니다
9,"아이 어른 모두 재밌게 봤어요. 개성있는 캐릭터들, 흥미진진함에 마지막 감동까지 완벽했습니다."
10,6살 딸아이와 재밌게 봤습니다~
8,약간 지루한면이 없진 않지만 아들이 재밌게 봤다고 하네요^^
10,아이 때문에 봤는데 성인이 봐도 재미납니다~
8,아이들 방학이라서 오랜만에 같이 봤는데 재밌게 봤어요
10,아들과 봣는데 너무 재미잇어요~~~
8,재미 있어요 또보고 싶어요
10,아이들이 재밌었대요
8,너무기대를 많이해서 그런가 재미는 있는데 완전 재밌는건 아니라고 하네요.
8,아이들이 이제까지 본 영화중에서 탑2에 들어간다며 즐거워 했어요 (탑1은 겨울왕국) 나오는 인물들이 입체적이어서 재미있었네요
8,초딩 아들들  재밌다고 이야기하며 즐겁게 봤어요~
10,"배경은 미국이지만 한국의 정서(장인과 사위관계, 조직의 알력다툼...등등)를 스토리가 있는 영화 좋았습니다."
8,아이들이 좋아했습니다
10,영상과 OST가 화려하고 신나서 지루하지 않았어요~좌석 거리두기 덕에 조용하고 여유로워서 관람하기도 좋았답니다.
10,초등아이들봤는데 재밌었다고하네요^^
10,별 생각없이 애들이랑 극장가서 빵 터지고 왔습니다
10,아이가 너무 좋아해요. 강추
10,넘 잼있게 보고 왔어요 ^^
8,딸아이와 아이절친과 같이보게했어요..재미있었다고하네요...신나는음악도 나오고 좋았댜요
2,속지마세요 재미없음 ㅡㅡ HA...
8,아이들이 너무 신나게 봤어요~~~보다보다 웃다웃다 팝콘도 남겼네요딱! 아이들수준^^
6,아이가 재밌대요전 조금 지루 했어요 ㅠㅠ
10,아이도재미있어하고 어른도 같이보기에좋았어요
10,아이가 끝까지 집중하면서 재밌게 봤어요.
10,애들이랑 보기 최악이요! 선정적이고 폭력적인대사하며 ost에 퀸의 19금 노래는 왜 놓은건가요? 가슴에서 대놓고 물건을 꺼내질않나 아무리 애니메이션이니 웃음포인트로 넘기려했으나 멍청이 멍텅구리 똘마니?까지 더빙으로 이게 실화임? 진짜 어처구니없음 별점하나도 아까운데 이걸 안주면 등록이 안되서 일단 남기고 별점 많이줘야 상단에 노출되서 만점드림 보지마세요!
