score,reple
8,영화는 괜찮았는데 관람평을 스포부터 하는 평론가가 있네요
10,미셸 윌리엄스 연기가 너무나 좋았던 ㅠㅠ.. 감동
9,아무리 원작이 훌륭하고 리메이크작이 못마땅해도 평론가 평이 &#39;긁어 부스럼을 만든 감독&#39;이라니... 감독뿐만 아니라 이 영화를 의미 있게 본 관객들까지 무시하는 평이라 보입니다. 그 평론가에게 말해주고 싶습니다. &#39;당신은 긁어 부스럼을 만든 평론가입니다.&#39;
10,우리가 삶을 스치는 걸까? 삶이 우리를 스치는 걸까? 요즘 많이 들던 생각들과 겹쳐서 공감됐다
9,"평점이 혹평과 호평으로 양극단이라서  큰 기대없이 보았는데, 저는 근래 본 영화중에서  가장 좋네요.  잔잔하면서도 생각할 여지를 남겨줍니다."
10,크로스젠더로 더 와닿았고 여운이 긴 영화
10,생각 이상의 ㄱ재미가 있던 영화입니다
8,여운이 오래갈듯 농담 아님
8,"마치 스릴러를 보는듯한 미스테리한 진행으로, 인물간의 미묘한 감정선을 타고 새로운 사건이 일어나면서 퍼즐이 하나씩 맞춰진다. 연기는 물론이고, 아름답고 깔끔한 영상과 잘 어울리는 배경 음악도 좋았고, 마지막 줄리안 무어의 절규엔 나도 울컥했다."
10,배우들의 연기가 인상깊었다!
8,"잔잔하게 각 인생에서 터닝포인트에서 어떤선택을 해서 처신하고 살았는지에 대한 결과들이 세월이 흘러감에  감정도 , 한때의 후회도, 변화된 나자신들이 한곳에 모여지는 때를 보여주는거 같아요"
10,잔잔한 감성을 느끼게 해주는 수준높은 영화
8,눈을 뗄수ㅈ없는 부드라운 전개 눈물도 살짝
9,아주살짝 지루하긴했는데 굵직한 스토리라인이 확실하고 감동도 있어요
10,평론가 평점에 기대 안하고 봤는데 아무생각 없이 평화로운 에너지를 느낄 수 있었던 영화
10,"너무 울다가 나왔네요.. 아이를 키우고 있는 엄마라 더 감정이입이 되었던것 같습니다. 너무 가슴아프고, 삶이란 뜻대로 되기보단 그렇게 다가오는대로 살게 되는것 같아요. 배우들의 연기도 훌륭하고, 감정을 섬세하게 따라가는 연출도 훌륭했습니다. 정말 좋은 영화 한편 봤네요~"
10,나를 대신해줄 사람을 맞이하는건 어떤 심정일지...
8,미셀 윌리엄스암 줄리안 무어와 다른 주조연배우들의 연기에는 감정 이입이 되지만 드문 드문 이가 안맞는 지퍼같은 전개에는 감정 이입이 힘들다.
10,두 배우가 겨누는 연기가 날카로운 영화
10,인간의 감정선을 잘 표현해 낸 영화임
10,돈주고 볼만해요. 좋아요
10,코로나19로 침체된 영화 시장에 오랜만에 볼만한 영화!
9,전혀 기대하지 않고 내용도 모르고 봤다. 제목만 보고 러브스토리라고 생각했는데 뜻밖에 정말 좋은 영화를 봤다. 영화를 보고 나와도 생각이 많아지고 과연 나였다면 어떻게 행동했을까... 라는 생각이 꼬리를 물었다. 누구의 잘못도 아니지만 모두의 잘못이라 정답이 없어 더욱 더 생각이 많아지는 영화인것 같다.
