score,reple
10,두산 뭐하냐 유희관 보다 구속 빠른데 영입 안하네;;
10,"보는 내내 주수인을 응원하게 된다. 그 누구도 아닌, '나'를 넘어서기 위한 한 사람의 제대로 된 도전"
10,자라나는 모든 여자 아이들이 봤으면 좋겠습니다.너희에게 한계란 없어
10,모두가 안 된다고 할 때 자신의 꿈을 향해 달려가는 직구
10,끝날때까지 끝난게 아니다...! 주수인을 응원하는 동시에 나까지 성장하는 기분!
10,나 정말 궁금한 게  그냥 여자가 주인공이면 페미 영화임?? 도대체 뭐가 문제인데 이러는 거지...? 여자는 주인공하면 안 됨?
8,성별을 넘어서 프로 야구 선수를 향해 가는 주수인의 여정
10,그 무엇이든 성별이 장단점이 될 수 없다는 당연한 것을 다시한번 깨우쳐주는 영화최고의 영화
10,"꿈을 향해 노력해 본 사람, 좌절해 본 사람, 모두를 위한 영화. 함께 파이팅 외쳐주는 기분이 드는 영화였다."
10,영화 속 주수인은 차분한듯 보이지만 강했다. 누가 뭐라해도 자신의 길은 자신이 택하는 굳센 주수인.
10,스스로의 한계를 설정하지 않는 주수인 캐릭터가 너무 좋았다. 이주영 배우의 연기로 인해 더 매력있는 캐릭터가 된듯
7,"강속구만이 답이 아닌, 방황하는 청춘의 방향에 대하여"
10,야구소녀 재밌어요 주수인 멋지다
6,소시민은 도전하는 자를 비웃는다.
10,애정하는 어떤 것에 경계 없이 도전하는 주수인을 응원하게 된다.
9,"큰 기대 없이 보았는데, 주수인에게 몰입되는 나를 볼 수 있다. 남이 내 한계를 단정 짓더라도 난 끝까지! 멋진 성장 드라마."
10,별점테러 재밌네 ㅋㅋㅋ 아무리 깎아내려고 발악해봐라 이 세상 주수인들은 꿋꿋하게 자기의 일을 할뿐이다. 마운드 앞 그라운드를 향해 바라 본 주수인의 이야기는 지금부터 시작이라고 말할 뿐. 그녀의 행보에 응원과 격려를 담아 보낸다.
10,세상의 모든 수인이들 파이팅
9,극적인 부분 없이도 충분히 완성도 높은 영화. 우리 모두에겐 벽이 깨지도록 던지고 싶은 꿈이 있음을 알려주는 이야기.
10,주영배우님 말처럼 요즈음 보기 드문 착한 영화 너무 잘 보았습니다. 여러 번 볼 수록 새로운 생각을 하게 되고 재미와 감동을 모두 느낄 수 있었네요ㅎㅎ 또 보러 갈게요~
10,"ㅜㅜ현실과 타협하는 어머니 마음도 공감되고, 그래도 꿈을 포기하지않는 주인공 마음도 공감되고ㅜㅜ"
10,보면서 주수인을 같이 응원하게된 영화인 것 같다. 영화 일지라도 꿈을 꾸는 많은 사람들에게 희망과 지지를 주는 듯해 너무 좋았다.
10,"믿고 보는 이주영 배우입니다. 영화는 기대 이상이었구요. 보는 내내 울컥했습니다. 저 뿐만 아니라 많은 여성들에게 용기와 힘이되는 영화인 것 같아요. 이런 배우, 이런 여성서사 영화 너무 좋습니다. 만들어 주셔서 감사해요.더이상 여성이 차별받지 않는 세상을 바랍니다."
10,그냥 단단해지는거야..이 세상 모든 주수인의 단단함을 응원합니다.눈물샘을 자극하지만 신파적인 내용은 아니고..운동경기중 유일하게 여자 프로가 없는 종목이 야구가 아닐까? 야구..남자도 힘들어하는  그 길을 수인이가 걸어간다. 한번도 못 한다고 한적이 없는 수인.주수인 널 응원해
10,이 영화를 보면서 저도 꿈을 이룰수있겠다 라는생각이 들었습니다. 내가 하고싶은것은 할수있다는 마음을 가지세요. 꿈을 잃지마세요. 화이팅!
10,주수인 그 자체였던 이주영 배우님
10,달밤의 아이스크림이 얼마나 맛있었을까?
10,오 좋음 건전하고 좋네요
10,꿈을 이루기 위해 현실의 문제 자신의 한계의 문제에 부딪힌 청춘들의 영화
10,이주영의 담담한 연기가 돋보인다. 야구에 대한 이야기인 동시에 꿈에 대한 이야기여서 정말 공감이 많이 됐고 주수인의 포기하지 않는 용기가 멋있다.
10,주수인 파이팅 주수인 파이팅 주수인!!!! 파이팅!!!!
10,나에게 끝없이 질문을 던지게 하는 영화
10,편견의 벽을넘는다는 것.새로운길을 만들어가며 나아간다는 것.그냥 학교에 다니는것만으로도 충분히 힘들었을거라는 아빠의 말에 눈물이..묵묵히 꿈을향해 나아가는 수인이이게 박수를 보낸다.이주영 배우님에게도~
10,세상의 모든 도전하는자들이여 화이팅
1,"메이저리그 사무국에서 1990년부터 매 번 하는 말이 있다. &#34;야구는 너무 늙어가고 있다고, 젊은 영맨이 나와야 그를 우상으로 보고 자라나는 어린선수들과 그 선수에 빠져 야구에 관심을 갖는 사람들을 만 들 수 있다고!&#34;야구계는 언제나 스토리 있는 선수를 영입하기 위해 각 나라에 스카우터를 파견해서 실력이 부족해도 일단 대려와서 루키부터 굴리는 이유는 그 선수의 성공으로 그 나라의 모든 국민들에게 메이저리그를 어필 할 수 있기 때문이다.근데 봉황기 우승팀 맴버에 130KM로 제구력 좋은 &#39;여성&#39;투수가 고작 한국 프로팀 입단에도 쩔쩔 맨다고? 말만 들으면 유희관보다 괜찮은데 왜 트라이아웃에서도 안 되었을까? 실상은 사회인야구 3부리그에서도 6이닝 3실점도 힘겨웠던건 아닐까? 야구를 보는 사람들이 이 영화에 모순을 느끼는 것은 여자들의 자기 중심적인 세계관에서 사회를 바라보기 때문이다. 몸 안풀린 뚱뚱한 이대호를 몸 풀린 3부리그 투수들이 삼진 잡는 것은 어렵지 않다. 하지만 실제 경기에서도 이대호를 삼진 시킬 수 있을까? 우연히 현역선수 하나 아웃 시켰는데도 자기를 못 알아봤다고 야구를 적폐의 시선으로 여자를 탄합한다고 바라보는건 야구를 좋아하는 국민들은 모욕하는거다. 차라리 마블처럼 제구력 좋은 여자투수가 탄생해서 구단에 갑질하고 제구력으로 남자들을 휙휙 돌려 세워 메이저리그 비행기 타면서 끝내는게 낫지 않았을까한다.대체 어떤 야구인이 이 영화를 보고 화를 안 내겠는가? 억지로 야구에 사회문제인 페미를 끼워넣었는데 말이다."
1,너무 감성 위주의 연출이라. 공감이 안됨.. 진짜 현실은 더욱 냉혹함.134에 너클 던질줄 안다고 프로... 6천 계약금이라.. 기멘수도 연습생으로 들어 갔는데. 여자 134면 전세계 탑급이라 일본 여자 프로 충분이 가고도 남는데 고민 할것도 없고  천재 김라경 선수도 115임
8,서로의 편견을 깨주고 보듬는 다정한 사람들
9,"전달하고자 하는 메시지가 여성이 한계를 뛰어넘은 것으로 그치지 않습니다. 한명의 사람으로서, 부조리한 시선을 스스로의 힘으로 정면돌파하는 것이 멋있었습니다. 이야기 전개가 아주 매끄럽지는 않았지만 그것 이상의 감동이 있었네요. 배우 분들의 연기도 좋았습니다. 좋은 영화 잘봤습니다!"
7,"사실 여자라는 이유로 차별받는게 아니라 남,녀를 떠나서 객관적으로 평가했을때 실력이 떨어지니깐 프로에서 못받는거지..."
1,개연성도 없고 현실성없는 스토리
1,어설픈 연기와 야구에 대한 상식이 전무한 웃픈 코묻은 폐미니즘 돈을  긁어먹기위해 만든 영화. 그래서 주연배우도 폐미.. 최악이다. 말도 안되는 논리의 폐미를 공부하라고 훈수두기전에  연기부터 공부하는게 어떨까? 날고 기는 투수인데 투구폼을 보면 웃음만 난다. 여배우는 여혐단어이고 야구&#39;소녀&#39;는 괜찮은가?
1,어.... 그냥 여자 야구를 해 왜 안해? 굳이 어려운 길을 가? 크보에서 투수하려면 적어도 신체 180넘고 최소140은 던져야 할텐데 너클볼 구사하는 노경은도 148은 찍어 ㅋㅋㅋ 직구가 빨라야 너클볼 구종가치가 커지지  포심 134밖에 안나오는데 어케 너클볼에 다 속냐 그리고 너클볼도 제구가 계속 좋은것도 아닐꺼고 가끔씩 실투 터질텐데 못써 아니 그냥 여자 프로야구 선수를 해 지소연 봐봐 얼마나 멋있어?
