score,reple
8,색다른 장르의 영화를 접했다.뮤지컬 영화..OST의 목소리도 너무나 매력적이다.생각보다 많은 매력이 있는 영화인거같다.
10,생소할수는 있지만 뒤로 기억이 많이 남는 영화였어요.
10,기대 안 하고 봤는데 의외로 좋았음
10,현재와 과거 그리고 현실과 환상을 잘 버무린 작품이었습니다.전편에 깔린 주인공의 좌절 불안 내적 갈등 그리고 마지막 희망 까지 감정이 잘 표현되어 극적 긴장감이 이어졌다고 생각합니다.
10,독특한 뮤지컬영화의 태동! 심지어 감동스럽기까지 하다!
10,"뮤지컬 영화라 갑자기 튀어나오는 노래에 당황했지만, 보다보니 익숙해지고 노래도 좋고, 특히 주연은 물론 앙상블 배우의 춤과 연기력까지 더해지는 흥미있는 영상이었습니다. 주연 배우가 노래할때면, 어떤 이유에서인지 나도 모르게 툭툭 눈물이 흘러서 깜짝 놀랬습니다 ㅋㅋ 저예산 영화라는데 엄청난 시도를 하신 듯 하여 칭찬드립니다. 잘 봤습니다~^^"
10,"오랫만에 마음이 따뜻한  영화를 봤습니다  힘든시간을 이겨내는  주인공의 모습이  굉장히 마음에 남네요 ,  앙상블의 반전 매력 넘 좋았어요~~,"
10,연극적 요소와 뮤지컬울 병행한 ...주도적인 삶울 살어가는 여성의 새로운 사작! On the road. .
9,약간의 기대를 가지고 보러갔는데혼자 있어서 티비 보는 마냥 껄껄 웃고 엉엉 울다 낄낄 웃고 감동받아 나왔어요 한국 뮤지컬 영화는 처음 봤는데 정말 만족했어요 정말 감사합니다
8,"음악 영화다 보니 음악에 집중하게되었는데요. 먼저 인트로에 나온 노래가 너무 좋았습니다. 그런데, 배우분들 노래는 너무 좋은데 다만 반주가 별로였고 뜬금없는 안무도요. 식당 씬에서 굳이 안무하시는 분들이 나오셔서 조금 오글(?)거린다 할까요ㅎ 그리고 잔잔히 반주가 들어왔음 좋겠는데 &#39;나 이제 노래한다&#39;라는 느낌이 들어서 흐름이 좀 끊기는 느낌이었구요. 스토리랑 배우분들, 특히 어머니 역할하신분이랑 작가 역할하신분 연기랑 목소리가 너무좋았어요! 그리고 제일 아쉬웠던 부분은.... 마지막 기생이었다면 시대 생각해서 국악풍의 잔잔한 음악도 좋았을거 같은데.... 기생역할 배우분 노래 목소리도 너무 밝아서 감동이 좀 반감되었어요 ㅠㅠ 그래도 좀처럼 볼수없는 장르라 괜찮게 봤습니다~  더 좋은 작품으로 다시 감독님, 배우분들 뵀으면 하네요"
8,뮤지컬영화라 낯설지만 재미있어요. 노래도 다 좋은데요?!
10,이 영화를 보고 가슴이 뛰기 시작했습니다. 나가고 싶어서
10,역시 김예은 배우!!!!
10,
10,"따뜻한 감성, 좋은 선곡, 평범해질 수도 있는 소재를 창의적으로 살린 뮤지컬."
3,"거~ 노래 더럽게 못 부르네. ""언니는 최악이야""가 아니고 ""영화가 최악이다"" 오글거려서 정말..."
4,일단 여주 캐스팅과 안무가 잘못된 영화. 여주가 잠깐 봐도 너무 싸가지없는 말투와 성품에 영화를 떠나 뺨을 갈기고 싶더라. 지방연영과 학생들 워크샵같은 촌스럽고 수준낮은 작품. 조연출의 아픔따윈 1프로도 안느껴짐. 무료쿠폰으로 그나마 봐 다행임. 휴~~
9,김예은 배우님의 청아한 딕션. 라즈베리필드의 아련한 눈빛. 그 두 가지가 앙상블을 이루다.
1,남자배우가 부른 노래 다 들으면 그때 나오세요..사실 첫 노래 시작하자마자 나오는 게 유익합니다.경이로운 영화네요 후..
4,마지막끝나고 이해했다조연수라는여자 복잡한머리속에 들어가 우울 기쁨 외로움 불안 초조 감정을 휘집고 온기분 내용은 간주점프한거마냥 대충 끝내려는 내용 밤길조심해라 진짜
1,"B급 감성을 좋아하시면 보세요 저는 별로 안 좋아합니다. 포스터와 예고편만 보고 드라마, 멜로 장르의 잔잔한 영화인줄 알았는데 사기맞은 기분입니다. 중간중간 갑자기 나오는 노래에 뒷골이 땡깁니다. 어디서나 네이버 평점 알바가 있지만 진짜 말도 안되는 소리를 하고 있어 다들. 평점을 0을 줄 수 없다는게 제일 아쉽네요. 포스터에 속지마세요 절대로ㅠㅠ"
1,너무 어이가 없어서 태어나 처음으로 영화 리뷰 써봅니다. 저 밑에 호평들은 지인 혹은 제작사인가보네요. 영화 시작한지 10초부터 &#39;나갈까?&#39; 하고 생각했지만 그래도 감독과 배우에게 도리가 아니기에 참았습니다. &#39;보다보면 괜찮아지겠지&#39; 하고 계속 영화관 자리를 지켰습니다. 그런데 정말 처음부터 끝까지 최악이었습니다. 영화 제작을 위해 고생한 모든 분들에게는 죄송하지만 정말 별로입니다. &#39;예술적이고 철학적인 영화인데 내가 이해력이 부족한 것인가?&#39; 하고 여러 번 생각도 해보았지만 아닌 것 같습니다. 돈 아까운 영화 정말 오랜만이네요. 한국 영화 역사에 새로운 방향을 제시한 것 하나는 칭찬하고 싶습니다.
