score,reple
8,흑인 가스펠의 진수. 첫곡 wholy holy 시작하는데 눈물이 줄줄 나옴. 비유나 과장아니고 내가 진짜 미쳤나 싶었음. 예수쟁이 아님. 90분 충만한 공연이었음. 내가 교회사람이었으면 여기저기 홍보했을 듯.
8,"영화는 예전 가스펠 음악을 교회에서 녹화한거라 생각보다 화질은 안좋으나 음악도 좋고 그 당시의 매력을 느낄수있는 시간이었습니다. 그런데 서울극장 11월 마지막 토요일 오후, 이 은혜롭고 잔잔한 음악에 집중해야하는 영화에 중간쯤 앉아서 늦게들어와서 남들 신경안쓰고 봉지 부시럭거리고 계속 수다떨었던 분들때문에 집중안되서 기분이안좋네요. 제발 본인들만 있는것도 아니고 개념 챙기고 배려심 챙기시고 부끄러운지아세요! 대체 이런영화보면서 그런 행동을 할 수 있는지 전혀 이해가 안 됩니다."
10,어메이징 그레이스. 나 같은 죄인 살리신 가장 위대한 명곡
9,소울이 느껴지는 가스펠의 진수를 보았다.스토리없이 음악으로만 만들수 있는 이유이기도 하다.짱
10,"너무 은혜받은 시간이었습니다찬양을 묵상하며, 하나님께 열광돌리는 교인들의 모습이 너무 아름다웠습니다."
9,가스펠의 진수를 느끼고 왔습니다. 음악적으로나 종교적으로 만족스러운 시간이었습니다.
10,어릴때 들었으면 전도 당했겠네
10,와이거진짜뭐지? 지짜최고 가스펠좋아하는사람이면 눈물안날수가없음
9,
10,광주극장에서 봤는데 신의 재능을 보았슺니다 홀리홀리~
10,저 당시 분위기를 볼 기회가 없는데이렇게 영화를 통해서라도 잘 보고좋은 노래도 들을 수 있어서 너무 좋습니다~
10,시사회때 느꼈던 감흥을 느끼고자 친구와 다시보려합니다.
10,그녀의 목소리가 이땅위에 천국을 느끼게 만들었습니다.아름다운 소리 아름다운 몸짓 필름으로 남겨짐에 감사합니다.
10,소울 넘치는 가스펠의 향연
10,에메이징 그레이스..
10,이건 꼭봐야 하는 명공연기록입니다
10,그냥 뭐 아레사 목소리에 10점
8,가스펠을 그다지 많이 접해보지는 않아 조금 지루한 감이 없잖아 있지만 시간여행을 하고 있는듯 그 시대의 분위기가 새로웠어요. 크리스마스에 아주 옛날 영화 틀어놓고 딴생각하며 보는 느낌이랄까.
8,깜짝 특별출연 : 믹 재거
10,
10,할렐루야 ~살아계신 하나님을 찬양합니다.
8,아무런 배경지식없이 그냥 갔는데 너무 졸다 왔음 ㅠ
2,이 OO은 영화를 영화관에서 상영을 하다니깜댕이 참숯새끼들 개독교에 미쳐서 발광하는거 보니 없던 인종 차별이 생기는데 9점준 OO들은 뭐하는 새끼들이냐
2,그냥 종교영화에 불과같이 간 사람들도 ㄱ 쓰레기 영상물이라고 평론을 내렸다.부정하지 말자
2,amazing grace.it is amazing that the grace of my Lord saved a sinner like me.I found my lost life and got a ray of hope in life.it is thankful that the grace of my Lord rescued me from the big sin.the belief that I believed in at first is precious and valuable.that I have still lived is also the grace of my Lord.he will lead me to my heavenly home in the future.I am going to praise my Lord by living brightly like the sun through the grace of my Lord there permanently.
5,내가 듣고 싶었던 어메이징 그레이스는 아니고
