score,reple
10,"영화를 보고 감독님의 기사를 보게 되었는데,멋짐.감동 입니다. 영상이 너무 멋있고. 음악도 너무 좋았습니다. 나의 선택이 나를 만든다!멋진 영화였습니다!"
10,인생 최고의 영화!!! 어서오시게스트하우스  두번이나 봤어요 꼭보세요!!
10,그냥 봐야한다 이건. 순수하다.
10,연출이 인상적입니다.
10,"지금 30대가 된 내가 20대의 나를 바라보는듯한 기분이 드는 영화였다. 코미디라 그래서 머리식힐겸 가볍게 보자했는데 의외로 생각할 거리를 많이 던져준다. 개그포인트도 신선했고 겨울바다 풍경, 내가 서핑을 직접 하는듯한 영상미까지 돋보였다. 그동안 가지고 있던 독립영화는 우울하고 지루하다는 편견을 깨줘서 더 좋았다."
10,배경음악도좋고 재밌게봤어요
10,"가벼운 영화인줄 알았는데 오히려 위로가 되었던 영화~ 그리고 손종학, ns윤지 그리고 알아본 버스 아저씨까지 나와서 깜놀"
10,정말 너무 재미있게 끝까지 잘 봤어요. 배우분들 한명한명 모두 인상깊네요~후덥지근한 이 여름을 한방에 날려주네요ㅋㅋ청춘들이여 모두 힘냅시다^^
8,힙한 문화코드를 가지고 이시대 청춘들의 삶을 잘 표현 해준 리얼 라이프 스토리.구질구질한 준근이가 나같아서 웃프지만 유쾌한 결말로 기분 좋은 영화.영화보고 나오면 친구들이랑 삼삼오오 모여 편의점에서라도 맥주 한잔 난장까고 싶어지는 기분
9,마지막에 웰컴투더 게하 계속 맴도네ㅋㅋㅋ
10,잔잔 한듯 큰파도가 밀려오네요. 잘봤습니다. 이런 영화들이 많아졌으면합니다.
9,추운 겨울날 바다에서 촬영하시느라 정말 고생 많으셨습니다. 유쾌하게 잘 보고 왔습니다.
10,청춘들에게 힘이되는 영화였습니다. 잘 보고 갑니다.
10,젊은 청춘들을 위한 소중한 영화입니다. 잘봤습니다.
10,서핑을 알면 더 잼나고 몰라도 잼납니다.
10,솔직히 기대 안하고 봤는데 너무 재밌었어요!
10,우리나라에서 아직 다루지않은젊은이들의 당면한고민을 서핑을이용해다룬 참신한영화였다?
10,이 영화는 제목만큼 이상했습니다. 로드오브독타운 같은 영화를 기대하고 보지는 마세요. 하지만 서핑하는 사람으로서 10점을 드릴수밖에 없죠? 화이팅
10,그냥 보세요 신선한 영화순간 순간 선택인 우리의 인생을재미있게 보여주고 있어요
10,바다 실컷 봤네요~서핑 하는 모습으로 대리만족을 느꼈어요다른 배우들의 연기도 좋았습니다~
