score,reple
2,중국인들은 영화까지 정부의 검열을 받나보네. 장르를 가리지 않고 중화사상이 안들어간 영화가 없음. 시작부터 끝까지 우리 중국이 세계 제일이야 짱이야 하는 지들끼리 자화자찬하다 끝나는 영화
1,"중국, 특히 주인공인 오경이 세계 평화를 지키고 지구도 구하는 등 중화사상이 들어있는 영화를 그간 수없이 많이 봐왔지만 이번 영화가 그 중 최고 였던 것 같다가장 가관이었던 것은 초반에 사고로 사망한 첫 등반대장의 대사였는데 관람하는 내내 잊혀지지 않았습니다.&#39;방오주 이제 네가 등반 대장이다. 꼭 우리산의 정상에 올라가다오&#39;언제부터 에베레스트가 중국의 산이었는가.."
1,중뽕치사량...크으..
1,평점 왜 10점임?? ㅋㅋ
1,"중화사상을 제외한다쳐도 영화 자체 평가가 사치인 영화임. 티 엄청나는 cg부터 스토리 전개, 캐릭터 매력 다 꽝임. 툭하면 감동적인 노래 틀어 감동주려고 하는데 기가 차기만 함"
1,중공군 정훈교육 시청각자료급 영화
1,개 중뽕 쓰레기 영화 극혐 수준
1,너무 심한 국뽕은 반감을 불러 일으킨다.  어느 정도껏 해야지.  중국홍보영화..  돈 받고 봐야할듯
2,중국이 짱이다라는 영화 중국영화는 다 자기들이 짱이라고 함!! 중요한건 우리나라도 국뽕에 취해있음
1,페미니스트들의 추천영화입니다.
1,중국 공산당 OUT.  Freedom Hongkong
4,90년대 cg에 공산주의 교과서에 나올법한 영웅스토리
1,조선족 ㅅㄲ들 네이버 영화에서도 분탕질 치네 이런 쓰레기 영화에 별점 10 주는 조선족들 개역겹다
1,영화보는 알바비 받아야한다..ㅠㅠㅠㅠ 이건 도처히 끝까지 못본다....
1,[장쯔이가 아깝다]
1,"중뽕+신파 대단하네 중국의 힘, 중국의 산 에베레스트가 중국 산이라고 언급만 계속 하는데 수준 보이죠 여러분? 그리고 여주인공 로맨틱 살짝 첨가로 인한 더욱도 화나서 중간에 나옴"
1,"올 추석 전 무료영화로 볼만할 듯한 영화네요. 주연배우가 울때 만원이 아까워서 같이 울었어요,"
1,중국의 국뽕이 지긋한 영화... 솔직히 ... ;; 한국에서도 국뽕이니 신파 엄청 싫어하는데 이영화는 심해... 중국 자본 받은 헐리우드 영화들이나... 중국영화들이나... 국뽕 좀 뺏으면..
1,산은산이요 물은 물이로다 성철스님의 책을 읽기를 권합니다
1,불면증 치료엔 최고의 영화입니다....불면증 있는사람만 보세요...ㅎㅎㅎㅎ
1,짱깨답다. ONLY GOOD CHINESE IS DEAD CHINESE
2,옛날에는 오경 나오는 영화 찾아보기도 했는데... 갑자기 국뽕 영화 전용 배우 되더니 이제 얼굴만 나와도 그냥 걸러버리네
1,알피니즘에 대한 블록버스터급 모욕.이걸 산악영화라 부르지도 마라.
1,중국인들의 지능은 성인이 되어서도 초등학교 5학년 정도에서 멈춰있는듯. 이런걸 영화라고 만들고 용납하고 투자받는 자체가 신기하다
1,"중국 공산당 홍콩보안법을 지지하던 성룡, 니가 나오는 영화는 이제 안본다"
1,중국인들은 웅장한 음악 없으면 영화를 못찍음? 이게 유튜브 웅장한 음악모음인지 영화인지 ㅋㅋ
1,이걸 보느니 클레멘타인을 보세요..!!!
1,진짜 이런영화에 9점 10점 주는 사람들은 중국인이라고 밖에 생각할수가 없네요...우한폐렴을 다룬 영화가 나오면 그런거나 수입하지..
1,짱개가 하는 게 그렇지 뭐ㅋㅋ
1,티벳 독립 못하게 하려고 만든 중국 선전영화네 그냥시간 썩어나? 돈 썩어나? 그럼 봐아니면 보지마
1,이거 10점 준 사람들 다 짱깨들이냐? ㅋㅋㅋ 아니 진짜 리뷰 속이기 이런거 반신반의 하고 있었는데 이 영화로 찐이라는 게 판명났네 그렇게 이 영화가 좋으면 중국 가서 살아라 아 진짜 드럽다
1,평점 9점대 뭐야...? 눈감고 봐서 9점 10점 이렇게들 주시나? ㅋ 댓글 알바 대단쓰...
1,"중국 건국 70주년 기념 영화입니다. 네, 그렇습니다 중국 공산당 선전 영화에요."
1,0점이 없어서 1점 줍니다..
1,알바천국.. 평점에 속앗음
1,평점 왜이렇게 높아 놀랐네;; 마음아픈 CG와 뭐만했다하면 중국을 위해! 중국인의 힘!... 여자빌런도 짜증나고 그냥 뻔히보이는영화 뻔히보이면 연출이나 영상미라도 있어야하는데 전혀 없음 그냥 중간에 잠깐 졸았는데 내 생각 맞았고 피도 가짜같고 갑자기 지금 결혼하자!뭐야....
1,중국 여론조작단 많네요
1,"티벳,홍콩 강제로 하나의 중국만들고 에베레스트 중국꺼임 ㅇㅇ에 로맨스,신파만 난무하는 중화사상에 찌든 영화그자체. 몇명 조선족이 보고 10개 별점줬나"
1,네이버평점 밎지마세요 ㄹㅇ계속 울면서 신파 더럽게 많이 넣고요.영화에서 아주 대놓고 홍콩과 기타 나라들이 중국 소유라는 것을 말하고있어요.영화가 아니라 정치적인 목적으로 만들 더럽고 추악한 영화입니다.평점 높은 리뷰들은 정신나간 인간이거나 댓글 알바생입니다.
1,0점은 왜 안되지
1,알바쓴다고애쓴다 타이완넘버원^^
1,올해 최악의 영화 돈 버리고 싶으면 보러가셈
5,액션이 왜 등장하는지 모르겠다
1,이딴영화를 왜 수입해온거죠
1,"중국 영화의 기본을 보여줌. 자고 일어나도 장면이 그대로임 에베레스트인데, 새트장 촬영을 해서, 5팀정도 애베레스트를 오르는 거 같은데, 모두 동일한 위치만 나옮. 참 이따위로 영화를 만들 수 있다니."
1,이렇게 조잡하고 지루한 산악영화는 처음이다
1,장담컨데 여기 별점 2점 이상인것들 전부다 ㅈ선족들임
1,이게왜우리나라에상영?
1,이걸 재밌다고 하고 자빠졌네 미친 사람들 ㅋ
1,ㅋㅋㅋㅋ
1,나는 개인이오시~진~퓡~퓡~
1,깡패국가 중국 국뽕물.. 에베레스트가 니들 거냐
2,중국국뽕에 취한다 평점 9점이 넘는거도 짱OO들 알바딧
2,히말라와야 접하고 있는 티베트의 독립을 기원합니다
1,이딴거보고재밌다고하는놈들은머리에뭐가있는거지?그냥중국뽕ㅈ나찬영화잖어에베레스트는중국꺼다이OO하고갑지기어거지로멘스끼워놓고그냥중뽕가득찬졸작이다
1,1점도 아깝고 시간도 아깝고. 이딴 영화가 9점이 넘는다고? 정말 알바가 있구나.
1,짱OOO들 장난하나 떼거지로 몰려와서 평점 조작하네. 이새끼들은 어떻게 이 소재로 무협영화를 찍냐 에휴 OO들
1,국내거주 조선족이랑 춘장새끼들만 좋아하는 영화
1,전부 댓글 알바인가...?
1,어? 네이버 알바짱ㄱ ㅐ넘들 여기 다 있네
2,그냥 안본다 안봐홍콩영화 보면 모르냐cg라고  사람이 공중 날아다니는거난 그래서 홍콩영화 무협 무술 그런거 안본다평점보니 여기가 알바천국이네
1,국뽕은 우리가 한수가 아닌 백만배 아래구만ㅋㅋ
1,
1,짱깨 스럽다.이런거 국내개봉 왜하지?
1,왜 별점 0은 없냐? 그리고 중화사상 더불어 공산주의 춘장영화는 거르는게 답이다 알바들아 니들 니돈내고 이영화 보겠냐?
1,영상미 빼곤 전부다 ㄸㅗㅇ 임!
1,우한짜요 중궈짜장요
1,이 영화를 조선족이 좋아합니다
1,이 따위 OOO 영화를 왜 수입한거야 ㅂㅅ 진짜 할말이 없너..
1,쓰레기영화
