score,reple
10,개인적으로 그어떤영화도 T2의 경쟁상대로 갖다붙이지않는데 유일하게 대적할만한 작품이 에이리언2임.
10,제임스 카메룬 : 전편보다 나은 속편이 없다고?? 여깄지롱
10,"공포, 스릴, 밀리터리, 괴물  4박자의 환상적조화 86년 영화다.... 요새 영화 반성좀 해라.."
10,무삭제 원판 구해서 꼭 보세요.  케이블에서 무삭제 원판 해줬으면 좋겠네요. 그 어떤 칭찬을 해도 모자를 SF 스릴러물 중 전무후무한 역작... 제가 죽기 전까지 에일리언2를 능가한 아니 근접한 영화가 나올까 30여년 지나도 안 나왔는데 말이죠.
10,아니 어떻게 2011년작 7광구보다 86년작 에일리언 2편이 훨씬 더 낫다는 생각이...
10,"내 인생 통틀어 5손가락 안에 드는 명작. 에이리언은 4편까지 나왔는데 그 중 단연 1위인 것이 에이리언2!!! 스토리, 연출, 효과,  무기/장비 등 대박!!! 최신 SF영화까지 포함해도 감히 금세기 최고의 SF영화라 단언한다."
10,이게 80년대 영화란다 근데 퀄리티를 봐라 ㅎㄷㄷ진짜 괜히 제임스 카메론이 아니다.
10,아직도 기억나는 게에이리언들이 떼로 오는데 분명 게이트를 통과했다는 레이더가 번쩍번쩍그런데 천장타고 폭풍러쉬하던 그 장면; 리플리가 막판에 소녀구하로 가는 장면; 명작입니다;
10,스릴과 긴장감은 역대최고다  어떤 영화도 에일리언2를 따라올수 없다.
10,이거 안 봤으면 SF 영화 봤다고 하지 마라. 쪽 팔린다.
10,명작들은 오랜시간이 흘러도 전혀 촌스럽지가 않다。
10,리메이크하기 두려운 영화죠. 시고니위버 같은 배우는 없을듯..
10,리플리가 포터로봇을  끌고  나왔을때  영화관에서  나오는 박수소리 잊을수 없네요.영화관에서  박수치는  것은  처음이자 마지막인거 같아요
10,터미네이터2 다음으로 10점만점에 10점을 다줘도 아쉬움이 남는 걸작. T2에 유일하게 대적할만한 작품이라는 의견에 더할 나위없이 공감함. 처음부터 끝까지 완벽 그자체.
10,이것도 영화냐?ㅅㅂ이건영화가 아니라 전설이다...
10,아바타??? 기술력은 앞서갈지모르나 그것을 제외하곤 오히려 아바타가 퇴보한 느낌마저 준다. 게다가 이 영화는 이제 곧 나온지 30년이 다되가는데도 지금봐도 정말 흠잡을데가 없다.
10,"84년 터미네이터를 시작으로, 86년에는 이런 어마어마한 SF 걸작을 내놓다니! 이미 제임스 캐머론 감독의 능력은 오래 전부터 넘사벽이었음을 보여주는 영화다. 과학과 우주에 대한 심오한 메세지가 이미 30년 전부터 시작된 건, 상당한 센세이션이다."
9,ㅋㅋ 괜히 퀸 엿맥이고 나와서 ㅋㅋ 그냥 냅둬도 폭팔할탠데 ㅋㅋ
10,10점 만점중 15점. 요즘 나오는 sf영화들이 이영화의 반만 따라와도 원이 없겠다
8,엄마와 엄마의 싸움!
10,이영화를 만든 제임스 카메론 감독에게 인류가 부여할수있는 최고의 찬사의 말을 전하고싶습니다 이분이 만든 다른영화 아 ! ..-진짜 어떻게 표현해야 이분이 기뻐하실지.. 그냥 신이가 신 더이상도 더이하도 아닌.
10,살면서 제일 재밌게 본 괴수영화.
10,"1편도 대박인데, 2편이 86년작이라니... 오래됐구나...다시봐도 최고작품!!!"
10,get away from her you bitch!
10,이게 80년대 영화라니..지금 한국기술로도 못만들껀데..아니 수OO뒤에도 못만드는걸 80년대에 만들었다니..대단하다..
10,1에서 4까지 다본결과 에일리언2가 제일 재밌었다. 진짜 이 영화에 버금가는 영화를 지금 만드라해도 못만들듯
10,화질 좋은걸로 보니까 더더욱 30년전 영화라는게 안믿겨지네... 손에 땀을 쥐게하는 긴박함... 절정의 연기력... 감독의 상상력이 어우러져 에일리언 시리즈 중  최고라고 평함 ... 대박
10,이게 80년대 영화라고? 완전 사기다 사기
10,그냥 대작입니다. 요즘 영화와 비교해도 손색은 커녕 더 나음.
10,진정한스릴과 진정한SF가 무엇인지 보여준 에이리언!!!!
10,"&lt;최고의 빅5 긴장감&gt;1.장갑차타기전 드레이크 죽을때 ~2.자동소총 A,B탄약 떨어질때~조마조마3.생체감지기 소리와 예상과다르게 천장위에 두두둑~~4.뉴트구하러 리플리 혼자 엘리베이터에서 완전무장할때5.퀸이랑 1:1 맞짱뜰때"
10,아직까지 기억속에 서 계속 남을 정도로 이 에일리언2 영화는 엄청난 명작이자 수작이다!
10,현재와서 다시 개봉한다 해도 절대 꿀리지 않는다
10,어째서 리플리는 빤쥬만 입고 돌아다니는 걸 좋아하는 걸까?! 라는 의문을 제외하고는 보는 내내 감탄만 하게 되는 영화. 시리즈의 연계도 좋고 무엇보다 쫄깃한 긴장가득 연출이 압권.
9,30년후에 개봉했어도 동시대 작품들과 경쟁이 가능하지 않았을까 싶은 완성도.
10,"이 스릴감은 어떤영화로도 비교 불가하다. 생체감지기의소리, 환풍기의 소리가주는 스릴감은 지금 들어도 오싹하다. 미니어쳐라는 느낌은 전혀 없고 27년이 지났지만 이렇게 긴장되는 영화는 나에게 없을것 같다."
10,에일리언 등장 타이밍이 죽이네요 전체적인 연출이 군더더기없이 일품입니다 ㅋㅋ 이게 86년작이라니 cg도 봐줄만하고 에일리언은 어쩜 그리 생동감있게 찍었을까 궁금하기까지하네요 굳
10,역사상 최고의 SF영화... 정말 이런 영화를 만들었단 자체가 엄청난 사건이라고 밖에는....
10,몇OO이 지났는데도 왜 이만한 공포sf영화는 없냐 ㅋㅋ ㅋㅋ요즘은 쓰리디며 그래픽이며  다 좋고 멋도 있는데  내용은 안드로메다고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ  요즘은 기대하고 영화를 보면 열번중에 8번은 실망하는거같애 ㅋㅋ
10,"인디아나 존스, 이티, 폴리스 스토리, 천녀유혼, 영웅본색, 에일리언2, 백투더퓨쳐, 스타워즈 제다이, 로보캅... 나의 어린 시절은 인류문화사의 황금기였던 것 같다."
10,환풍구에서 해병 중위가 해병대원 구하러 가서 포위당하자 둘이 손잡고 자폭하는장면  숨은 명장면..대작중에 대작!
10,"시나리오부터 세트/소품 디자인 그리고 모든 연출까지, 86년도 영화라는 게 믿기지 않을 정도로 지금까지의 영화들도 견주기 힘든 최고의 SF 영화."
10,정말 최고다!!
10,터미네이터1와 함께 80년ㄷ 최고의 SF
10,sf디자이너 칭찬해야 한다 ㅎㄷㄷ 이게 86년작이라고?
10,30년이 지났는데도 아직도 이걸 뛰어넘을만한 영화가 나오질 안ㄶ는다
10,CG만 득실거리는 것이 나와서 날아 댕기고 싸우고 하는 것보다 손수로 만든 아날로그 식으로 한 이것이 더더욱 압권이고 진짜 잘만들었다
10,대체 카메룬형은 어떻게 되먹은 사나이인가
10,"전작에 명성을 먹칠하긴 커녕 에일리언 시리즈를 탑급으로 올려놨다 SF호러,괴수물중에서 이보다 뛰어난 작품이 또 나올수있을지..."
10,"괜히 나올 때 어미 알 건드려서  긁어 부스름 만들었다는 분이 저 아래 보이던데, 영화 제대로 안 봤네. 알이 딱 까지면서 새끼가 나오려 했음. 그냥  가면  그 놈 한테 당했을 것임. 한 놈, 두 놈 막 나올 게 뻔했으니 작살낼 수 밖에 없었다."
10,이 영화는 정말 레전드 of 레전드~!!
9,에일리언나올때보다 자동총 탄환쭉쭉내려갈때가 공포
10,장르를 불문하고 왠만한 명작 영화랑 맞짱떠도 우위의 레전드
10,숨을 죽이며 봤던 최고의 명작
10,마지막에 마미 하면서 안길때 정말 눈물이 왈칵
10,요즘영화보다 퀄이 더 좋은거같애 ㅋㅋㅋ
10,어렸을 때 본 최고의 영화 였다. ㅎ 진짜 티비 에서 나올 때 마다 봤다.
10,말이 필요 없다. 시리즈중 단연최고다. 부모 잃은 케베카를 향한 자식 잃은 리플리의 끈끈한 모성애는 기술력 좋아진 현대에 CG 떡칠 영화들론 그 몰입도와 스릴을 따라 올수가 없다. 영화 시작부터 끝날때까지 긴장을 늦출수없는 10점이 아깝지 않은 영화.
10,제임스 카메론은 정말 천재 감독이야.
10,수십번을 다시 봤지만 86년작이라고는 믿기 힘들정도로 대단한 영화다
10,처음 봤을때의 임팩트로 평점합니다.
10,이게 영화라고? 웃기지 마라 이건 영화 그 이상의 예술 작품이다 다시 봐도 정말 재밌고 끝내주네 제임스 카메론 감독님에게 무한한 존경을 보냅니다!
