score,reple
10,1979년 작 영화가 2013년 작 영화보다 더 우수하다니
10,70년대 작품인데 7광구보다 70배 이상은 낫네
10,프로메테우스 때문에 다시 찾아 보았다. 역시 최고의 SF물
10,희대의  걸작
10,어릴적에 보고 정말 반한영화... sf영화의 신기원을 이룬....... 에이리언 관련영화 중 오리지널 영화... 이영화 이후 90년대까지 에이리언 붐을이룸..... 유사 영화가 엄청 쏟아짐....
10,지금기준을 들이미는사람은 뭔가요; 이순신 장군이 현대전 오면 발린다는 얘기랑 다를게 뭐임;; 1979년도에 저런 상상력과 연출이라니.. 시대를 앞서간 SF의 영원한 걸작. 재미도 감동도 없이 CG 떡칠이나 하는 쓰레기같은 요즘 SF들은 반성좀 하길..
10,에일리언 시리즈 중 제일 재밌다 어제 감독판 봤는데 우리나라영화보다 30년이상앞섬
10,말이 안나온다. 첫 장면에서 우주선 내부 보여주는 씬 이게 79년도 작품이란게 상상이 안갈정도로 엄청난 퀄리티를 보여준다. 영화 세트 하나하나가 시대를 앞서가는 SF 신기원을 이룬 명작
9,렘버트 내가 죽이고 싶어지네 어휴 ㅋㅋ
10,"2,3,4 편을 보고나니 더욱 돋보인 에어리언 1편 액션과 화려한 볼거리가아닌 정체를 모르는것이 가져다 주는 공포를 느낄수있는"
10,진짜 1979년 영화가 이정도라니... 말이 안나온다
10,진짜시대를앞서간영화입니다..오늘 블루레이급 화질로봤는데..제가태어나기전에이영화가만들어졌다니역시미국은대단한것같네요
10,건조한 연출이 몰고가는 긴장감을 보라.
10,에일리언 시리즈 중 제일 무섭고 제일 재밌다
10,불쌍한 초딩세대들...이걸 지루하게 느끼다니..안타깝다.
10,경이적인  작품 . 33년전에  나왔다는 것이 믿기지 않는다.
10,70대후반에 개봉한 시대를 앞서간 영화
10,이 세계를 처음으로 구상해냈다는게 이 영화와 리들리스콧의 공로임... 가장 인기가 많았던 2도 이 영화 앞에선 한수 접는게 예의...
10,아직까지 <에어리언>이 회자되는 이유
10,1979년 이란게 믿기지 않을 정도로 잘 만든 작품!!!!
10,이게 79년작이라니..리들리스콧의 역량에 찬사를.
10,걸작. 요즘도 이런 영화 보기 정말 드물다.
10,SF와 공포의 환상의 조합!!  ALIEN!!!
10,21세기영화는 반성해야된다 ㅠㅠ
10,"이 긴장감 스토리,소재,비주얼 빠지는게 하나도 없다.이게 79년도에 만든 작품이라니"
10,계속 봐도 정말 감탄만 나온다 70년도에 저런 상상을 할 수 있는 자가 과연 있었을까? 시대를 뛰어넘고도 상상 그 이상을 추월해버린 영화
10,79년이다 어린놈들아. 니들이 정자로도 존재하기전 영화다. 무릎꿇고봐라.
9,"에일리언 시리즈중 2편 후부터는 s.f ,액션 이었지만  에일리언1편은 공포영화에 가깝다 미지의 우주에 대한 그리고 그 우주에서 마주치게된 흉악스러운  괴물에 대한 ..."
9,리플리 말만 들었어도 이 모든 사단은 일어나지 않았을 텐데
10,리들리스콧 >>>>> 제임스 카메론
10,천재의 마스터피스.. 크리쳐물의 최고봉..
10,다른 시리즈는 온갖 치장과 효과에 느끼한데 이건 단백하고 가장 공포감이 쩐다ㅠㅠ
10,우리나라에서는 에이리언2가 먼저 개봉. 이것이 흥행하자 에이리언1도 이후에 개봉함. 1979년작이라고는 믿어지지 않음. 최고의 영화
10,시리즈중 가장 적은수의 에이리언이 등장하는데 불구하고도 공포감이 장난아니다
10,"대부분 사람들이 본, 평소엔  꺼리다가 프로메테우스를 보고 호기심에 처음 본  이작품정말 놀랍다.. 도저히 이시대에 나올법한 영화라고 믿을수 없을정도 대단한  아트, 소품과 풍부한 내용 점수로 도저히 매길수 없는 작품이더군요"
10,외계인 나오는 영화 중 단연~~최고! 몇 OO이 지난 지금 봐도 최고!
10,지금봐도 손색없는 연출력! 리들리 스콧이 정말 외계인이다!
10,역시 최고. 최고!! 기념비적 작품
10,괴물영화중에 이런명작 영화는없다 ㅠㅠ
10,리들리스콧은 천재 어떻게 이런 영화를 70년대 탄생시켰을까 후속편 다 합쳐도 버로우
10,무조건 10점만점에 10점
10,괴물이 나오는 영화를 볼려고 한다면 반드시 이영화 부터 봐야 한다
10,"오늘 감독판으로 봤는데, 새벽에 보니까 개 꿀잼."
10,SF스릴러의 교과서!
10,이 영화는 할말이 없다 진짜 짱이다.......
10,79년작이 지금의 한국영화 보다 앞선다.
10,한국에서는 2079년이 되어도 못만들 영화.
10,오래 전 영화인데도 촌티가 거의 안난다. 정말 잘만든 작품. 보는내내 감탄.
9,40년전 sf라고는 믿어지지 않는
9,현대영화를 뛰어 넘음....
10,40년의 세월이 흘러도 한국영화는 아직도 이 작품을못뛰어넘고 있다... 제발 조폭영화 그만만들었으면..
10,79년이라니...ㄷㄷ 시대를 앞질러가는영화
10,1979년작 영화가 2015년  한국 영화보다 더 훌륭하다는게 한국영화의 한계
10,진짜 이건 년도를 못믿겠다 정부에서 구11라 치는거아니냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋ대박이다진짜 79년도라니
10,장난아니에요스릴넘치구 SF물중에 제일잼있는듯!!!!
10,이게 79년도 영화라니 ㅎㄷㄷㄷㄷ;;;
10,영화를 이 정도 까지 찍어오면  더 이상 할말이 없게 하는 수준
10,4편중 최고. 오버하지 않은 절제된 연출에서 더욱 느껴지는 공포
10,"SF 영화의 혁명이다.... 에일리언은 인간의 원초적 호기심, 즉 우주의 또다른 존재에 대해 파헤쳐 나가는 말 그대로 Science Fiction 오리지날 '공상과학영화' 의 명작 중의 명작임."
