score,reple
10,가끔은 흔들리는 청춘이 부럽다.거제도의 폐왕성이 가지는 유배의 시간과공간의 자연스러운 연결과 어디로 갈지 몰라 방황하는 시간속에서 자연스런 영상미와 꾸미지 않은 대사가 편안하다..잔잔한 여운이 오래가서 쉽게 자리를 뜨지 못했다.이랑의 노래 평범한  사람~  확 꽂힌다!!^^
10,"빠른 도시의 템포속에 파묻혀지내다가 이 영화를 보니, 숨도 한번 크게 천천히 쉬어보고, 창문밖의 하늘을 멍하니 보며 구름이 일하는것도 구경 하는등 좀더 주위를 둘러보고 스스로의 템포를 낮춰보게 되었네요!"
10,"익숙한 풍경, 낯선 시간들우리의 계절은 이렇게 또 흘러가고, 여름으로 기억될 명작"
10,"코로나블루에 삭막해진 내 맘,, 잠시나마 힐링과 위로가 되어줌ㅜㅜ 나도 거제도로 유배(!)가고 싶다아ㅏ"
10,오래간만에 영화를 보고 위로를 받았다. 감독이 의도한 부분이 나의 감정과 같을지 모르지만 나만 유배된 삶을 사는 것이 아닌가 보다.라는 생각에 슬프면서도 스스로에게 위로를 했다. 조언이나 위로보다도 그냥 옆에 누군가 있으면 할 때 나에게도 거제도 청년이 말을 걸어 주면 좋겠다.
10,"인디포럼 폐막작으로 보고, 개봉해서 한 번 더 봤다. 영상미와 사운드가 특히 좋은 이 영화를 한 번으로 끝낼 수가 없어서."
9,"평범한 어느 날, 무언가를 전하려하지않고 천천히 쌓아가는 영화. 들려오는 친구들의 아무 의미 없는 얘기들 속에서 실소하며 잔잔히 위로받는다. 현대적이면서도 조용함이 이상하게 어우러져있는 거제도는 복잡한 승희의 마음 속 같다. 무언가를 바라지도, 일이 잘 풀리지도 않지만, 그것을 받아들이는 어느 순간 승희는 더욱 어른이 되었다. 우리 모두가 겪을 여름 날, 위로받아야 마땅한 마지막의 우리들."
10,이런 느리고 감성적인 영화 오랜만에 좋네요 잘봤습니다.
10,무덥던 여름날이 이내 그리워질거야.
4,예술성을 열심히 찾으려고 하면서 봤습니다.저는 실패했고 자다 나왔습니다.여주가 예쁘고 가끔 나오는 바다 풍경이 예뻐요.
4,보는내내 영화를 보는건지 인간극장을 보는건지 모르겟다 백수여성의 며칠간의 일정이 스토리의 전부임;;; 그래도 몰입하게 된다 조금 말이 안되는건 젊은 여자가 처음보는 남자와 밥을 먹질 않나 산에를 올라가질 않나 겁대가리가 없다 ㅋㅋ
