score,reple
9,여배우의 현실적인 이야기를 소재로 해서 무거우면 어떡하나 걱정했는데 유쾌하고 공감되게 풀어나가셔서 70분이라는 시간이 훅 지나갔습니다 그러면서도 전달하고 싶은 메세지가 명확하게 드러나는 영화입니다 문소리 감독님 화이팅!!
10,"차려진 밥상을 먹기만 하다가 이제 아무도 밥을 차려주지 않아 본인이 밥상을 차려먹는다는 생각으로 만든 영화.가볍고 유쾌해보이지만 그 안을 들여다보면 그렇지않은, 여배우의 삶의 한면을 보여주는 깊이 있는 좋은 영화! 문소리 감독님이자배우님 화이팅!!"
10,"비밀은없다, 미씽, 여배우는 달린다~몇년사이 재미있게 본 한국용화의 공통점 &#39;여성감독&#39;이라는 점입니다. 문소리감독님~좋은 영화 감사하구요. 오랜만에 영화를 보면서 소리내서 웃었어요. 영화가 술을 불러서 술은 못 줄이겠네요.^^"
10,여배우가 아니어도 여성이라면 모두 공감할 이야기
10,"문소리 감독을 응원하며 네이버에 처음 댓글도 남겨 봅니다오랜만에, 나의 현실과도 이어지는 이야기를 무겁지 않게, 진솔하게 전하는 영화를 보며 유쾌하고도 짠했어요다음에 좀 더 본격적인 장편으로도 뵐 수 있으면 좋겠습니다! 힘내세요! :)"
9,문소리의 재치가 한국 사회를 담다. 화려한 여배우도 82년생 김지영임을
9,홍상수의  사랑  이야기보다  훨씬  짜임새있는  여배우  분투기
9,남탕과 조폭의 향연이 된지 오래인 영화판에서 정말 오랜만에 여배우 원톱의 영화를 만났다 . 이것만으로도 흡족. 문소리 배우의 매력을 또한번 느낀 시간!
10,배우의 삶의 이면을 다루고 있지만 &#39;남자배우&#39;들은 이 영화에 깊게 이입하지 못할것 같고 오히려 사회 곳곳의 &#39;일하는 여성&#39;들이 공감할 이야기인 것 같음. 하지만 다 떠나서 오락적으로도 훌륭했다. 유머러스하고 재밌었음!
9,"오늘도, 달린다. 유쾌한 영화였어요."
7,무겁지 않지만 현실적이고 유쾌하지만 웃기만 할 수는 없는 그런 영화.  대한민국 여자배우들의 영화들이 흥행의 유무를 떠나서 건재하며 빛을 볼 그 날을 위해  더 많이 나왔으면 좋겠습니다.
10,우리는 오늘도 달린다.
10,사랑해요 문소리 너무 멋짐
10,완벽하다 영화란 이래야 하지 않나 싶다. 재미와 의미 모두를 느낄 수 있다. 대형배급사들 좀 너무 하지 않나? 어쩌면 이렇게 상영관이 없을 수가 있나.
8,너무 재밌게 보았습니다^^~문소리배우님의 진솔함과 도전에 박수를 보내고 싶습니다!!!
9,상영관이 적은게 아쉬운 영화
9,유쾌하고 여자로써 느끼는 여러가지 사회적 감정을 영화에서 느꼈어요. 공감되는 영화여서 즐거웠습니다!
9,첫 연출인 걸 생각하면 놀라운 영화!! 즐겁게 잘 봤습니다
10,여배우는 오늘도 너무나 좋고 여러번 볼수록 좋은영화입니다
10,졸라잼있음 한번보세요
7,문소리가 내 이상형~~
7,여배우만의 이야기가 아닌 우리의 이야기! 공감되면서 마지막엔 따뜻하게 위로받을 수 있는 영화였어요!
10,문소리 배우님의 실생활 연기 정말 인상 깊었습니다!! 중간중간 빵빵 터지는 웃음 포인트도 넘 좋았어여 ㅋㅋ 힘들땐 쉬어야죠!
10,여자 배우들이 설 자리가 많아졌으면
8,소리지르시는 소리배우님 보고 아 내가 스트레스풀리는 기분이었다
10,"영화가 시작하기 전과 끝난 후 gv마저 0막, 4막이 되었다."
10,알탕개그로 웃기려들지않아서 아주 좋았다.다만...술자리 개저씨씬에서 울려퍼지던 남관객의 웃음소리... 죽이고싶었다 존나 나는 한숨으로 만리장성을 쌓았는데 너는 지금 저게 웃기지요..? 허허허...부디 4막도 보고싶습니다...!
10,웃픈 여배우의 이야기. 웃기면서도 한편으론 씁쓸한 기분이 드는 영화. 문소리배우의 다음 영화도 기대됩니다
10,"여배우는 오늘도, 재밌게 봣어요!"
9,시간 가는 줄 모르고 재밌게 봤습니다!
8,문소리씨의 실제 생활을 촬영한 것인 줄 알았음. 이 모두 연기라니 놀랐음. 전여빈의 능청스러운 연기가 일품
9,문소리.. 한국의 메릴 스트립이야..
10,문소리감독의 다음 영화가 기대되는 영화
10,
10,문소리 대단..이런게 사람영화다 이런영화 홍보가 잘됐어야하는데
8,여배우이기 전에 사람 문소리를 볼 수 있는 영화여서 좋았습니다.
7,즐겁게 볼 수 있는 현실영화하지만 짧아서 많이 아쉬웠어요 ;)
10,문소리 배우님을 확실하게 보여주는 문소리 감독님의 멋진 작품
8,문소리배우 실제로 뵌적 있어요..영화촬영하시는거요..뭔가 실제의 모습과 닮았을 것같아요..그리고 이뻤어요.문소리배우님.영화안에 문소리배우 하나로 꽉 채운 영화.
10,일단 응원의 별점 드립니다. 어떤 배우는 계약할때 스텝들이 자기랑 눈 못마주치게하라는 조건도 걸던데 문소리님한테는 인간미가 많이 느껴지네요.
8,믿고 보는 문소리 배우+감독 ♡
10,"작품이 진정성이 담겨있어, 와닿아요! 문소리 배우의 연출력 ! 최고에요 이 작품을 왜 이제 봤을까 다음 작품도 기다릴께요!"
9,재밌고 풍자적이다 여배우가만든 여배우의 영화
10,"신선하게 본 영화. 문소리 배우, 감독, 그녀의 재치는 최고였다,"
8,감독 문소리가 정작 하고싶었던 이야긴 3막에 있는듯. 멋지고 용기있고 솔직하고‥예쁘다!
10,아. 문소리 배우님 계속 영화 만드시길 제발 아멘
7,&#34;잘 &#34;이 아니라 될때까지~하는거라는 문배우의 마지막대사가 귓가를 맴돈다.  재미와 감동을 넘어 측은하고 씁쓸함을 입안에 머금은 느낌이랄까. 여성으로서의 공감↑ 특별출현에 대한 생각도 다시하게 되었고. 중간중간 막이 끊나는 암전이 꽤 길다 느껴짐.홧팅
8,무거운 소재를 유쾌하게 풀어내는 법을 아는 감독! 차기작 대기대!
10,"문소리 감독님, 배우님. 존경하고 좋아합니다"
9,다음 작품도 기대된다.
7,문소리 배우님은 영화도 잘하고 연기도 잘하네ㅠㅠ
7,웃프지만 그럼에도 달린다.  그렇게 달린 이 감독의 차기작을 기다려본다.
7,진짜 한국스럽다. 영화 속 문소리가 대한민국 생활인의 진솔한 모습을 보여준다.
10,멜로가 체질의 전여빈의 작품을 보고싶어서 봤는데 일케 재밌을줄이야!!문소리님 매력철철~짜임새있고 지루함1도 없고 완전 강추!! 러닝타임이 아쉬웠음
9,"감독 문소리를 기대하게 되는 영화. 소소하게 웃음을 주는 장면이 많고, 여배우가 아니더라도 공감가는 부분이 많은 영화. 잘봤습니다."
8,공감가는이야기 담담하게 잘 풀었네요. 잘봤습니다. 이영화보고 문소리팬됬어요. 근데 관객수가 너무 적네요.
10,사람 사는 건 다 똑같구나 위로가 되는...마지막 문상 문소리의 눈물에 많은 의미가 담겨있는 듯... 같이 힐링이 되었다.
10,ㅎ ㅏ....
10,정말 멋있는 배우님이시자 감독님. 앞으로도 이런 진취적인 행보 응원합니다:)
7,꺼내기 쉽지않은 내용을 가지고 재치있게 풀어갔다.
10,ㅋㅋㅋㅋ 잼있음 문소리씨 예쁩니다 !! ㅋㅋ
10,우연히 채널돌리다 보게됐는데... 흠뻑 빠져서 봤네요^^
9,무엇보다 현실적인 영화
8,내가 나이를 먹은건가..
10,다음이 궁금해집니다.
10,재미있게 봤어요 다음엔 예술영화 부탁합니다
10,좋은영화 여운이 긴 영화 이런영화를 만들어주신 문소리감독님께 감사를 전합니다
8,감독까지 잘하는 그녀는 도대체...
10,좋은 영화 정말 감사합니다
8,여배우들2 꽤 리얼하다
10,문소리가  달릴 때 저까지 속이 다 시원해지네요.
