score,reple
2,진심 이게 코미디 영화인지 다들 웃음장벽이 낮은지..좋은배우들 데리고  C급영화를 만들다니 진짜 안타깝네요 ㅠㅠ재밌다는 댓글보고 급하게 보러갔다가 낭패봤습니다..
4,"이 배우들을 가지고 왜 이런 영화를 만든 건지 도저히 이해할 수 없다. 엄정화도 액션씬 찍을 수 있다는 것을 발견한 것 이외에 아무 것도 신선하지 않았다. 너무나도 비현실적인 시나리오, 허접한 CG처리, 엉성한 흐름의 스토리...영화 제목도 왜 붙였는지 이유를 알 수 없다."
2,반도를 피했는데 이걸 못피했네. .. .
7,리뷰보고 엄청 재밋는줄알앗는데 기대를 너무한건지 생각보다 그냥그랫어요~생각도못햇던 반전은 많앗는데 ..음..평점에 낚인거같아요..
10,시사회 평 좋길래 조조로 보고 나왔는데... 재밌는데? ㅋㅋㅋㅋ 액션이 의외로 미쳤음
10,캐릭터 하나하나 톡톡 튀는 게 걍 친구랑 암생각 없이 가서 보기 좋은듯!! 오랜만에 생각없이 웃을 수 있어서 좋았음
10,신파없는 코미디 매우 좋았음. 액션도 괜찮고 예상치못한 반전의 반전ㅋㅋ김남길ㅋㅋㅋ너무 웃겼음..
10,엄정화 액션 퀄리티 ㄷㄷ 진짜 기대 ㅇ ㅣ상이었음 ... 좁은 공간에서 펼치는 액션이 아주 볼만함
1,하나도 재미가 없음. 잘 못 거림 후회 중
10,너무 웃겨요 ㅋㅋ특히 박성웅이랑 김남길이 킬포네요 ㅋㅋ잼나게 잘 봤습니다
1,이거 10점주는사람 다알바임?! 콧방귀도 안나오는데이게재밌다고??ㅋㅋㅋ진짜 스토리도 뻔하고 클리셰도배되있고 유치짬뽕임
1,시간이 아까웠습니다 억지 코믹 억지 감동 예고편이 제일 재미있습니다 영화 시작하고 끝날 때까지 작은 콧방귀도 안뀌었습니다 애들 보기 좋네요 유치해서
2,뻔하고 지루했어요 흔한 한국식 코미디 영화 그 정도에요 굳이 지금 같은 시국에 영화관 가서 돈주고 볼 건 아니에요
10,비행기 세트 진짜 리얼하네요ㅋㅋㅋ 요즘 엄마랑 같이 볼만한 게 없어서 아쉬워쏜데 딱이에요! 재미짐.
1,배우분들 연기는 최고였지만..저는 영화를 보면서 단 한번도 웃지 않았습니다....ㅠㅠ
2,영화보는내내지루하고너무재미없었어요...심각하게노잼입니다.
2,정말..킬링타임도 안되는 영화. 힘드신거는 알겠는데 찍고나서 직접 감독님 보시고 재미있다 느끼시고 개봉하신건가요? 김남길님은 왜? 그좋은배우를 왜! 카메오로 출연하신건가요?안타깝습니다.우리나라 코믹영화 진짜 잘찍어주심 안되요? ㅜㅜ
5,전반적으로 억지 웃음에 너무 오바하는 느낌이고 유치함.. 가족들끼리 보러갈만하긴 함. 다 보고나서 여자들은 정말 재밌다했고 남자들은 유치하다고 함
4,기다리다가 설특선영화로 하면 그때 보시길..
5,전 견디기 너무너무 힘들었지만 11살 아들이 좋아했어요. 그걸로 만족합니다. 하아....
5,걍 초중등 코믹수준  온가족용이네요  개콘 코미디수준.박성웅씨가 자꾸 이런식으로 소비되는게 아까워요
5,잘 모르겠다 이 영화가 재미있었는지.  시간 때우다 나온기분이기도 하고 잠깐 재밌었는거 같기도 하고 잘 모르겠다 확실한건 평점 9점 받을만한 영화는 아니다
6,조금 유치하고 뻔해요 ㅠ
7,그냥그래요 저한테는 유치했어요 시간때우기용
5,"그닥 웃기지 않는다. 유치하다.언제 끝나나 시계를 여러번 쳐다볼 정도로 지루하기도 했다.예스마담 오마주라는데, 영..."
10,간만에 한국영화 재미있게 봤다ㅋㅋㅋ  웃기기도 웃긴데 액션도 좋았음
5,영화보면서 한번도 웃은적이 없음
3,너무 억지 웃음 유발어이없는 반전 전개박성웅이 아까운 영화
