score,reple
10,아빠가없는 우리꼬맹이랑 같이 봤어요..저혼자 울면서 보았네요 /..아이가 나도 저런기회가 있으면 좋겠다고 해서 마음이 아프네요
10,픽사 영화는 묘한 뭔가가 있음. 보고 나온 뒤에 시간이 지날수록 더 여운이 남고 자꾸 생각남
9,재미있으면  공감  재미없으면  비공감
10,기발합니다. 큰 기대안하고 왔다가 울컥하고 갑니다.
8,"이제까지 봐왔던 픽사 필름 중에선 조금 아쉬운 부분이 큰 영화이긴 하나, 강력한 한 방이 있다. &#39;준비는 평생 안돼, 끼어들어!&#39; 이 대사가 정말 머릿속 깊은 곳에 박혀버렸다. 덕분에 내일부터 다시 도전해보려고 한다. 정말 애 어른 구분없이 교훈을 주는 픽사."
10,영상미도 황홀하고 정말 역시 픽사라는 말이 저절로 나왔던 영화였네요. 막판에는 결국 눈물을 흘리기도 했고 정말 너무 재밌게 잘 봤네요~
9,마지막 장면은 예상 밖이었지만 서로를 이해하고 위하는 형제의 바로 그 마음이 아버지가 원했던 형제의 모습이었을 것이다. 맨홀이 열리고 피닉스젬이 있는 장소도 의미심장했다. 언제나 열쇠는 내 주위에 있다.
10,이런 걸 보고 누가 울어;; 유치해 죽겠네 진짜... 흐어허어엉 ㅠㅠㅠㅠ 처음엔 발암캐인 줄 알았는데 진짜 주인공은 발리였다 너무 귀엽고 사랑스럽고 안아주고 싶은 캐릭터 ㅜㅜㅜㅜ
10,발리는 이안에게 최고의 형이자 아빠였다. 귀네비어의 아름다운 희생
10,"감동적이네요. 우리가 기억하는 부모의 모습, 찾고싶은 모습..그게 다리 뿐이라도 소중하네요. 참 좋은 영화."
10,"관람 전 후기에 내용이 뻔하다, 지루하다 이런 반응이 종종 있어서 걱정되는 마음으로 영화를 관람하게 되었습니다. 그러나 영화 내용은 너무나 만족스러웠고 정말 잘 만든 영화라는 생각이 들었습니다. 사실 디즈니 애니매이션의 매력은 예상치 못한 반전, 자극적인 소재가 아니고 그들이 전하고자하는 메시지를 디즈니만의 스토리텔링을 통해 풀어내는 것이 매력이라고 생각합니다. 그래서 전체적인 흐름 자체는 누구나 예상할 수 있지만 영화 속 디테일 하나하나가 관객들에게 전달되면서 감동을 불러일으킨다고 생각합니다. 그러한 관점에서 영화를 관람했을 때 저도 모르게 영화의 초반부 부터 차곡차곡 쌓인 감정선이 결말부분에서 폭발하면서 감동을 주었습니다. 영화가 끝나고나서도 여운이 남았고 당분간 계속 유지될 것 같습니다. 사실 이런 후기를 처음 써서 말이 이상할 수 있지만  간만에 자극적이지 않은 따뜻한 영화 한 편을 보게된 것 같아 후기를 쓰게 되었습니다. 시기적으로 영화가 흥행하기 쉽지 않은 상태인데 제 후기를 보고 한 분이라도 더 관람하시게된다면 좋을 것 같습니다."
10,"별 기대없이 봤는데 너무 재미있었어요 ^^ 톰 홀랜드, 크리스 프랫 목소리연기 완전 찰떡이었구요~ 짜임새있는 스토리도 깜찍한 액션도 다 좋았어요 ~ 후반에는 좀 슬펐네요.. 이안도 아빠를 만나고 싶어했는데.. T-T"
9,바위로 귀네비어 쏠때 형 모습이 너무 멋짐.
10,난 울지않았어 그저 극장에 눈에서 땀만 흘렸어
10,너무 좋았다 오랜만에 힐링했음
10,온갖 판타지 애니메이션의 뻔한 클리셰를 다 모았는데 전혀 뻔하지 않은 참신함. 재미와 감동 모두 다 잡아낸 연출에 박수를.. 그리고 전혀 어색하지 않았던 톰홀랜드와 크리스프랫에게 박수를.
10,가장 소중한 가치는 아주 가까이에 존재한다.
10,역시 픽사였고ㅠㅠ  내가 좋아하는 두 배우 케미도 너무 좋았다!!
10,영화 초반에는 톰 홀랜드와 크리스 프랫의 명더빙 연기가 너무 좋았고~ 후반에서는 뭉클한 이야기에 훌쩍이면서 극장을 나왔네요 아 역시 픽사네요
8,'아버지'가 필요한 게 아니야. 아버지와 같았던 '나의 가족'에게 감사함을 전한다.
8,30대초반 으른이지만 격하게 몰입했어요.. 가족만큼 가깝고 소중한 존재는 없어요 ㅠㅠ 으잉 아부지 살아계실때 더 잘해야겠어요..
10,디즈니 픽사 영화는 항상 따뜻한 메시지와 함께 감동을 주는데 온워드도 진짜 폭풍 감동이네요ㅠㅠ 설정도 신선하고 오랜만에 극장에서 힐링한 느낌
10,마지막 드래곤 얼굴에서 개빵터짔네 ㅋㅋ
10,왜 이렇게 비공감이 많쥬
10,결말 부분에서 울컥했다 역시 픽사 ㅠㅠ
10,픽사의 클래스를 다시한번 확인한 영화. 말이 필요없다.
10,2월부터 기다리다가 개봉날 조조로 드디어 관람... 역시는 역시 디즈니픽사는 실망시키지 않는다 ㅜㅜ 토미 크리스 케미도 너무 좋아서 찐형제같음 ㅠㅠ 가족들이랑 같이 보면 정말 좋을 영화!
10,아들때문에본영화인데 울컥하고갑니다
10,"평점 리뷰 보고 망설였는데, 시작하자마자 영상미에 만족하고, 눈물 펑펑 쏟았습니다. 다시 볼 예정입니다 :)"
10,안본 사람 없게 해주세요
10,"예고편 보고 노잼일 줄 알았는데 전혀 아니였다, 10점이 아깝지 않다."
10,픽사가 작정하고 감동 주기로 마음 먹은 영화. 우리는 그걸 알면서도 당한다.
10,간만에 영화관 간 거였는데 역시 영화관에서 보니 더욱 재밌네요 눈호강 귀호강 잠깐 판타지 세계 다녀온 것 같구 역시 믿고 보는 디즈니구요ㅠ
10,아버지와 형을 좁은구멍으로 바라보는 주인공을 보면서 눈물이 왈칵했지만 옆자리에 아내가있어서 꾹 참았었어요
10,"진짜 별 기대 안 했는데, 정말 최고다. 가족의 소중함을 알게 해주는 영화."
10,오랜만에간 극장인데 선물같은 영화였어요~
10,기대 안하고 보다 울컥했습니다
10,웃고 감탄하고 감동하고
10,딸래미가 엄청 재미있다고해요~
10,23살 내인생 아직도 눈물나는 영화가있다. 억지로 눈물을 뽑으려는 영화가 아니라 몰입하면 자연스레 눈물이 흐르고있다
8,감독이 자신의 가족관계의 영감을 받아 영화를 만들었다는 인터뷰를 보고 좋은 상상력은 좋고 감동적인 영화를 만드는구나를 느꼈다. 한살때 아버지를 잃은 감독이 얼마나 아버지를 그리워 했으면 테이프 속의 아버지 목소리가 마법 그 자체 였다고 했을까.. 이안도 아버지 목소리를 듣고 그렇게 생각했을듯.. 원하는것이 있으면 무조건 희생과 노력이 있어야하기에 아버지를 찾는 과정을 이렇게 그렸는지도 모르겠다. 마지막 장면은 이해가 안 갔는데 영화를 보고 생각해보니 감독은 그냥 상상속의 아버지를 이렇게 기억 하고 싶겠구나를 느꼈다. 약간 지루하긴 했지만 형제애와 가족애가 모두 담긴 아름답고 감동적인 영화였다.
10,정말 평범할 수 있었던 판타지 모험물을 잘못 소환된 아버지로 풀어낸게 너무나 기발했습니다.남녀노소 모두가 좋아할 내용입니다.디즈니 특유의 어느 누구도 불편하지 않을 내용을 누구나 좋아할 수 있게 풀어내는 스토리텔링을 사랑한다면 강력추천합니다.
10,깨알 개그가 너무 웃겼어요. 마직막장면이 감동적이에요.
10,너무 감동적이네요.. 울컥
10,코로나때문에  5개월만에 영화관에 갔어요. 너무보고싶던 영화였거든요. 아이들과 마스크쓰고 보면서 너무 유쾌하고 뭉클하고 가슴따뜻하게 보고왔어요~ 코로나만 아니면 더 많은분들이 보셨을텐데 많이아쉽네요. 오늘정말 마음따뜻한 하루보냈습니다~역시 디즈니~ 역시 픽사네요~
8,픽사영화라 다 좋았지만 캐릭터 디자인에서 이질감이 느껴졌다... 캐릭터 디자이너들이 드림워크에서 일하다 오신 분들같다 ㅠ
10,재밋었어요 보면서 잠시 힐링되는 기분이었어요
10,"픽사,,나 그만울려ㅠ 가슴먹먹"
10,"준비는 평생 안돼, 끼어들어!"
9,감동적이예요 막판에 자꾸 눈물이ㅜ초반에 형캐릭보고 저런형 진짜 짜증이다 했는데 멋진형이었어ㅠ아버지가 일찍 돌아가신분이 보면 더 슬플듯
9,기대이상의 감동이 있었습니다.
10,초반에 복선을 수도없이 깔았는데 후반에 퍼즐처럼 딱딱 들어맞는게 리얼 마법같음..
10,진짜 재미있게 봤어요~~
10,코로나19만 아니였어도 이렇게 지나갈 영화가 아닌데..코로나19가 언제 잠잠해질지는 모르지만 이 영화는 정말 가족의 의미에 대해서 다시 생각해 보게 만들어 줘요. 정말 가족 모두가 봐야할 영화인것 같아요.
