score,reple
10,그들의 삶을 감동적으로 잘 표현했다며 발연기라니ㅉㅉㅉ 발연기 뜻을 모르시나? 이준기의 연기는 신인이었음에도 훌륭한 연기였음.
10,나도 다시 태어나면 권력이고 돈이고 뭐고 광대처럼 한바탕 놀다가는 삶을 택하고 싶다
10,예술성과 흥행성을 겸비한 최고의 영화!!!!!!!!!
9,"공길이는 왕이 토로하는 아픔을 보고 연민을 가지고, 안쓰러워 곁을 지키게 된다. 이루어질 수 없어 비극적인 사랑의 한 형태라고 할 수 있을 것 같다. 동성애자는 아니지만 공길역을 맡은 이준기의 연기는 왕이 그에게 빠지는 이유를 납득시킨다."
10,저초딩때 나온건데 어른이 되어서 보네요..ㅠ 이렇게 재밌는걸 왜 이때까지 못봤는지...특별한 교훈은 없지만 모든게..정말 왜이렇게 흥행했는지 알겠음
10,말이필요없다 이것이 진정항 천만관객한국영화아님? 그리고 배우들 연기력 쩌는듯 내생에 타이타닉이후로 최고의 영화엿음. 요새 천만관객영화들보면 진심병맛. 왕의남자가 최고다. 이준기도 뜰만하네
10,8년이나 지났지만 아직도 평점이 9점대인것은 다 이유가 있다는 뜻이다.
10,옛날엔 게이물이라고 놀렸는데... 난 죽일놈이야!! 이런 명작을 게이물이라고 하다니!!! 네티즌 여러분 절 용서해주세요.. 마지막 장면은 두고두고 기억에 남을듯 하다...
10,이런영화없나....정말 최고였는데....
10,과연 동성애라 할 수 있을까. 인간 대 인간으로서 어린 나이에 어머니의 사랑을 받지 못하며 불안 속에서 왕위에 오른 연산을 그저 위로한 것이 아닐까. 이준기 뿐만 아니라 모든 출연자의 연기가 굉장히 섬세했다. 수작 중의 수작인듯.
10,어릴 때 안보고 지금 봐서 다행이다. 진정한 한국영화.. 감격스럽다.
10,이 영화야 말로 진정한 천만관객 영화지 요즘 영화같이 배급사빨 영화사빨 로 천만 넘은 영화랑은 비교할 수 조차 없는 진짜 영화라고 생각
10,여운이남고한국적이여서너무아름답다
10,이때만해도 한국영화계에 충격받았지. 왜 이걸 뛰어넘는 영화가 더이상 안나오는거냐.. '도둑들'?? 민망한줄 알길
10,공길의 매력은 8년이 지난 지금 봐도 치명적이다
10,개봉했을 적 영화관에서 볼땐 연산의 광기가 보였다. 지금은 연산의 외로움이 보인다. 전무후무한 최고의 한국영화. 이보다 완벽한 한국영화는 아직 보지못했다.
10,너무 아름다웠던 영화.만든사람 정말 머리좋구나..하는걸 느꼈던 작품.
9,감우성볼매인듯...이준기는그냥여자더라 나도반햇어
10,처음볼때는 재미없다고 생각했는데 한번더보니까 진짜 소름돋게 재밌다... 대박!!!!!! 짱 그리고 이준기 진짜 예쁘다
10,어릴 적 생각없이 봤던 이 영화가 커서 다시 보니 정말 잘 만든 영화라는 생각이 드네요.. 개인적으로는 최근 개봉한 영화 광해보다도 훨씬 더 잘만든 작품이라 생각합니다.
10,내인생최고의영화다...최고다.....
10,"영상미는 물론이고 문학적 예술성까지 느껴진 영화, 마지막 장면은 소름이끼칠 정도로 너무 아름다웠음,, 개봉 후9년뒤에 보니 영상이 엔틱한 분위기를 냈는데 그것까지 잘 어울려 영화 분위기를 한층 더 예술적으로 바꾼느낌.. 20년 후엔 더 아름답겠지~"
10,"몇번이고 볼정도로 훌륭한 영화고 배우들의 연기,연출,음악,의상 모두 훌륭한 영화였다. 무엇보다 이준기가 신인이였음에도 불구하고 극에 완전히 몰입할수있을만큼 역할을 잘 소화한것같다 여운이 정말 길게 남는 영화다"
10,이준기라는배우를 다시보게된영화 ! 얼른이준기라는배우를또영화에서 보고싶네
10,굉장하다
10,가슴이저린다는 말이 맞을듯 배우들모두 소름돋는 연기력. 대사. 장면. 줄거리 모두 한국적이고도 한국적이어서 길이 기억에남는
10,몇번을 봐도 대단한 영화
10,10점을 줘도 아깝지 않은 영화다. 어렸을때 뭣도 모르고 보던 영화를 다 커서 다시보니 왜 왕의남자가 사람들의 기억속에 남는지를 알겠더라. 최고의 영화다.
10,전율
10,예전에 봤다가 최근에 또 봤는데 역시최고다
10,우리나라에 진정한 천만은 이거말고 없다
10,처음볼때는 그저그랬는데 보면볼수록 새로운 영화네요. 공길역이 잘못하면 비호감으로 비춰질수있는 역할인데 이준기가 잘소화한듯..
10,이준익 출연배우들 유일무이 최고작. 한국에서 나온 마지막 장면 중 최고. 연극적인 구성(혹은 중국영화풍의)에서 오는 감동과 소름.  이야기 자체에서 위대함과 서정
10,지금 개봉해도 대박날거 같다 같은 천만관객 영화 비교해 보면 알지ㅎ
10,이건진짜백번을봐도안질린다그냥막슬픔
10,마지막 장면이 압권이었다...
10,장생: 어느 잡놈이 그놈 마음을 뺏어가는것을 못보고 공길: 야 이 잡놈아!!! 아 진짜 대박
10,진짜 이 때 천만은 대단 그 자체.... 감동과 스토리와 영상.... 다 갖춘 듯!
10,어렸을 때 뭣도 모르고 봤었는데 지금 보니까 새롭네요. 전체적으로 뭐랄까 너무 좋아요. 마지막 장면 너무 인상깊고 으악 몰라 그냥 너무 좋아요!
10,다시보니 더명작...최고
10,이준기는 누굴 홀린적이 없는데 어느새보니 나도 홀려있음
9,우왘ㅋㅋ 벌써 8년이나 지났다닠ㅋㅋㅋㅋ 이게 무슨말이오! ㅋㅋㅋ
10,남자인내가봐도 이준기한테 반해버렸다.
10,"다들 연기력이 수준급이라... 특히 정진영씨... 이준기, 감우성의 광대연기도... 강성연씨의 녹수역할도..."
10,시간이 지날수록 더욱 수작으로 기억될 작품
