score,reple
10,어느 가정에나 존재하는 드러내지 못한 이야기
10,각자의 입장이 넘나 이해되는 상황입니다.후반부엔 가슴이 먹먹해 울컥하기까지...마음이 저려오네요.
10,어두운 소재지만 내용과 연출은 힘이 넘침 너무좋은 영화고 많이 봤으면 좋겠음
10,오랜만에 시간을 잊으며 몰입해서 본 영화!
10,영화 정말 최고네요! 부모님과 다시 보러가고 싶은 영화입니다^^
10,코믹 멜로 슬픔... 애잔함까지 오랜만에 연기 스토리 연출 등 모두 맘에 드는 작품을 만났네요. 정말 또 보고 싶을 정도로 완성도 높고 배우분들의 연기에 박수를 치고 싶습니다.
10,딸 역할에 이입되서 보았습니다. 아버지나 남편이나 어휴... 우리네 생활사가 담겨 그런지 보는 내내 무슨일이 터질까 조마조마 하며 보았네요. 배우님들이 다 연기를 잘 하셔서 너무 몰입도 있었어요! 가족과 함께 다시 볼꺼예요.
7,가족의 테두리 안에서 깊숙하게 파인 내면의 욕창을 들여다본다.
8,
8,너무 현실적이네요 눈물이 나고 부모님생각이 더 납니다
10,대한민국 모든 가정이 겪는 고통을 깊이 있게 묘사한 수작!
1,"남자들은 왜 남의 손을 빌리지않으면 아무것도 하질못할까? 참 불쌍한 인종이다.. 부인이 아파도 아무것도 도움이 안되는인간, 의자에만 가만히 앉아있고 지손으로 밥한끼 챙겨먹지도 못하는 인종.. 반대로 남편이 아프면 와이프들은 진짜 지극정성으로 돌보는데.. 잘해야되, 와이프들에게"
8,욕망.욕정.욕심.욕구=욕창                                                  깊을수록  안좋아
10,피하고 싶었던 감정의 민낯을 통해 나를 보게 되는 작품
10,너무나도 현실적인 이야기에 공감하고 감동했어요~
10,어머니의 욕창으로 인해 수면 아래 잠겨 있던 가족들의 아픔과 상처가 드러납니다. 어느 가정이나 반드시 존재하는 문제들.. 전지적 관점에서 관람하면서 우리 가족을 돌아보게 만들어주네요. 집에 아프신 분이 있다면 반드시 보시기 바랍니다.
10,욕창과 굳은살 사이에 놓여있는 우리들....
9,영화 보면서 딴 생각 일도 안난거 참 오랫만이었던 거 같습니다. 그 몰입을 가능하게 했던 건 배우들의 연기도 한 몫 했던 거 같아요(특히 간병인 역할의 강애심 배우 상주고 싶습니다!)
10,"가족영화로 적극 추천합니다 감동,재미 모두 만족합니다"
10,"내가 지수가 될수도, 지수 엄마가 될수도 있다는 생각이 들었다."
10,"첨부터 끝까지 몰입짱인 영화입니다. 현실성있게 공감가는, 이 시대를 아주 잘 표현했네요. 연기력도 훌륭합니다."
10,보고싶지 않은.겪고 싶지않은  그런데몇년후  내가 겪어야  할 아픔 일아프게 잘 표현하셨네요
9,누가 신고했을까? 다들 연기가.. 굿
10,문학적 상징성과 배우들의 연기가 돋보이는 작품이네요.
10,웃고있는데 쓰리다 내몸의 욕창을 들여다보게된다
10,겉으로 보기엔 평범해 보여도 속을 들여다보면 저마다 상처가 있는 우리의 삶을 정말 그대로 보여주는 영화네요...가족과 다시 한번 또 보고싶어요.
9,나쁘지 않게 봤어용! 깊은 휴먼드라마 느낌
8,곪을 대로 곪은 관계와 사람들의 이야기
6,거슬리는 남성의 비하 빼곤 남의 일 아니다
10,두번 봤는데 감동이 다르게 오네요. 먹먹한 느낌. 맘 아프지만 따뜻합니다.
10,"내 주변에서 볼 수 있는 이야기를 현실적으로 그렇지만 유쾌하게 그려낸 영화. 주변 사람들에게, 특히 가족들과 나누고 싶은 영화였습니다."
6,이 영화에 남성혐오가 스며들었다는건 저의 착각일까요?... '82년생 김지영' 감독님이 배우로 나온건 우연일까요?...
7,"슬프고 답답한 상황속에서도 언제나 그렇듯 희노애락, 그 중에 특히 유머가도 섞여있는 우리네(!) 인생"
10,역시 한국은 민낯의 나라다. 있는 그대로의 현실을 그대로 보여준다.
10,정말 공감이 가는  좋은 영화 입니다~
8,배우들 연기 다 좋아    할아버지가 가장 이해 안됨  다른사람역 모두 공감되지만 할아버지는 너무 이기적
8,모두  생소한 배우인데 연극배우들인가요?연기는 모두 잘하네요 할아버지제일 이해 안감
10,정말 현실에 우리가 실질적으로 부딪히는 문제를 연기와 연출로 너무나 와닿게 표현한 영화.. 넘 안타깝니다.
9,"딱 지금의 내모습을 보는 듯, 노환의 어머니, 직장, 사춘기 얘들 ... 앞으로 있을 나의 일들..."
10,어머니.. 아버지.. 죄송해요. 죄송하고 죄송해요.제가 효도할때까진 살아계셔야해요...정말 죄송해요...민정이도 행복하게 살아.모두에게 너무나 죄송합니다..
5,스토리가 평범하다.배우들은 연기가 좋고 전개는 깔끔한데 스토리자체가 영화로 만들기엔 부족하다.
10,너무 현실적으로 다가오며 인간의 숨겨진 감정을 잘 표현함...
9,생각을 하게 되는 영화인거 같아요. 근데 포스터가 3류 에로영화 느낌...
6,이정도면 행복이지~~
6,마음에도 생기는 욕창
6,"생각지도못한 몰입도,, 그리고 많은 생각을 하게 된다"
9,주름져가는 나이의 이야기.누군가는 반드시 거쳐가야 할 노년의 쓸쓸함과 우울함.돌봄에 대한 남여의 인식과 행동의 차이가 보여주는 씁쓸함.
10,
10,
6,중국인 아줌마 역할 여배우분 연기가 최고 별 다섯. 연출 짜증남. 마무리 수습 안됨?
6,영화 재미있었습니다.!.
6,"누구에게나 있을 수 있는 상황이지만, 누구도 이해하기 어려운 전개의 불편함.이해는 가지만 공감은 하기 어려움."
10,한국영화의 힘을 보여주네. 여자 감독이 감히 이런 영화를 만들다니. 이제는 여자도 남자 못지 않게 훌륭할 수도 있음을 증명한 영화!
