score,reple
10,이소룡의 대작이죠. 정무문과 함께 최고의 영화로 개봉된지 40년이 되었지만 여전히 최고의 영화로 남아 있죠.
10,40연전 액션이라는게 믿어지지않을정도로 경이롭다..이소룡의 카리스마를 능가할 홍콩액션스타가 지금까지도 없다는게 아쉽지만 이소룡은 역시 전설이다!!
10,거울배틀은 지금봐도 예술~~ 뭔가 스타일적으로 시대를 앞서나간 영화랄까
10,40년 전 영화 맞나..
10,파이터 영화의 바이블이지 싶다...이 영화 너무 많이 봐서 꿈에 싱하횽이랑 같이 싸움....ㅇㅇ.와아양~~
10,이 명작을 본다는 것 그 자체가 영광이다. 뭘 더 말하겠습니까...
10,평점이너무 낮자나요즘cg 와이어액션이랑 비교도안되고 이소룡의 그타겨감은 누구도 따라올수없을만큼 전율이온다 이소룡보다 빠르고 화려한액션을 할수는 있겠지만 이처럼 선이아름답고 w박력있는 액션은 앞으로도나오지 않을것 ㅜㅜ
8,이소룡이 선구자라고 불리는 이유를 알게되는 영화....
10,롱테이크로 격투씬을 이토록 정직하게 보여줄 수 있는 배우. 전무후무하다.
9,단순한 액션영화를 넘어선 이소룡 영화
10,진짜액션죽여준다!!!전설의이소룡!!
10,극장 재개봉 한번만 해줬으면 좋겠다.
10,봐도봐도 질리지않아
7,노련함이 없는 투박한 스턴트가 지금 영화들과 비교한다면 아쉽긴 하지만 이야기와 영화의 몰입도는 40년전 영화라고 보기엔 역시 재밌다
10,1973년에 개봉한 다른 액션영화와 이소룡의 영화를 비교해보면 이소룡은 단순한 액션스타가 아니라 시대를 수OO은 앞서나간 선구자였다.
10,거울방 결투씬은 진짜 지금 봐도 경이롭다!
7,여기서 영화의 작품성을 논하면 안 되겠지..
9,완성된 이소룡의 액션
10,영원한 최고의 무술영화
10,73년도 작품... 거의 무술 액션의 교과서죠. 미러 영상미까지... 최고였음.
10,10점 밑에 점수 없애자 이소룡이다
10,아무말도 필요없는 이소룡 대표영화
9,이소룡의 최고작중 한편. 어릴적부터 몇번이나 TV로 봤는지 모른다
10,"진짜  오하라 와의 격투씬은  절권도의 1대1 격투의 실전교과서 라고 해도 과언이 아니다,,덩치 작은 동양인이  덩치튼 서양인을  어떻게  제압해야 하는지를  싱하형이 가르쳐 주는 것이다,,,,"
10,"?무술가 이소룡의 철학도 배어있는 영화 환영을 깨부셔라, 역대 모든무술 격투가중 최고의 영향력을 가진인물로 단순히 영화로서만 보면 많은것을 놓친다 어떤 격투기챔피언들도 흉내낼 수없는 무술로 헐리우드에선 아직도 제2의 이소룡을 찾고있음"
10,"평점이 왜 이러지;; 진짜 타격 액션영화의 교과서인데..지금 개봉했어도 엄청난 명작인데, 평점 봐라;;;"
10,영화적으로도 좋지만 눈을 부릅떠야 보는 액션. 아직도 신선해
10,"여기에 홍금보,성룡,원표 몇컷나옴"
10,말이 필요없는 영화지.
9,이소룡이 막보 잡으러 혼자 서 고군분투할 때 지하 던전 중간쯤에서 이소룡한테 뒷머리채 잡혀서 고통스런 표정을 짓다가 한방에 쓰러진 사람이 성룡이었다는 ㅎㅎ
10,이소룡액션 좋아요 멋져요
10,평점 인색하네요 10점 만점이죠
10,명작이라고쩍하고나온다
10,이소룡은 중국영화계의 전설이지.
10,어릴적 주말의 명화에서 본 쌍절곤 돌리기
10,몇번째 보는건지~!!
10,정말 최고의 작품 아뵤~~~ 오호호~~
10,대략 30번은 본거같다  첨엔 비디오 DVD 현재는 블루레이로 보는데  볼때마다 이소룡 동작이나 음성 하나 하나가 영화에 각인된듯   하다  더 놀라운건  이소룔의  이런 카리스마를 능가하는 무술 연기자가 없다는 사실이다
10,영원한 무협액션의 아이콘 이소룡의  카리스마 넘치는 모습을 여실히 볼 수 있는  작품..
