score,reple
9,그럼 언제 놀아? 눈물이 핑 돌았다
8,애들이 무슨 걱정이 있냐는 따위 말은 하지 않기를
10,관계라는 건 아이에게나 어른에게나 모두 어렵다. 그 초조하고 불안하고 미묘한 마음들이 너무 세밀하게 담겨있어서 무척 공감됐다. 게다가 윤이는 너무 귀여웠음... 혼자 보기 아까운 영화.
9,"맑고 예쁘고 잔인한 너희들, 결국은 우리들"
10,어린시절 일기장을 어른이 되어 꺼내 본 듯한 영화였습니다.  지금은 추억이 되었지만 그때 그 시절 최대 고민이였던 관계에 대한 궁금증...그 시절 어쩌면 내 모습이였을지도 모를  그  초조한  눈빛을 어린배우들의 연기에서 볼 수 있었습니다.
10,심리묘사가 소름끼칠만큼 섬세해서 한시간반동안 몰입해서 봤어요
9,아이들에게 무슨 마법을 부린 걸까요 너무나 사실적이면서도 여운이 남는 영화네요 아이들과 어른 모두가 꼭 보았으면 좋겠어요
9,좋았습니다. 상영관이랑 상영시간좀 늘려주세요..
10,저번에 출발비디오여행에서봤어요 초등학생들의 갈등 그리고 그들의 우정이야기 어떻게보면 뻔하겠지만 그래도 전혀 조미료들어가지않은 순수한 아이들의 모습그대로를 영상으로 만든거같아서 좋아요 영화얘매상영관좀늘려주며좋겠네요....
10,"보는 내내 울었다. 나는 선이였고, 지아였고, 보라였다. 두번째 보는데, 볼수록 용감한 선이의 모습에 자꾸 눈물이난다. 여덟번 더 봐야지."
9,일상처럼 잔잔하다. 하지만 일상처럼 슬프다. 일상처럼 괴롭다. 하지만 왠지 모르게 아름답다.
10,아이들의 우정과 왕따에 대해서 진지하게 생각하게 해준 좋은 영화였습니다  저예산으로  제작에서 더 마음에 들었네요 이렇게 좋은 영화가 여름 대작에 묻히는 것 같아 안타깝네요 물론 미국액션영화들도 좋지만 극장에서 이런 영화들도 많이 보여줬으면 좋겠어요
10,"가족과 함께보고 싶은데, 개봉하는곳이 별루없네요 ㅠ이슈되어서 많은영화관에서 개봉되기를 바랍니다!"
10,올해 본 영화중에 가장 기억에 남을 영화입니다. 전국의 초등생이 다함께 단체관람했으면 하네요 ㅎㅎㅎ
10,"질투, 시기, 무시 등의 감정들을 다루기엔 너무나 서툰 그렇기에 너무나도 잔인했던 그 시절의 관계들이 만들어내는 생채기들. 그런 생채기들로 세상은 밝은 햇빛만 그득한 그 무엇이 아니라는 것을 불헌듯 깨닫게 되는 그때를 참 차분하고 섬세하게 직조한 영화"
10,난 오늘 한국의 새로운 영화를 봤다. 이건 우리의 진정한 현재와 미래다. 거대자본이 투입되는 영화 속에 이런 작은 예산의 영화가 일으키는 감동은 그 어느 것보다 크고 깊었다. 아~ 다시 보고 싶다. 윤가은 감독 대체 무슨 일을 벌인 걸까!
10,아이들이라고 미숙하고 어른들이라고 성숙한 인간관계를 맺는건 아니다.  여전히 어려운 인간관계에서  헤매이는 나에게.. 무척 와 닿았던 이야기. 그리고 귀여운 윤이의 대사는 명대사!!
8,"정말 군더더기 없이 깔끔한 느낌의 영화인듯, 학교다닐때 누군가의 무리에 끼고 싶었는데 뭔가 느낌, 내가 누군가를 소외시켰던 느낌들이 생각나고 어른이 된 지금에도  관계맺기의 어려움을 다시 생각하게 한 영화, 마지막 윤의 명대사가 어려울 때 도움이 많이"
10,"초등학교때 왕따를 당한 적이 있었다. 우리들은 잠시 잊고지냈을 뿐, 아직도 내 속 어딘가에 살아있는 그때의 상처를 찾아내어 보듬어주었다. 관계에 관한 아픔이 있는, 상처가 있는 이들은 반드시 봐야할 영화."
9,근래에 이토록 섬세하고 촘촘한 연출이 돋보이는 영화가 있었나 싶습니다. 보면서 가끔은 고개를 돌리고 싶을 정도로 진짜 삶이 담겨 있는 영화. 아역들의 연기에도 박수를 보내고 싶어요.
10,"아역들이 연기를 잘한 것도 있지만, 이만큼 끌어낸 감독에게 박수를..."
7,아이들이라 더 잔인한 솔직.
10,'눈에는 눈 이에는 이'로  각박한 현대를  살아가는 이 세상 모든 이들을 위한 위로와 치유의 메시지
