score,reple
10,샤를로뜨 갱스부르 여전히 존멋! 오랜만에 스크린에서 봐서 좋았습니다ㅋ 스토리도 공감가는 현실가족 이야기라 굳^^
8,지루할 것 같지만 전혀 그렇지 않고 몰입하고 재밌게 봤다. 프랑스식 유머라기보다는 누구나 웃을 만한 요소가 많다. 결말이 예상되는 조금 뻔한 전개긴 하지만 지루하지 않고 재밌게 흘러갔다는 점에서 높은 점수를 주고 싶다.
10,새를로뜨 갱스부르가 엄마로 나오는 모습도 신선하고 실제 커플인 이반 아탈과의 케미도 좋았어요- 무엇보다 똥멍충이 너무 웃기고 귀얍 ㅋㅋㅋ
10,별 생각없이 보다가... 시간흐르는줄 몰랐다
10,"주말영화 편안하게 보고 싶은 영화찾다가 제목에 끌려서 선택했던 영화 기대 이상입니다:)연기,스토리 그리고 번역도 올드하지 않은 영한 느낌에 OST가 찰떡이네요지루할것 같지만 전혀 아니여서 더 몰입할수 있었고충분히 공감할 수 있었던 가족영화네요재밌게 잘 봤습니다^^"
5,"코믹영화인줄 알고 봤으나, 코믹영화 아닙니다.진지한 영화에요. 돋보이는 촬영효과가 있고프랑스영화 느낌의 거친느낌이 있습니다.노렸다면 노력이고, 대충이면 대충일 것 같은 느낌들이 인상적이였네요,"
10,진짜 너무 잘만든영화인생에 대해 생각해보게하는... 소설 형식의 편집기법이지만 작위적이지않고 너무 좋다!
8,스토리도 연기도 다 좋았습니다가족에 대해 생각할 수 있는 좋은 시간이었어요~
10,똥멍청이 계속 보니 정든다 프랑스나 한국이나 가족들 사는건 비슷한 듯? 좀비만 연속으로 보다가 오랜만에 가족 코미디로 마음을 진정시킬 수 있어 좋았음
10,굿 배우들의 연기와 배경 째즈 음악과 감독의 연출 다 멋졌습니다
8,가족이란 뭘까 너무 가까워서 사람 대하듯 하는걸 까먹을 때가 있는 것 같아
6,꼬일 대로 꼬여버린 위기의 중년
10,
6,변죽만 울리다 끝난 느낌
