score,reple
10,정말 감동적인 영화 입니다. 신부님의 삶을보며 저의 삶도 되돌아보는 계기가 되었습니다
10,이태석 신부님의 삶을 보았습니다 ... 온몸으로 사랑을 실천하신 불꽃같은 그분의 삶을...영화를 보면서 잊고 있던 행복한 시간뿐만 아니라 삶의 의미 또한 찾아봤으면 좋겠습니다. 참 좋은 영화입니다. ~
10,위대한 인간 그 자체 입니다.
10,스타워즈 보려다 부모님께서 보자고 하셔서 봤는데 정말 감동적이에요 제가 얼마나 행복한 삶을 살고 있고 행복의 의미에 대해 다시 생각해보게 됐네요. 많은 생각을 하게 만드는 영화.
10,평범한 사람이지만 동시에 너무 대단한 분이다. 종교적인 메시지는 없으니 평소 관심이 있었거나 책을 접한 사람은 꼭 한 번 보았으면 좋겠다.
10,우리나라에서 난 최하위에서 10%겠지만 전세계로 보면 최상위 10%일지도 모르겠다는 생각이 들었어요. 이 시대를 살아가는 사람이라면 꼭 봐야 할 영화입니다
10,빛과 소금이 되신분 대단하시고 감동입니다 ㅠㅠ
10,진정으로 아름다운 분. 풍요로움 속에서도 여전히 물질적인 것을 추구하고 경쟁하며 살았던 자신을 되돌아보게 됐습니다.
10,아... 이런 분이 계시구나...
10,&#39;한 알의 밀알이 땅에 떨어져...&#39;성서구절이 보는 내내 떠올랐습니다...두려움없는 사랑을 실천하다 가신 신부님 존경합니다.뵌 적 없지만 그립구요.지금 톤즈는 어떻게 지내는지도 나왔더라면 더 좋았겠다 하는 아쉬움이 있습니다.
10,감동적입니다 이런분이계셨군요
10,지금도 신부님에 환한 웃음이기억납니다신자라는 명분으로 지내온 저에삶에 많이 부끄러웠고 많이 반성하는시간이었습니다신부님 사랑합니다^^가장 낮은곳에서의 예수님처럼살으신 당신에 모습을영원히 기억하겠습니다♥♥♥
10,부모님들은 자녀와 함께 관람을 하면 좋을거 같습니다. 자녀에게 더 많은 도움이 될거같네요나의 삶을 한번더 돌아보게 하는 다큐멘터리입니다.
10,너무 감동적입니다!모든 사람이 꼭 봐야하는 영화입니다 ㅠㅠ많이들 보시길
10,청소년과 부모들이 함께 보면 좋을 영화인거 같아요
10,보는 내내 감동이었습니다.
10,"이태석 신부님이 영원히 기억되길,영화도 흥행해서 이런 좋은영화들이 더 많이 만들어졌으면 좋겠네요!"
10,더도말고 신부님처럼 살다 주님 품에 안기고싶습니다.저에게 용기를 주시고 환난 속에서 구하소서
10,1편에  감동이 고스란히 전해지는 2편이었습니다.
10,살아온 뒷모습을 다시 돌아보게 하내요.감동적이었습니다.
10,"상영관이 부족해요, 신부님, 신부님을 잊지않을게요!!"
10,치열한 경쟁사회 속에서 살아가고 있는 이시대의 모든 사람들에게 그보다 더 중요한것이 무었인가를 다시금 일깨워 주네요. 나의 성장이나 성공 보다는 타인을 위해 희생하고 더불어 살아가는 그모습에 만감이 교차하게 하는 다큐 입니다. 꼭 보세요~
10,나라면 저렇게 살 수 있을까 라는 생각이 많이 들게하는 영화였습니다.
9,나는 지금껏 무얼하며 살았나.. 하는 생각이 강하게 듭니다. 존경합니다. 이태석 신부님.
10,많은 분들이 함께 보셨으면 좋겠습니다.
10,보다가 가슴이 먹먹해졌습니다. 대단하신 분입니다.
10,참으로 하늘이 내리신 분 같다..는 생각이 들었습니다. 힘든세상이지만 핑계대지않고 저도 저 할수 있는 만큼 봉사하고 사랑 실천하며 살아야겠습니다.
10,영화를보면서 잘먹고 오래사는것이 행복한삶이 아닌것같습니다.영화속신부님말씀처럼 수수죽한그릇의 행복처럼 의미있는삶이 진정한행복이아닌가생각합니다.잘먹고 오래사는것보다 자신을 낮추고 배려하면서신부님처럼 작은것에 감사하면서 사는게 진정한 행복이라걸 알았어요.위를쳐다보면서 불평하기보다 저보다 낮은곳을 보면서 이웃을 도우며감사하게 살겠습니다.
10,감동적입니다행복은 멀리 있지 않습니다신부님 편히 쉬세요
10,신부님께서 나눈 사랑은 감동 그이상 이였습니다
10,하느님사랑.그대로실천하신분감동.감동.이영화적극추천드립니다이태석요한신부님.영원한안식을주소서
10,"예전에 화제가 되었던 이태석 신부님 이야기가 지금은 많은 사람들에게서 흐려졌지만, 이번 영화개봉을 계기로 다시 감동과 웃음을 함께 느꼈습니다.이야기 전체적으로 무거운 느낌이 아닌 아이들과 함께 하는 시간에 웃음포인트가 많으니 꼭 한 번 모두 관람하길 추천합니다 !"
10,"쫄리신부님 ,그립습니다..2020년 새해...가슴속 어떻게 살것인지...한번 생각하고한해를 시작하게되는것 같습니다"
10,추운겨울 마음이 따뜻해지는 영화였습니다.많은분들이 보셨으면 좋겠습니다.
10,가슴이 먹먹했습니다이태석신부님 사랑합니다
10,조건없는 사랑이 너무나도 감동적이였어요... 이런 영화 꼭 흥행되어야 함 ㅠㅠ!!!
10,일생을 헌신하며 사신 이태석 신부님 정말 존경합니다.하늘에서도 행복하셨으면 좋겠어요. 톤즈의 빛은 영원할거에요
10,인간의 삶은 유한하지만 사랑이 깃든 일들은 영원히 남는다. 이태석 신부님의 숭고한 사랑과 헌신을 늘 기억하겠습니다 ♡♡ ㅠㅜ ♡♡
9,감동적인영화입니다.종교인이 아니더라도 많은 분들이 보셨으면 좋겠습니다.
10,따뜻하네요. ...톤즈
10,개인적으로 이태석 신부님의 감동적인 스토리가 너무 좋았습니다
10,아름다운 사람 이태석~
10,인간을 사랑하는 너무나 감동적인명작입니다.~!! 눈물이 날 정도로 아름답고 재미있습니다.
10,이영화가 이태석신부님의 삶을 담았기에 10점 드립니다.                      저는 종교인은 아니지만 이태석신부님은 정말 존경받아야 하는분 같다고 생각합니다.
10,최고예요 올겨울꼭 보세요!
10,하느님께서는 이런 분을 뭐가 급하다고 데려가셨을까..
10,많은 사람들이 이 영화를 보고 이태석신부님을 잊지않았으면 합니다. 영혼이 아름다운 사람을 스크린으로나마 볼수있어 행복했습니다. 감사합니다!!!!
10,말이 필요 없습니다!!!
10,인생 최고의 감동영화네요 이태석신부님의 희생정신 감동입니다 부디 하늘에서 내내 편하시길 기도합니다
10,"신부님의 삶이 저에게 정말 큰 울림일 주었습니다. 그분의 말과 행동, 주변분들과 함께 하시는 모습 하나하나가 감동적이고 또 유쾌했습니다. 이 세상에 안계시다는 사실이 너무나 가슴 아프지만 짧은 생애동안 그리고 지금까지도 많은 사람들에게 사랑을 전하고 계신 신부님께 정말진심으로 감사드립니다!"
10,1편도 봤었는데 2편 역시 너무나 감동적입니다. 이태석 신부님 존경합니다.
10,한 위대한 인간의 성스러운 삶
10,요즘같은 세상에 이런사람도 있을수 있구나 하는 생각이 많이 드는 영화였음
10,고 이태석 신부님의 삶을 다시금 되새기는 시간을 가지면서 참행복의 의미를 생각해보았네요.지금도 어려운 이들을 찾아가 사랑을 나누시는 분들이 계셔서 세상이 따뜻합니다. 신부님 추도 10주기 를 기리는 귀한 영화라 더욱 뜻깊고 만들어주셔서 감사합니다.
10,"이태석 요한 신부님을 잊지 않으며, 그 어떤 힘든 상황에서도 ""Everything is good "", ""Shukuran baba""를 고백할 수 있기를 기도합니다."
