score,reple
6,연평도 천안함 사건도 잊지맙시다.
10,꼭보세요 저도 전자제품 파는데 중국 해당지역에 거래처가 있어요. 지역의 특징상으로도 일리가 있네요. 그동안 꾸준히 조사하고 있는사람이 있다는것이 신기하기도 했습니다 감독님이 정말 끈기있으시네요
10,꾸준한 조사 감사드립니다. 제대로 밝혀지길 바랍니다.
4,이번 정권 뭐하고 있나요?진실을 밝히라고만하고 필요할땐 세월호 들먹거리면서 정권잡은지 3년이나 됐는데 왜 아직까지 밝히라고만하고 진전이 없나요?
10,날것의 숫자들이 증명해주는 그날 바다의 거짓들.
10,별점 1점은 뭐지 알바썼나ㅋㅋ 정말 잘봤습니다. 뭘 자꾸 진상규명하라고 하냐고 하시는 분들이 있길래 화나서 남겨요 박근혜가 감옥에 들어가고 배만 꺼내면 다인가요? 왜 조작했는지 그리고 배에는 뭘 실은건지 구조는 왜 안했는지 전부 다 밝혀내야죠. 아직도 수면위로 떠오르지 않은 감춰진 진실들이 너무나 많은데 뭘 자꾸 그만하라는건지 모르겠네요. 이렇게 계속 조사해주셔서 감사합니다.
10,&#39;그날 바다&#39;를 보고 진짜 경악을 금치 못했으나 생각의 한 편엔 아직 확실하지 않다 라는 생각이 있었는데 &#39;유령선&#39;을 보고 확신이 생겼다. 분노가 치밀어 오른다. 단순 감정에 호소하는 영화가 아니다 슬픈 영화도 아니다 데이타 분석에 의한 다큐다.박근혜 대통령 기록물 반드시 다 열어봐야하고 제대로된 진상규명 해야 하고 관련자들 모두 처벌해야 한다.
10,"몇년 전 &lt;그날, 바다&gt;라는 영화가 상영되어 세월호 고의 침몰 의혹이 고조되던 시점에 뜬금 없이 무슨 밸브 고장 때문이라며 찬물을 끼얹었던 뉴스타파 인간들아, 이 영화 똑똑히 보고 어디 또 한번 반론을 제기해봐라 !"
10,세월호가지고 다큐좀 그만만들라고? 니들은 세월호가 왜 침몰했는지 모르지?? 당연한거야 검찰에서 적극적으로 수사안하고 그냥 묻어버린건 이유가 있어서야 이런사람들이 안나서면 도데체 누가 세월호에대해 이렇게 자세히 조사할까? 생각좀해라 니들이야말로 세월호사건을 가만히 두고 잊어버리려는 자세가 유가족들을 더 힘들게 하는거야 알겠냐
10,탐사보도가 이루어낸 최고의 경지. 거짓과 공작으로 묻혀져 가는 진실을 파헤치는 집요한 영상 리포트. 억울하게 떠나간 아이들의 원혼 앞에서 어른들의 악랄한 행각을 밝혀내고 심판한다.
1,난 진심으로 궁금한게 정권 바뀐지 3년째 여당은 180석이라는 초대형 정당인데 언제쯤이면 진실이 인양됨???
10,짧은 다큐였지만 그날바다를 보고싶게 만드는 뛰어난 연출과 스토리였습니다. 이승환 OST도 여운을 많이 남기네요..
10,세월호를 잊은 사람이 없길 바래요..ㅜ 아까 보고왔는데 제가 알고있던 사실보다 더욱 구체적이고 사실적으로 적혀있네요 이제까지 ‘설마 그럴까?‘ 라는 생각만 하고 있었는데진실이었다니... 참 무서운 세상이에요..ㅠ못 보신 분은 보셨으면 좋겠어요!
10,그네 7시간으로 엌으로 끌어 한눈 판사이 세월호 AIS조작했네
10,이렇게 증거를 모아다가 코앞에 가져다 주는데조사 안하는 개검들은 도대체 어느나라 국민인거냐?
10,어려운 내용을 이해하기쉽게 잘 만들어주셧네요이 영화가 언젠가는 수면위로 떠올라 큰 역할을 하게되길 바랍니다 ㅠㅠ
10,진실히 밝혀질때까지 절대 잊지않겠습니다
10,사고지점에 손을대는 이유는 간단하다증거인멸첫충격이 발생한 지점에 증거가 있었다고 볼수있다그럼 GPS위치를 이동시킨 이유가 설명된다그때 목격자중 훗날을 생각해 그것을 기록하고 보관한 사람이 분명히 있을것이다그런 사람이 공개적으로 나서도 안전한 세상이 하루빨리 오길 바란다 .
