score,reple
4,나만 이해못했나봐...아직도 마사지 하는 춤춘애는 왜나온건지같이 산책하던 여자앤 누군지 등등 이해안되는게꽤 많았던 영화 ㅠ
10,모든 대사가 명대사고 모든 장면이 명장면인 영화!
9,나는 아직 이 영화에 대해 뭐라할 수 있을 나이가 아닌 것 같다.
9,"""여기서 나가면 무엇이 기다리고 있는지 아세요? YOUTH""영화는 끝났고 상영관 밖으로 나는 나왔다."
10,"스위스, 영국 악센트, 유머, 영상미, 진정성 있는 대사, what else? :)"
10,삶에 대해서. 시간에 대해서.... 특히 청각적 연출과 의미가 좋았어요.
9,대중영화에 예술과 철학과 삶을 담았다. 그 경계는 물과 기름처럼 나뉘었다가 어느 순간 완전히 섞여 버리기도. 놀라운 수작. 파올로 소렌티노는 이제 자의식 과잉을 일부와만 공유하던 자위/배설을 넘어섰다.
9,몸은 늙어 가지만 마음은 언제나 젊음을 찾는다.
2,아무나 보면 안되는 어려운 영화
10,영화의 모든 대사 하나하나가 주옥같이 와닿는다.
9,겪어본 자만이 그리워 할 수 있는것. Youth.
10,감명깊었어요~ 마지막이 1분이 압권
10,그레이트 뷰티를 보았을 때 조금은 거리감 있게 다가왔던 삶의 아름다움이 유스에서는 더 가까이 다가온다 11점을 주고싶다
10,여운이 상당히 오래간다
9,참 아이러니한 인생. 어느 한 면만 봐서는 쉽게 판단할 수가 없다.
10,진짜.. 이건 꼭 봐야하는 영화... 10점이 아깝지 않은 영화!
10,"젊을때는 늘 미래를 바라보지만 정작 늙어서는 그때의 과거만 되돌아보게 되는 아이러니. 먼 훗날, 젊음이 먼 과거가 될 무렵에 이 영화를 다시 본다면 또 어떤 기분일까."
8,준비 된 사람은 없다 그래서 Youth는 영원하다
10,많은 생각에 잠기게하는 영화 이제 스무살임에도 불구하고 과거를 성찰하고 반성하며 인생은 짧고 한번 뿐이라는 것을 느끼게되었고 나 자신을 위해 인생을 소비해야겠다는 생각을 하게되었음
10,감독의 세련된 음악 선곡은 인정하지 않을 수가. 조수미씨 엔딩곡은 단연 압권!!!
10,이 영화라면 못해도 몇개월은 가겠구만...여운이...
8,예술가의 고뇌를 감각적으로 표현한 영화
10,두려움에 시간을 낭비하지 말자
