score,reple
10,"""추신. 나도 네 꿈을 꿔"" 마지막 장면에서 윤희의 목소리가 내 눈시울을 붉혔다. 그리고 새봄아 너무 고마워"
10,"은은하고 그윽한 영화였습니다. 희애×소혜의 모녀케미도(정말 모녀지간 같음 심지어 닮았음...), 유빈×소혜의 꽁냥케미도 다 보기 좋았고, 영화 내내 내리는 눈에 따스함마저 느껴지는 색감이 무척 인상적이었습니다. 영화 끝나고 나오니 마침 만월이더군요, 여운이 오래 남을 것 같습니다. 좋은 영화에 감사드립니다."
10,이런 영화가 더 많이 생기길 바란다
10,후반부 유재명 아저씨랑 나올 때 눈물 터짐 ㅠㅠ 행복해야해 윤희야
10,우리들의 잘못이 아닌 것에 대한 이야기
10,"잔잔하고, 감동이 있습니다설경의 잔상이 오래가네요군더더기 없는 영화"
10,"난 이 영화가 왜 이렇게 좋을까. 접근하기 쉽지 않은 소재를 이렇게 반짝반짝하게 빚어낼 수 있다니, 감독의 재능이 놀랍다. 단연 최고의 '연말 무비'이자 2019년 '올해의 영화'."
10,이미 완전히 끝나버린 사랑도 있고 이제 시작하는 풋풋한 사랑도 있고  서로를 그리워하는 사랑도 있습니다 .여러가지 사랑이 서로 교차하면서도 그 느낌을 분명하게 보여줍니다퀴어영화로 보셔도 만족하실테고 서로를 그리워하는 친구의 영화로 보셔도 만족하실겁니다 . 영화에 대해 공감할 준비가 되어있고 누군가를 그리워 한 적이 있다면 추천합니다.
10,아내와 딸과 함께가서 봤습니다. 매번 시끄러운 영화만 보다가 생각할거리를 안겨주면서도 연말의 우울을 위로받을수 있는 영화임에 여운이 오래였습니다. 아내가 갱년기라 겨울이면 우울증이 심하게 오는데 마치 영화속 윤희와 새봄처럼 딸이 준 선물같은 영화에 오늘 하루정도는 우울을 벗어낸 것같습니다. 사랑하는 이들과 함께가서 보면 정말 좋을 영화입니다. 이런 좋은 영화를 준 감독 배우들께 감사드립니다.
10,부치지 못했던 편지들이 떠오르는 영화에요.
10,역시 김희애는 김희애다 이 작품엔 모든 연기자가 연기를 잘하는 느낌
10,"그냥 다, 좋았던 영화. 배우 연기도 목소리도 연출도 영상도. 아름다웠다는 말이 딱인 영화."
10,시사회에서 영화 관람하고 왔습니다. 김희애 배우와 유코 배우의 감정선 연기가 돋보이고 감성이 촉촉해지는 영화입니다. 전체적으로 힐링 받는듯한 느낌의 영화로 잘 봤습니다.
10,오랜 세월의 망설임이 다 느껴져서 좋았습니다. 오랫만에 따뜻했습니다.
10,이 영화의 모든 것이 완벽했다.
9,"새봄이의 온기를 전해받은 윤희가 멀리멀리 가는, 그리고 다시 돌아와 싹을 틔우는 이야기."
10,새봄경수 커플 케미도 좋고 윤희새봄 케미도 좋고ㅠ 보는내내 누군가 생각이 낫어요 엄마 생각도나서 엄마도 보여드릴려구여! 영화 흥하길~
10,"서사도 20년만의 첫사랑 재회에 사회가 갈라놓은 사랑이라는 치트키로 시작한다. 이미 가슴 절절하다. 김희애라는 배우의 연기는 말할 것도 없다. 침착한 목소리와 확실한 딕션, 이 영화의 분위기 자체를 만든 장본인이다. 극 중 본인의 말로, 20년동안 벌을 받았다는 윤희역은 김희애가 아니라면 누가 했을까 상상이 안 된다. 진짜 20년동안 벌 받은것같다 ㅠㅠ 그녀의 삶의 무게가 간접적으로 정말 잘 느껴지도록 연기하더라..ㅠㅠㅠ 윤희가 저렇게 살 수 밖에 없었던 이유.. 그 시대의 여성성소수자의 현실을 보여주는.. 참, 일본배우분도 연기를 잘 하시더라. 특히 호감을 거절 하는 씬에서는 내가 거절당하는 것 같이 아프더라. 영화 내내 촬영분위기, 그 옛필름의 느낌은 눈이 펑펑 내리고 그 안에서 영화를 보는 느낌을 들게했다. 영화에 담겨있는 메세지는 또 어떻고. 여성 성소수자의 현실을 잘 담아냈다.나는 영화 분위기를 잊지 못해 또 보러 갈거다. 빨리 가야돼... 상영관 수가 부족해서 빨리 내려갈것같단 말이야... 사실 관객도 몇 명 없는게 이 영화의 여운을 더 주는 것 같다."
10,영화를 보고 우리 엄마와 아빠도 누군가의 부모가 아닌 한 사람으로서 행복했으면 좋겠다는 생각이 들어서 부모님세대에게 적극 추천하고 싶은 영화이다
10,조조로 보고 나왔는데 믿고 보는 김희애 배우의 연기..정말 찡하네요 김지영에 이어 윤희에게가 대박나길!!
10,"윤희의 마지막 대사를 듣고, 온 몸에 전율이...ㄷㄷㄷ이 시국에 오타루로 여행가고 싶어지게 하는 ㅎㅎ갈 순 없으니 N차관람하며 대리만족 더 해야징 ㅋㅋㅋ"
10,김희애님의 디테일하고 애절한 연기 나카무라 유코님의 눈빛만으로도 분위기를 느낄 수 있는 연기 김소혜님의 실생활인듯한 자연스런 연기 성유빈님의 더 하지도 덜 하지도 않은 안정감 있는 연기 배우분들의 케미도 좋았고 연기합이 정말 좋은 영화
10,윤희가 청첩장을 주러온 전남편에게 &#34; 행복해 꼭&#34; 할 때눈물이 왈칵 쏟아졌다. 그 진심어린 말투와 눈빛 표정에서 모든게 다 담겨있는듯..유재명도 펑펑 운다.미워하며 그리워하고..모든 자신의 과거를 대할때의 느낌 아닐까...
10,김희애 forever !!!
10,추워진 지금 날씨와 너무 잘 어울리는 영화였어요! 배우들의 연기와 아름다운 로케이션과 함께 잔잔하게 서서히 여러 감정과 기억을 만나게하는 영화였어요!!!
10,"기대했던만큼, 아니 그보다 더 좋았던 영화. 외로워질 때, 과거의 사랑이 떠오를 때 두고두고 이 영화가 생각날 것 같아요."
