score,reple
10,3억짜리 영화 치곤 볼만함.
10,스토리와 전개가 독특하면서도 아름다순 그리스 풍경과  멋진 노래들이 많이 나오는 즐거운 영화네요. 배우들 연기도 좋았어요~^^
10,일단 영상미로 10점줄만
10,"오늘 오전 영화 보고왔습니다. 영화 포스터와 예고편을 보며 영상미가 가장 눈에 들어왔고, 그리스 촬영, 뮤지컬장르, 외국인 배우 주연 등등에 많은 기대를 안고 보았습니다.영화를 보고 난 후에도 전혀 실망스럽지 않은 멋진 영상미와, 틈틈이 숨어있는 따뜻한 연출적 요소들을 보며 덩달아 힐링이 되는 시간이었습니다.개인적으로 아쉬운점은, 좀 더 와이드한 샷으로 그리스를 담아내고, 스크린 화면비가 좀 더 넓었다면, 시각적으로 좀 덜 답답하지 않았까하는 생각이 들었습니다. 뮤지컬 영화임에도 흥얼거릴만큼 기억에 깊게 남는 음악이 없었다는것이 매우 아쉬웠습니다. 개개인마다 느끼는 생각과 성향이 다르기에 세상에 완벽한 영화는 없다고 생각합니다.저에게 있어서 별점 10점의 의미는, 감독님께서 영화안에 담아내신 모든 컷들에서 진심을 느낄수있었기 때문입니다. 또한 해외촬영과, 뮤지컬의 장르를 도전하신것에 있어서 감독님의 열정이 느껴지는 작품이었습니다. 영화가 끝난 후에도 아름다운 그리스의 풍경들을 잊을수가 없습니다. 코로나 속에 지친 사람들에게 힐링 영화로 추천드리고싶습니다! 감독님께서 그리스에서 보내신 시간이 헛되지 않고 뜻깊은 시간으로 남기를 응원하겠습니다."
10,"주연 고윤배우 노래,목소리,연기가 뛰어나서 감동했습니다"
4,영상미가 좋습니다. 뮤지컬 영화인데 음향과 영상이 조화가 안됩니다. 사운드 조절이 잘 안되어서 어우러짐이 부족한듯합니다. 잘만든 대학졸작 같았습니다참고로 남주가 김무성 아들이라고 하네요 미리 알았음 영화선택에 도움이 됐었을텐데요..
1,뭐지
3,일본 영화 베낀듯한 느낌.남주가 김무성 아들이라는 소문이 있던데요.모르고 봤으니 다행입니다. ㅠㅠ근데 음식 먹고 나서 벌레 있었던거 안 듯한 느낌이네요
6,"평화로운 그리스의 작은섬영상미 아주 좋아요내용도 이별을 예쁘게 정리하고 새로운 사랑을 잘 전개했어요노래도,  안무도 귀엽고 인상적이에요 그리스배경으로 한국사람이 많이 안나오는 점도 이국적인 맛을 높이는 한수였고요조금 아쉬운건 연기력나름 예쁘게 잘 보았어요"
1,본명 김종민 연기공부 더하자 아직은 주연급은 아니다종민아 111일중대
