score,reple
10,무심코 지나쳤던 공간과 시간들에 대해 생각해보게 되었음~
10,"내가 모르는 이태원, 내가 아는 이태원 그 속에서 살아온 모르는 사람의 삶이라는 것이 흥미로웠던 영화"
10,차분하게 이끌어간 연출이 좋았습니다. 이태원의 맨 얼굴을 존중하는 태도로 볼수 있었습니다.
10,"그들의 삶과 인생이 쌓아올린, 앞으로도 계속 쌓아 올라갈 이태원의 모습을 직접 들을 수 있어 좋았다."
10,감독님 다른 다큐 (자 이제 댄스타임이랑 시국페미)도 재미있게 봤었는데 이번 작품도 좋았어요. 기지촌 성매매 여성 혹은 그 주변의 여성들의 현재 이야기를 그 공간을 중심으로 풀어나간 점이 재미있었어요. 앞으로도 좋은 작품들 기대해요!
10,"너무 많은 생각이드는 영화 였습니다. 이태원에 대해 더 알게되었고, 영화에 출연하신 배우 님들의 인생을 다 알진 못해도, 공감가는 말들이 많아서 좋았습니다. 개인적으로 얼마 안 남은 2019년에 본 영화들 중 제일 좋았습니다."
10,우리가 꼭 알아야 할 이태원의 이야기 생생한 삶의 이야기가 깊이 와닿는다
10,“이게 다큐지.” 소리가 저절로 나오는 생생한 삶의 이야기
10,다큐가 이렇게 재밌을 수 있다니..!! 벌새 감독이 추천해서 봤는데 대만족!
8,이태원의 밤거리 대신 낮거리를 조명하다.
10,타인의 어깨 너머로 보는 이태원과 여성의 삶. 나도 모르게 빠져든다.
10,
10,우리가 잘 알지 못했던 장소와 시간의 기록
10,많은 사람들이 꼭 봐주었으면 하는 영화.
10,필요한 이야기. 들어야 하는 이야기. 그걸 아주 좋은 형태로 들려주는 영화.
10,아주 좋은 술을 한잔 마신 느낌.
10,공간보다 먼저 사람의 삶이 존재했다는 걸 새삼 다시 느꼈습니다.  억지 감동을 자아내지 않는 연출이 좋았고 이태원을 다음 번 방문할 때에는 그 동안과는 다른 감정을 느끼게 될 것 같습니다. 정말 추천하는 영화!!
8,"역사 속에 묻혀있지만 당당하게 살아있는 중, 노년 여성들의 캐릭터, 그들의 목소리를 가감 없이 담아낸 연출이 좋았습니다. 상영관이 적고 추후 vod 서비스가 안 된다는 것이 아쉽네요. 개봉 중에 많이들 보러 가셨으면 합니다."
10,지금 내 옆을 지나쳐가는 얼굴들이 살아왔을 삶들에 대해 생각해보게 만드는 영화
10,이태원에서 살아온 세 여성의 투쟁기록
10,영화 너무 잘 봤어요 기록물로서의 가치도 있습니다^^
9,
10,
10,우리가 몰랐던 알아야할 이야기. 다음작품이 기대됩니다!
10,
8,도시와 노년여성들의 이야기 어떡하든 살아간다
10,이태원이라는 변화무쌍 한 곳에서 굴곡 많은 삶을 살아온 세 여성분을 담담하지만 따뜻하게 담은 감독의 시선이 좋았습니다.
10,사대주의에 빠진 양색시와 개나 괴나 그저 힙하다니까 와 본 젊은이들이 공존하는 그 곳. 이태원..
10,다큐멘터리 영화인데도 집중해서 재미있게 보았어요.영상미에 반했음^^
2,조금 더 강렬해질 수 있었던 소스들을 그저 나열한 영화
10,"어떤 기준의 평가, 판단이 없는 시선으로 그저 바라보기. 보는 이의 경험과 앎에 따라 더 많은 걸 발견하고 느낄 다큐."
10,이태원이라고 하는 공간에 대해 그리고 그곳에서 삶을 영위해가는 사람들에 대해서 담담하게 돌아보게 하는 다큐.
10,사람과 역사와 풍경이 저물어간다
10,동등한 시선으로 본 타인의 삶
10,"여성의 시각에서 여성들의 모습을 다룬, 소외되어 있던 세 분의 이야기를 통해 이태원의 공간성과 역사를 다시 볼 수 있었어요. 역사와 현재까지도요."
10,
10,
10,2019년에 좋은 영화들을 많이 만났었는데 이 영화는 그 영화들과는 다른 의미로 좋은 영화다. 영화를 본 후 빚진 느낌을 지울 수가 없었다.
10,"그저 가서 놀기만 했던 이태원의 새로운 모습, 아니 어쩌면 본모습을 너무 잘 알게된 영화였어요."
7,불꽃놀이 장면은 왜 나오는지 잘 모르겠음 중간중간 마음이 먹먹해지는 포인트가 몇 있음
10,보이지 않던 목소리들. 인물들 삶의 궤적에서 드러나는 삶에 대한 태도. 너무나도 소중한 영화.
8,관광지로만 알려진 이태원의 역사와 현지인의 삶을 엿볼 수 있었습니다.
9,이태원의 한 층 깊은 이야기를 들을 수 있을 것 같아 조금은 흥미로운 마음으로 보기 시작했다. 이내 보는 내내 든 생각은 저 분들이 지금은 그 때보다 잘 풀려 있으셨으면 좋겠다..단순한 동정이 아니라는 건 보신 분들이라면 아실 거다. 다큐라고 하기엔 영화 같은 세련됨이 있어 더 집중해서 볼 수 있는 작품이었다.
10,"너무 좋다, 너무 좋아서 여운이 오래 갈 것 같다.우리는 세상을 다양한 방법으로 살아가고 있으니까"
