score,reple
10,먹먹하다..누구에 의해 내 삶이 좌지우지되지 않기를. 내 자신으로 살아가기를.
10,"영화의 마지막이 조금 아쉬었지만, 영화 중간중간의 장면들에서 생각해볼 수 있는 것들이 많은 영화입니다. 특히 동생 역을 맡은 배우가 관계 후 거울 앞에서 남편과는 대조적인 얼굴을 하고 있었던 부분은 충격으로 다가왔어요. 여러모로 충격적이고, 많은 것들을 생각해 볼 수 있게 한 좋은 영화였어요."
10,좀비 영화 보다가 이거 보고 힐링 받았네요..
10,최근 봤던 여성서사 중 단연 최고!
10,개봉 전 평론가 평점이 높아 기대했던 작품인데 엄청 충격적이고 감동적입니다.. 특히 브라질의 영상미가 인상 깊었네요. 굿
9,격정적인 역사의 흐름속에서 저들만의 투쟁으로 쟁취해냈던 개개인의 처절한 삶. 그 속에는 좌절과 분노도 있었지만 숭고한 희생과 사랑도 있었다. 보이지 않는 삶을 산 모든 그녀들(그리고 그들)에게 이 영화를 바칩니다.
10,애비xx랑 남편xx 죽여버리고싶ㅇㄷㅁ
10,올해 봤던 영화 중 제일 좋았음. 강추
10,보는 내내 마치 예술작품같은 영상미에 반했습니다. 브라질 영화가 대세라던데..
8,"영화에선 보여지지 않은 그들의 삶을 상상해본다. 말해주지 않는 감정을 떠올려본다. 쉽사리 연민하지 않고 손쉽게 안도하지 않는다. 그저 나타난 표정을 바라본다. 보이지 않는 삶을 바라보는 건 사실 자신의 마음을 들여다보는 일인지도 모르겠다. 아니면, 자신의 마음에 닿기 위해, 스스로를 지탱하기 위해 누군가가 필요한 걸지도 모르고. 더는 볼 수 없더라도 우린 그 누군갈 기억하고, 또 만나며 살아간다. 보이지 않는 서로의 삶을 간직하며 사랑한 두 사람처럼."
9,극중 인물들의 상황과 행동들이 충분히 이해되기에 더욱 안타깝고 좋은 영화라고 생각합니다.
10,우와와~ 초반에 쎈 노출장면으로 충격받은거 빼고는 영화 내용 스토리 다 좋았습니다  안타까운 인생이야기네요!!
10,가부장적이고 폭력적인 아버지 밑에서두 딸의 끈끈한 우애가 감동적인 영화입니다.브라질 배경도 독특했구요~
8,50년대 브라질에서 여성으로 살아나가는 것이 얼마나 힘들었는지 간접체험 한 느낌이예요. 그시대에 심지어 우리나라는 전쟁중 ㅠㅠ 모든 할머니 엄마 존경합니다~
10,1950년대 브라질의 낭만 갬성 너무 좋았습니다 ^^
10,50년대 브라질. 가부장적인 시대. 엇갈린 두 자매 이야기. 삶을 한 켠 한 켠 보여주는 깔끔한 연출이 돋보인다. 왜 칸의 주목할 만한 시선이었는지 납득할 수 있음.
10,흩어져가는 내 삶을 붙잡고야 싶지만 그럴수 없다는 사실에 너무 가슴이 메어지는 영화.
10,간만에  찐한 감동..폭풍눈물흘렸다는..
10,이세상 꿈과 자유를 잃어버렸던 모든 여성들에게 바치는 영화다
8,모든 가족이 이해됩니다. 그 시대 이버지라면 그럴수 있고 수동적인 삶을 살아온 어머니마저 이해되는데  오히려 자매의 애착이 과한 느낌입니다. 좋은 영화지만  다소 지루.
8,끊임없이 지워지는 여성들.
8,자매의 성장과정을 통해  샮의 의미를 되새기게 하고 생존이유를  ㅈ[시하며 삶의 방식을 선택하게 히는 명작으로 전체 흐름도 아주 좋았음
8,찢겨지고 지워지면서도 꿋꿋이
8,피아노곡이 특히 좋고 여러생각이 들게하는 영화
9,오랜만에 감동깊은 영화를 봤습니다.여자분들이시라면 공감하실 수 있는영화일거에요.저희집은 가부장적이라 그런지감정몰입이 아주 잘되더라고요.영화 상영 시간이 꽤 긴데 시간가는줄도 모르고 집중해서봤습니다.
9,젊은 날의 내 어머니를 따뜻이 안아주고픈 마음이 들었어요.
10,연출과 연기 그리고 스토리가 젛았다.
10,타오르는 여인의 초상. 톰보이. 트랜짓 그리고 인비저블 라이프   모두  다 올해 영화중 최고입니다
10,러닝타임이 너무 길다 생각했는데 뒷부분이 결코 그냥 있는 것이 아니었다. 처음에는 무비건조하게 보다가 중반이후로 알수 없는 감정이 휘몰아쳤다.
10,두 자매의 엇갈린 운명이 너무나 보는내내 가슴이 아팠다..
10,
7,보기 드문 남미영화..사실적이고 직설적 표현이 낯설지만 잔잔히 흐르는 감정선이 공감이 가네요..볼만해요
10,지나치게 적나라한 여성의 삶
10,아름다운 시간이었어요. 귀다의성장과정이 정말 감동적이었어요.
8,"브라질판 1950년대 여자들의 인생  이야기,우리의 엄마, 할머니 얘기들과 비슷해서 좀 공감;요즘 친구들은 이해어려울듯, 근데 갠적으로 아빠가 절대 이해안됨, 엄마도 너무했다 생각함, 간만에  브라질 풍경과 색감은 이색적이고 좋았음,"
8,영화 잘 봤습니다...
7,재미있다 오 짱 ㅋㅋ
9,배캠 김세윤 작가 추천 듣고 오늘 보고 왔습니다.  박스 오피스 순위가 역주행 하는 것 같은데 역시 좋은 영화를 추천해주신 작가님의 티켓 파워도 있는 것 같습니다.  더 많은 남자들이 이 영화를 보기 원한다는 말에 200퍼 공감합니다.아직도 지구 곳곳에서 일어나고 있는 이야기. 50대의  주부인 저의 이야기이기도 합니다.
8,"남다른 자매애를 가진 두사람을 평생토록 갈라놓았던 명예란 이름의 횡포. 너무나 익숙한 주제, 스토리지만 연출과 연기가 압도적...."
10,브라질의 수려한 경관으로 시작하는 한 편의 대서사시 '인비저블 라이프'1950년대 남성 가부장적 시대에 살았던 두 자매의 안타까운 이야기를 따라가다보면 어느새 가슴이 아려해지는 엔딩
10,시대적 분위기를 잘 살려주어 좋았고 배우들의 연기도 좋음. 오랜만에 흔하지 않은 영화 감상하여 좋았음
10,완벽에 가까운 여성 서사 영화. 140분이라는 러닝타임을 믿을 수 없을 정도로 압도적인 몰입감을 주는 영화. 강추!
10,"시대, 남성 가족, 여성에게 주어진 신체 등이 어쩔 수 없이 하게 만든 선택들을 묵묵히 살아내었던 나의 할머니들과 엄마들에 대한 이야기"
10,"압도적인 미장센, 여성 서사의 힘."
9,가족은 핏줄이 아니라 사랑이라는 대사가 울림이 있었다. 희생을 강요받는 여자는 시대가 달라져도 여전한 듯
10,
10,오랜만에 너무 좋은 영화 만났습니다 :)
10,
8,"순간순간 바뀌는 시간의 흐름이 조금 당황스러웠지만 스토리가 재미있었고, 몇몇장면에서 감독의 연출이 인상깊었다. 감정이 크게 분출되지 않아 더 공감했다."
10,여운이 엄청 깊었습니다시대 분위기와 여성들의 인생 등많은걸 느낄 수 있었네요 추천합니다!
10,연출 연기 스토리 영상미 ost 모두 최고였다.
10,
8,영화가 막막하고 보기가 쉬운 것은 아니었습니다. 긴 상영시간이라고 느껴지지 않았습니다.
10,"후반에 막내딸이 아빠 쥐어팰때 같이 패고 싶엇습니다 정말, 그놈의 체면이 밥먹여주나요 남의 시선이 자식을 버릴만큼 지킬만한 체면인건지 보수적인엣날남자들 정말 역겹습니다. ㅜㅜ 지금의시대가 이렇게 축복받은 시대인지 이 영화보고 처음 느꼈습니다 평점 10점이 턱없이 모자릅니다. 더주고 싶어요 제발"
10,보수인적인 독재자 아버지로 인해서 언니 귀다는 보고 싶은 동생 에우리디스는 영원히 만날 수 없게 된다.
7,믿었던 사람들에게 배신당하고 이해받지 못하는 자매의 계속 엇갈리는 기구한 운명이 안타깝네요. 영상미도 좋았습니다.다만 감정이입이 안되서 밖에서 관찰하면 자기 앞가림도 못하고 피해자가 되고 싶은 사람들을 150분동안 봐야합니다. 아버지가 딸을 버렸지만 먼저 아버지를 버린건 딸이죠.
5,보면 아시겠지만 페미니즘을 논하기엔 깊이가 부족하고 여성의 삶에대한 공감을 일으키기엔 맥락이 뚝뚝 끊기며 내용이 많이 단순합니다... 여성임에도 영화내용에 그리 공감가지않았던 이유입니다. 평점이 높은이유는 페미니즘을 연상시키는 주제를 논했단 이유로 가산점을 먼저주고 영화를 평론했기 때문이지 않나 싶습니다.. 여러모로 아쉬운 영화였습니다
6,높은 평점보고 봤는데 지루한 유럽영화 느낌임. 편집이나 영상미가 세련되지 못하고 요즘영화에 비하면 지루한 스토리전개... 90년도 영화인줄 알았음
2,여성서사 보러 온 사람들 스트레스 받으니까 보지않길 추천. 처음부터 끝까지 두 자매의 불행대서사시. 남자들이 여자의 삶을 어디까지 불행하기 만들 수 있는지 보여주는 레이스. 브라질 50년대는 이랬답니다~그래서 어쩌라고? 처음부터 끝까지 고구마에 희망은 없고 화만 나게하는 영화. 주연배우의 연기력 말고는 주목할게 없다. 불쾌하고 끊임없는 더러운 성관계 묘사. 비혼 비출산 장려 영화. 불필요한 노출. 꿈의 좌절. 자매의 좌절 모든걸 모아둔 패키지니까 기분 더러워지고 싶으면 보길.
