score,reple
10,집에 가기 가장 어려운 영화.
9,SF로서는 매트릭스1편 이후  처음으로 대중과 평단의 지지를  모두  얻어낸 작품이라고 생각한다. 마지막에 팽이가 돌땐 나도 돌아갈 지경.
10,메멘토를 보고:이야 이작품이 21세기 최고 작이다-&gt;배트맨 비긴즈를 보고:이야 이작품이 21세기 최고 작이다-&gt;다크 나이트를 보고:이야 이작품이 21세기 최고 작이다-&gt;인셉션을 보고:이야 이작품이 21세기 최고 작이다.끝없는 데자뷰를 일으키는놀란감독.
10,몇 번을 봐도 질리지 않는 최고의 영화
10,"5번 정도 봤는데 드디어 이해가 간다... 이걸 한번에 이해한 사람은 진짜 천재이고 무엇보다도 이런 영화를 만든 놀란이 정말 대단하다.. 경의를 표한다 진심으로 내 인생에 있어서 최고의 영화이다. 이보다 더 대작은 지금까지 본 적이 없다,"
10,평점 1점주는 사람들은 머리가 나빠서 이해를못한사람들이다
10,영화관에서 봤었던게 자랑
10,개꿀잼 + 뛰어난영상 + 빈틈없는설정 + 명배우 + 명감독 + 완벽한ost 최고!
10,다 이해했다고 착각하지들마라 이건 캐면캘수록 새로운게나오는 노다지광산같은영화여.. 다섯번이고 열번이고 계속볼수록 보지못했고 이해하지못했던것들이 하나씩 계속나타난다
10,씨네21 박평식 아자씨가 8점주면 말다한거다 얘들아 ㅋㄱㅋㄱㅋㄱㅋㄱㅋㅋㅋ
10,놀란 형제는 천재임이 틀림없다
10,상상의 상상의 상상한  영화
10,20살 그 당시 영화관에서 봤을 때 이해가 안됐다. 3년후인 지금 영화를 완전히( ? )이해하고 소름이 끼쳤다. 마지막 토템은 놀란감독이 나에게 인셉션을 거는 것이라고 착각할만큼 한동안 멍했다. 지금의 현실이 과연 현실인지. 또 봐야지. 대단한 영화
10,놀란 작품 중에서도 최고다. 2020년에 이 영화를 봐도 다시금 놀라울 것 같다.
10,누군가 내게 인생최대의 실수가 먼지 물어본다면 인셉션을 영화관에서 보지 못한거라고 대답할것이다
10,로버트 피셔의 꿈에서 바람개비를 집어드는 장면을 잊을수가 없다.. 눈물이 나오려고 했다. 코브가 심으려는 생각이긴 했지만 그것이 정말 아버지의 바램이었을지 모른다. 상상력과 창의력에 감동과 여운까지 강하게 남기는 영화다.
10,내인생 최고의영화... 개봉했을때 봤는데...아직도 그 여운이 가시지않는다...
10,내 생애 가장 재미있었음
10,두 번봐도 전율이 느껴지는 영화는 흔치 않죠. 최고!
10,집에서 본걸 후회한다 집에서 봐도 지릴만큼 쩐다.
10,10점이끝인가요?10점도넘는영화인대
10,꿈속의 꿈속의 꿈속의  꿈이라는 개념을 만들어냈다. 최고
10,이런 블록버스터 영화평균제작비용:1160억하지만이영화는 1160억원의가치를뛰어넘었고우리는 그런영화를10000원쯤으로보고있다이얼마나 위대한가
10,와... 슈퍼액션에서 방금 이란전도 안보고 봤는데... 소름 돋게 재밌네요! 나 네이버 로그인첨해봐..ㄷㄷㄷ
