score,reple
10,한국영화가 산업화되어 잃어버린 무언가를 이 영화는 복원하였다. 놓칠 수 없는 독립영화의 발견!
10,가족들은 어떻게 살아 왔을지 생각해볼수 있게 해주네요
8,"평론가 평점이 ‘이상하게’ 높은게 이상해서 별 기대없이 관람했는데.. 꽤 흥미롭게 봤습니다! 건조하리만큼 담담한 연출과는 달리 세심,세밀한 시선과 고집스런 똑심이 무척 인상적입니다. 앞으로가 더 기대되는 감독이네요^^"
10,먹구름 사이에 들어온 작은 빛
8,"봉준호 감독님이 언급한 마틴스콜세지 감독님의 말 &#39;가장 개인적인 것이 가장 창의적이다&#39; 이 말에 가장 부합하는 영화,이런(스타일,이야기,연기,촬영,시도해서 찍고 완성해서 개봉하는 그 순간까지 모두)류의 영화가 진정 한국영화의 긍정적인 미래다,앞으로 10년, 20년... 미래가 궁금하고 기대되는 감독, 배우분들,그 기대감을 충족하기 위해선 많은 지원과 관심이 있어야 하는 건 당연!당장 우리 관객부터 일부러 찾아가서 보고 알리고, 좋으면 좋다 싫으면 싫다 반응 보이고 또 기대하고, 해야지 하는 의지를 새삼 다시 일깨우는!!"
8,좋은 영화 잘봤습니다 감내하기 힘든 아픔도 가족이 있기에 극복할수 있다는것 기억하기 위해 찍은것이 기억을 소생하는것이 삶을 소생하는 것이 되는 과정을 보여주는것 같습니다 ~!
10,큰빛
10,영화를 보고나서 집에 돌아가는 어두운 골목길에서 가족에 대해 생각했습니다.
10,어릴때 가족들 생각이.. 너무 잘봤습니다.
10,기대 안하고 봤다가 눈물 흘리며 나왔습니다.20대감독님의 연출력이 보통이 아니네요. 앞으로가 기대되는 분입니다.배우들도 어쩜 저리 딱 맞게 캐스팅했는지 최고에요.
8,"쾌쾌한 곰팡이 냄새가 나는데, 또 그 사이로 작은 빛이 들어온다."
10,
8,작은 이야기가 가진 단단한 힘.
10,
3,"가족이야기,, 재미로 볼 영화는 아니었음"
7,버블패밀리처럼 로우한 느낌이 좋있어요. 한국 영화의 미래가 밝습니다. 하지만 평론가님들이 점수를 조금 현실적으로 매길 필요도 있어 보입니다:)
6,덧셈보단 뺄셈에 가까운 절제식 가족영화
10,
10,
10,
7,기억을 호출하고 공간을 불러내는 영화라는 작은 빛.
1,몰입해서 보기 너무 함들었다.이게 뭐지 하다가.. 졸고 있었음. 감상포인트 없는데 무조건 체크해야해서 그냥 영상미 체크..
2,다끝날때까지 무슨재미로봣눈지 모르겟다.지루하고 아무이미없엇다.돈주고보기엔 좀.
7,좋음 다시보고 평을 다시
4,평론가 평점을 믿어선 안되는 이유
1,"안타까운 사연을 다룬 tv 다큐를 보는 기분 그 이상도 이하도 아니었습니다. 보통 이런류의 작품에서 진짜 연출력이 드러나는 것 같은데 이 작품에는 연출력이란 건 보이지 않았고 그냥 쭉 늘어놓은 기분이었습니다. 그래서 인간극장 같은, 다큐멘터리의 감동지수에 크게 못미치는 것 같았습니다.  독립영화 씬에서 큰 호평을 받은 듯 한데, 왠지 한국 독립영화 씬에서 성공 코드가 몇가지 생긴듯 하고, 이 작품도 그 중에 하나 인 듯 합니다.감상 포인트는 없었습니다."
1,흩뿌려놓은 풀샷의 거리만큼 멀어지는 관객과의 거리.
1,돈 아깝다
