score,reple
10,쓰레기 한국영화엔  9점 10점 퍼주면서 이 명작엔 평점 준 꼬라지  봐라
9,후반부에.. 밥 본이란 사람 집에 찾아갔다가.. 포스터에 대한 진실을 듣고 오줌지릴뻔했다....
8,데이빗 핀처의 편집은 진짜 언제봐도 좋다.
9,마지막 그레이스미스가 리앨런과 둘이 말없이 쳐다보는 장면은대단했음
9,"핀처 감독의 연출에 빠져들 수 있는 영화, 실화를 바탕으로 한 것과 편집 때문에 긴 러닝타임 임에도 지루하지 않다."
10,평점이 왜 이렇게 낮어? 빠가사리들 이해 못해서 평점 낮게 주냐
10,좀 끈기있게 볼수 없나? 제대로 보기도 전에 지루하다며 포기하면서 뭔 영화를 본다고
10,러닝타임도 길고 대사가 많다보니 지루하게 볼 사람더 있겠지만 난 너무 재밌게봤다....후반부로 갈수록 더욱 긴장됐고 엔딩부분에선 갑자스레 다가오는 사실감 때문에 소름이 돋았다ㄷㄷ
8,"실화를 바탕으로 관객들을 그 시대, 그 사건 속으로 빠져들게 만드는 영화..."
9,미국판 살인의 추억~ 디테일은 더 뛰어나다
10,너무 저평가된 작품 심오한 영화
10,헐크랑 아이언맨은 여기서도 싸우네
9,내가 이명작을 볼때 잔 이유는 그때 내나이 11살이어서 그렇다.
10,"이 영화는 굉장한 영화다.  보고 난 이후 오랜 시간 기억에 남는 그런 영화. 대중적으로 인기를 몰만한 영화는 분명 아니지만,다른 영화들에는 전혀 없는 이 영화만의 특별함이 있다. 꼭 보세요. 정말 특별합니다."
9,숨막히는 전개 끝까지 긴장감을 늦출수가 없네
10,본 사람만 안다 이 영화가 얼마나 명작인지..
8,때론 물증보다 심증이 더 정확한 증거가 될수도 있다. 실화를 바탕으로한 영화라서 그런지 등장인물의 묘사도 좋고 긴장감과 몰입감도 좋다.
