score,reple
9,모피어스와 네오가 다시 만나다니 감동!!!
8,연필의 무서움. 1편에서 존 윅이 부기맨 3명을 연필 하나로 죽였다고 언급했는데 이 편에서 제대로 보여줍니다
10,"그저그런 양산형 액션영화인줄  알았는데 로튼도  그렇고,  메타크리틱도  점수가  역대급인 이유는  영화를  보면  알게  됩니다.   왜  해외  평단에서  점수를  높게  줬는지"
10,이런게 액션입니다. 키아~
10,속으로 1편만큼만 해달라했는데 더 재밌음....
10,은퇴하고 싶은 조나단의 꿈은 알겠지만... 은퇴하질 않았으면 하는 관객들의 마음
10,액션은 진짜 최고다.  상영관이 아쉽다. 청불에 자국영화밀어주기 때문에 ...그저그런 한국영화 보단 훨 낫더라
10,아니 뭔 개봉관이 이따위야. 그나마 보고싶은 영환데 와..한국영화 진짜 개극혐이다. 걔네 밀어줄라고 할리우드 영화 개봉관도 없냐. ㅈ같네.
9,"우와,액션 최고임! 진짜 힘들게 촬영했을거라는게 보인다~ 키아누리브스 살아있네 살아있어"
10,"다른 여타 액션영화와 다른점은확실하게 킬링하는 능력, 리얼한 총사운드(소음기신 제외)총 보급경로 확실, 방탄슈트 이용하는장면, 권총장전시 디테일과 스피드, 자세 퇴로에다 총기배치, 콘티넨탈호텔의 룰 등곳곳에 웃음포인트까지 여러요소가 완벽한영화!"
10,진짜 1편도 1편이지만 이번에는 실탄 액션을 소화해냈네..  그야말로 최고다
9,"네티즌 8.34관람객 8.60평론가 7.67이 화려한 영화가 내일이면 서울 상영관이 없어진다.열흘간의 상영을 끝으로.세상엔 환상적 메뉴와 레시피가 있지만,우린 밥상에 올려진 것만 먹어야 한다.우리에게 선택권은 처음부터 존재하지 않았다."
10,대박!멋있는 영화를 서울 1곳에서 만 상영한다니 ㅉㅉㅉ아뭏든 키아누는 약간 늙었어도 그의  액션의 간결하고  세련미가 아주  맘에 듭니다
10,오랜만에 1편을 넘는 2편을 봤다
10,존윅1도재밋지만 존윅1보다100배재밋다
10,총알이 안떨어짐...계속 가져다주거든
10,지하철에서 곁눈질 총격전은 보다 웃겨 죽는줄 알았다 ㅋㅋㅋㅋ 두고두고 남을 명장면
10,키아누리브스 특유의 고독한 느낌과 잘 맞아떨어진다. 액션영화를 보는데 키아누를 보면 왜이렇게 외로워보이고 짠한건지ㅠㅠ 간만에 스타일리쉬한 영화라 너무 기분좋았다
10,액션이 장난이 아닙니다.
10,야이 영화관계자 놈들아한국영화 작작 밀어주고 이런 영화좀 상영관에 띄워달라 !!! 보고싶은데 무슨 상영관이 이렇게 없어 ㅠㅠ
9,프랜차이즈 액션의 새로운 지평!!!건푸 이퀄리브리엄 이후 시원한 스타일리쉬 액션.키아누 리브스의 절제!!
10,미스터존은 정말 말과 총알을 낭비하지 않네요 ㅎㅎ
10,몸 둔탁한 리암니슨 영화 같은 화면만 번쩍번쩍하는 구라 액션이 아니엇음.  화면 길게 잡아서 액션보는맛이 매우 지립니다.거기에 분위기가 지립니다.  무조건 8점이상 줘야되는 영화임.
10,액션영화보려고 왔다면 당연히 별10개짜리다. 총격신 박진감+통쾌함. 그게 다임.
10,소믈리에 장면은 역대급이다.
9,상영관이 적은 것이 안타까운 걸작
10,지하 통로 장면은 정말 압권이였다... 보는 내내 손에 땀을 쥐게 했다...
10,말도 시간에도 낭비가 없는 듯. 좋아 죽겠네!!
10,재밌었음 다만 전작 내용 모르면 도입부분에 띠용할듯
10,"샘 페킨파 이후 60년, 폭력 미학의 진화를 본다.  76세 후랑코 네로의 잘 늙은 모습을 보는 것도 재미."
