score,reple
10,"빵점주든 말든 상관없어 나는 개 통쾌하게 봤으니깐.. 이 영화를 보게됨으로써 내 심장을 뛰게하고 아드레날린을 솟구치게 스트레스를 풀면 됬지 무슨 개연성, 스토리 연연하고 있어.. 난무튼 개 통쾌하게 봤다."
10,'그까짓' 개 때문에 라고 하는데 존윅한텐 '그나마 있던' 개였다..
10,개연성 타령하려면 제대로 보고 개연성 타령해라. 단순한 개가 문제가 아니라 그 개가 담고있는 의미도 같이 생각을 해야지.
10,난 총으로 이렇게 멋있게 싸울수있는줄 처음 알았어. . 진짜 키아누리브스는 상남자 연기 쩌시는듯
10,"이 영화가 &#39;아저씨&#39;나 &#39;용의자&#39;같은 영화보다 평점이 낮다는게 참ㅋㅋㅋ. 8점대넘는 국내 액션영화들은 스토리 개연성있고?ㅋㅋㅋ 나도 스토리 따지는사람이지만 이 영화는 스토리 갖다버려도 연출력, ost, 그리고 배우들 연기력만으로도 충분했던"
8,사람은 자신의 본성을 바꿀 수 없다. 주인공은 사랑하는 사람으로 인해 본성을 최대한 죽이고 다른 삶을 살고자 했다. 하지만 개가 발단이 되어 죽었던 본성이 살아나게 된거다. 그러니 개 한마리 때문에.. 라는 얘기는 그만들 하시길...
10,간만에 본 키아누리브스 영화 중 최고!!
10,영화나 보구 점수줘라!! 이런게 영화야 영화!!!
10,이 영화를 보면서 이퀼리브리엄이 떠올랐다..그만큼 재미있다는거지.
9,본격 개를 통한 힐링 액션물ㅋㅋㅋㅋ 사운드 빵빵하고 액션도 빵빵하고 설정도 군더더기 없이 깔끔하다. 괜한 어줍잖은 감성팔이 스토리로 액션영화 만든 것 보다는 낫다. 그러게 왜 개를 건드려가지고는. 조막만하더마. 때릴 때가 어딨다고.
8,평점 왜이럼???난 존나 잼있었는데
10,자기 개 죽였다고 사람 몰살 시키는 간지남
10,개연성 같은건 신경쓰지 말자. 더 이퀄라이저에선 절제된 액션을 즐기고 존 윅에서는 화려한 액션을 즐기면 된다. 그것만으로도 이 두 영화는 즐기기에 충분하다.
8,스토리는 정말 간단하지만 클린서비스나 협회나 아지트같은 설정은 좋았다. 뚝심있고 시원하고 화끈한 액션은 완전 기대이상
10,동굴 괴롭히는 애들한테 꼭 보여주고 싶다. 당신도 이렇게 죽을 수 있다는 것을 알려주고 싶다.
9,화끈하게 스트레스를 풀고 싶다면 당장 이 영화를 봐라. 다만 스토리는 절.대.로 기대하지말기!
9,땅콩회항 당사자 아버지께 추천합니다. 자식교육 잘못 시키면 음경된다는 좋은 교훈을 주는 영화
10,별점이 왜이리 낮지.. 스토리는 단순해도 오랫만에 키아누리브스 형님의 액션을 봐서 좋았다.
10,"영화는 단순한 복수극이지만 그 속에서 나오는 비쥬얼은 정말 대단하다. 액션마니아라면 강추하고 싶은 오랜만에 나온 통쾌한 액션~ 키아누 리브스, 윌리엄 데포, 랜스레드딕 모두 왜이렇게 멋있는건지... 머리를 비우고 마음도 비우고 스트레스 날리려면 강추!"
10,개봉한지 3일된 영화가 주말스크린이 심야 하나밖에 없다는게 말이되냐? 명량때도 느꼈지만 진짜 스크린독점 역겹다 진짜. 에휴. 인기 없으니 스크린이 없는거라고? 개봉한지 3일밖에 안됬는데 재미 있느지 없는지 어떻게 알아?
10,와 정말 영화보면서 스트레스 날리는건 정말 오랜만이네요또 보고싶은 영화
10,진짜 깔끔하다. 군더더기 하나 없다.
10,보는도중에 액션신이 빠지는 경우가 거의 없다 진짜 액션만 즐기고 싶다면 추천 화끈한 액션이 최고다
10,진장한 아내와 개에 대한 사랑을 볼 수 있을 것 같습니다. 키아누 리브스 배우의 화려한 액션 씬을 중점으로 보면 좋을 영화입니다.
10,개멋있음 나여잔데 이거보고나니 원빈은 쨉이안되네
10,개인적으로 이런영화좋다ㅋ 키아누만의 무적연기 참좋아
10,키아누 리브스라는 점 만으로도 8점은 먹고 들어갑니다★
10,키아누 리브스의 열연이 대단합니다.
10,알바도아니고 솔직한 후기 쓸게여 .. 방금 존윅 10시 20분꺼 보고왔는데 .. 진짜 시간 가는지도 모르고 보게되고 몰입하게되고 테이큰도 재밌었지만 이것도 진짜 재밌어여 중간중간 피식 웃게되고 ㅋㅋ진짜 와..멋있다 액션이 정말 멋져서 감동이네여
9,후반부는 별로지만 전체적으로 매우 볼만함
10,이세상에건드리지말아야할것리암니슨의딸원빈의엽집꼬마존윅의 강아지
7,반려동물을사랑한다면 존윅에 감정이입을 할수있을지도
10,마지막에 보스의 태세 전환. 총 없이 둘이서 하자. 10초 후. 아야야 왜 그래 우리 고상했잖아. ㅠㅠ
10,이런게 액션이지ㅋㅋㅋㅋ
8,영화의 스토리는 단순하다. 그러나 눈으로 즐길거리가 많다는거..보는 내내 키아누리브스의 인생스토리와 오버랩되어 영화를 보는 내내 가슴이 아파 눈물이 났다~이세상에 키아누같은 사람이 또 있을까..노장처럼 느껴지지않는 멋진 액션...잘 봤습니다?
10,키아누가 영화판에 돌아온 것만으로도 좋다
10,액션  종결판  키아누 리브스 컴백
10,개연성 없단 것들은 10대 초딩들인가? 이보다 더 사소한 일로도 죽고 죽이는 기사가 매일같이 올라오는 현실인데 니들이 저 주인공 입장이라면 살인 안한다고? 장난하냐? ㅉㅉ 참고로 주인공은 전직 킬러다. 킬러 뜻 모리냐?  한심한 것들 노답
10,"헐리우드판 &#34;아저씨&#34;라고 해서 더더욱 기대가 컸던!!! 당한것보다 배~로 복수해주는 존윅. 다들 키아누 리브스의 화려한 액션을 극찬하네요! 남친이 액션광이라~~ 오랜만에 큰 스크린으로 화끈한 정통액션, 기대해 봅니다!! ♡"
10,시원한 액션과 감정의 몰입은 당연 최고다!
9,조각같은 미녀보다 때론 개성있고 매력적인 여성에게 더 끌리는 법. 완벽하진 않지만 투박하고 역동적인 건푸 액션. 눈을 때기 힘들었습니다!
10,키아누리브스 멋지게 재기에 성공해서 좋네요 내용은 정말 단순하지만 액션 장난아니던데요 멋집니다 카리스마도 대단하고 ..단순히 강아지를 죽여서 그런게 아니죠 조금만 더 생각하고 의미를두고 보시길 ost도 환상이였습니다
10,굿굿 오락영화로 딱이에요! 또볼거에요
10,액션은 마음에 드네요 ~!!
8,보고 느끼기만 하면 되는 액션 영화
10,그냥대박 보면안다 1시간40분인줄모를정도로
10,시원한 액션과 키아누 리브스만으로도 충분해요~^^
8,남자라면 무조건 보라!!
10,아저씨보다 100배는 재미있다!!!
10,역시 키아누 리브스!!
10,기존 건액션과 비슷해보이지만 전혀 다른 액션! 2회차 관람때 조연을 비롯한 모든 배우들의 연기를 다시 보니 빈틈 없이 꽉 짜여진 액션영화란 생각이 듬
10,액션이란 이거지!!!
8,생각보다 재미있게 봤습니다! ㅎ
10,개아범 개간지  ....
10,키아누 리브스를 좋아합니다!!!!나이가 들어도 멋진 배우!
10,"심장이 두근두근, 시사로 보고 온 친구의 추천에 힙입어 저도 완전 기대되는 영화예요! 거침없는 액션 키아누 리브스!+_+ 걸리면 다 죽는다~~~ <존윅> 이번 주말 꼭 봐야죠!"
10,감동은없지만 액션이이 아주머싯다
10,이건 레알 액션의 끝이다
10,꽃미남 키아누 리브스의 온몸 액션 <존윅>!!! 내한 시사 못 가서 아쉬웠는데~ 시사 반응이 좋아서 기대감 업업!! 이런 영화는 꼭 극장에서 봐야죠+ㅁ+
9,명분은 강아지로 충분했고!!  액션은  진짜 깔끔하고 좋았다!!
10,내용은 정말 단순하지만 정말 액션이 짱 ㅜ그리고 영상도 멋있고 아름답고 구성지게 잘 잡고 표현한 듯!!!아 ㅜㅜㅜㅜ개 멋있
10,오랜만에 시원하고 통쾌했던 영화키아누리브스의 액션영화중 단연 최고!중년의 멋스러움과 무겁고 스피디한 액션이 너무 잘 어울렸음무엇보다 수트발이 진짜 대박!
10,예고편을 보고만 있어도 흥분되는 액션이네요
10,아저씨 이후로 본 액션영화중 TOP 3안에 드는 영화이다!!
10,솔직히 평점이 너무 낮은데?
9,"키아누리브스의 중년몸매가 인상깊었던 영화. ""남자는 나이가드는게 아니라 멋이든다."""
10,스트레스 풀린다!!!!
10,존윅....아직 보러가진 않았지만 줄거리를 보니 오랜만에 괜찮은 영화하나 나온거 같습니다. 액션을 좋아하는 저로써는 좋은소식이지요. 기대됩니다
10,키아누리브스의 액션 진짜 최고
10,개 재밋음~~ㅋㅋㅋ 이영화 꼭 봐야할 영화 데이큰 보다 훨 재밋다.
10,보신탕 먹는 악당들을 전부 쓸어버리는 통쾌한 영화다~~~~
10,나 영화볼때 스토리라인 쓰레기면 진짜 화나서 쌍욕하는데 이영화는 스토리라인 진짜 개빈약하고 말도 안되는 억지상황인데도 너무 괜찮은영화임!  뭔 개소리냐고? 직접봐 ㅋㅋ
10,화끈화끈한 존윅액션영화~~꼭보고싶네여 스릴만점 액션영화 존위기대됩니다
10,액션영화 좋아하는 사람이라면 추천합니다~!액션 디테일에 신경쓴게 보이고 그래요~ 가볍게 볼만하고 스토리 자체도 무난하게 갑니다.아 난 존윅 손목시계 위치가 너무 신경쓰였어요. 의미가 뭘까. 글구 살쪘다고 흉보는 사람 있는데 지금이 낫지 않나?
10,대충 적을 무찌르면 지나가는 주인공과 달리현실적이게 헤드샷으로 끝장을 보는 부분이 너무 마음에 들었다
9,키아누 리브스 연기 많이 늘었네. 보는 내가 뿌듯하다.
9,단순하게 생각하며 허전할것이고   의미를 담고 본다면 묵직할것이다
8,액션이 시원시원하고 좋았어요!
10,말이 필요없는 영화 !키아누리브스 내가 좋아하는 이유
10,액션 진짜 간지터지네요
10,이런게 액션이지!! 일단 보고나서 얘기하자ㅋㅋ
9,굿굿ㄱ둣!!! @#@#@#$@$
10,그냥 키아누리브스 멋지네요. 액션영화답다 스트레스 싹~~
10,헐리웃 최고의 총격 액션 영화
