score,reple
8,최근에 관람한 영화중에  유일하게  엔딩크레딧까지  앉아 있었습니다 아주 재미있고  생각하게 만든 영화였어요
10,우에다 신이치로의 성공이 거짓이 아님을 증명한 코믹 수작!
8,역시 장르를 가르는 감독이었다. 이 세상 가장 알다가도 모를 거대한 치유극.
10,최근 개봉한 영화들 중에 주제는 그럴싸한거 잡고 스토리가 알량했는데 이 영화는 스토리가 그래도 괜찮았었음
10,아들한테 끌려가 본 영화 요근래 졸았던 영화들보다 너무 좋았음게다가 영화평론가의 해석듣고 더 좋아졌음 ...그냥 당장보시길..그냥 가벼운영화도 아닌 멋진 코미디.
8,일본 특유 B급 감성과 유머
10,귀엽고 사랑스러운 코미디 ㅋㅋ
3,일본 특유의 B급 병맛 코미디 입니다. 도대체 이게 뭐가 재미있다는 건지.... 영화 볼 줄 모른다고요? 졸라 재미 없는건 졸라 재미없다고 말하는 겁니다.
9,아.. 진짜 이거 완전 어처구니 없이 웃김... 우리나라에서 리메이크 해도 잼날것 같음... 진짜 짱임...
9,마지막감동..간만에 본 영화인데 시간과 돈이 아깝지 않았네요
9,장마철용 맞춤영화재미100%
6,조금 어설픈 영화다 싶었는데 반전인 결말이 괜찮은 영화였다. 생각해보면 크게 별 내용은 없지만 코미디 영화로 재미있었다.
10,B급 요소들의 하모니와 코미디의 조화 그리고 [카메라를 멈추면 안돼]와 같은 감독 특유의 반전까지..  스페셜 액터스.. 반전보러왔다가 치유받았네요..
9,카메라를...에 이어 우에다 신이치로 감독에게 경의를
8,카메라를 멈추면 안돼 다시 보고 바로 최신작 봤는데역시나 역시나야..그는..
8,재밌게 잘봤습니다~~~
9,저에겐 전작만큼 좋았습니다. 영화를 향한 사랑이 느껴지는 영화!!
10,레스큐맨으로 재탄생 하기까지 수많은 시행착오들
10,이거 뭐야.  훅 들어오네..
10,ㅋㅋㅋ우에다 신이치로 감독이 우에다 신이치로 함
8,신선한 코미디 영화 기분전환용으로 보기 좋아요 푹 빠져서 봤어요!!!
10,무스   재미도  있는데 용기내는 남주보면서 감동까지 !
10,
6,"영화에 대한 애정, 진정성 가득했던 그때 그 진심은 어디로 가고... 관객우롱 강박적 반전 성애만이! 한결같이 엉성하기만 한데, 그걸 또 멍하니 보게 되는 뭔가 마성의 매력?은 있긴 있음... 허나! 3번째 에도 반전에만 집착한다면 그때는 그냥, 끝"
7,오직 오노를 위한 연극.설정은 신선했는데 그렇게 웃기진 않았다.배우들이 너무 매력있었음.
8,기대하고 보지않은 영화였는데 뒤로 갈수록 스토리에 빠지는 감동까지 있는 재미있는 영화입니다.
10,전작인 카멈처럼 신선하진 않았지만 예측 가능한 스토리를 충분히 즐겁게 볼 수 있도록 풀어내는 감독의 힘은 여전합니다. 특히 주인공 역할을 한 배우가 허약한 너무 연기를 잘합니다. 최근 개봉작들 중 유일하게 돈이 아깝지 않았네요.
9,반전의 반전의 반전 ㄷㄷㄷㄷ
10,너무 웃겼어욬ㅋㅋㅋ
9,유치한듯 하면서 신선하고 웃긴 영화? 감독 이 젊어서 그런가 영화가 스토리도 참신하고 신선해  ㅋ
9,개인적으로는 전작 카메라를 멈추지마 보다 마지막이 더 감동적이네요.
2,별론데....ㅡㅡㅡ
1,평점에 속지말라 !!!!
9,너네 정체가 뭐야???
8,"허구의 진실 속에서 외면을 넘어 내면을 이겨내는  그런게 연기고, 마법같은 연극이다."
10,카메라를 멈추면 안 돼를 재밌게 본 사람이라면 만족할듯ㅋㅋ
1,"평점 진짜 장난하냐?? 이런 쓰레기 영화에 별5개라니... 유치한 설정, 찌질한 인물, 억지 개그로 만들어낸 일본산 문화공해였다"
1,카메라를 멈추면 안돼 재방송.  정말 영화 내내 잘 버텨준 내게 더 큰 감동을 받았다.
