score,reple
1,진짜 농담안하고 처음제목나올때가 제일 무서웠다는 사람 손들어라
5,처음은 지루하고 중간은 웃기고 뒤에는 토시오 엄마가 징그럽다
1,무서운 분위기는 좋은디 임팩트? 있는 장면이 없다.지하철에서 얼굴 대문짝만하게 나올때 솔직히 뿜었다.시작할때 분위기때문에 무서웠는디  어디서 어떻게 귀신이 나올지 다 보인다
5,"청각적 공포는 괜찮은데, 시각적 공포는 글쎄..."
1,진심 나니고레? 역시 원조못따라가요 쿠크다스심장인데 하나도안무서움
1,하...진짜 짜증나네. 내돈 9천원 돌려줘!! 졸라 노잼 우려먹기식에 공포영화맞냐?? 보는내내 헛웃음만 나왔다. 마지막가관이네 어의없다
1,노잼 영화보는동안 느낀건 트름소리
10,소녀괴담 보다 나았단 점에 그냥 10점 드림.. 볼때는  무서워도 참을만 했는데 집가면 후유증.... 이 좀 걱정댐....
8,토시오귀요미~~~~
9,ㅋㅋㅋ 이번 주말데이트때 주온으로 스킨쉽좀해야게다 ㅋㅋㅋ
1,뭐이딴영화가있냐....이건 코믹이다 돈아까워ㅡㅡ
2,흠..별로 무섭지도 안구. 나올만한 장면들이 뻔햇다는...
2,"솔직히 기대 많이하고 봤는데... 스토리 전개가 기대 이하네요. 실망했습니다. 시점을 너무 자주 바꿔서 전체적인 줄거리 파악이 어렵고, 특히 마지막부분 거의 억지로 끝내는 레벨의 마무리였습니다. 일기, 이상한 낙서 등 괜찮은 요소가 있어도 못살리고.."
1,진짜 재미없영화엮어요  무섭지도않고 존나 놀라기만했어요
10,사사키노조미 너무이뻐서 10점 줍니다
1,B급만도 못한 특수효과와 개연성 없는 스토리. 중간에 질질 끌려다닐 때는 솔직히 웃었다.
6,난 지루했음..마지막은 노답;
1,조잡하다조잡조잡하다
1,진짜 재미없었다최악의 공포영화 하나도 안무서운 공포영화
1,그나마 웃기기라도 해서 1점 드림ㅠㅠㅠ 토시오을 너무 순둥이로 캐스팅을 해놨네 ㅋㅋㅋㅋ
8,"역시 주온에 대한 평가가 갈리는군요 ㅋ 원,투 재밌게 본 사람들은 볼만 할 듯"
10,주온 특유의 음산한 분위기가 제대로 였음.. 계속 긴장타면서 보고 옴
1,진짜..기대가 너무 커서 그런가 너무 뻔한귀신때문에 하나도 안무섭다
2,찐짜보지마세요 재미없써요 ㅠㅠ
7,"스토리는 그닥. 더구나 놀랄만한 부분이 예상이 됨. (공포 포인트가 전작들과 거의 동일). 다만 예상하고 보는데도 불구하고, 깜짝깜짝 놀라게 되는게 함정 ㅋ. 전작보다는 무서움이 덜하지만, 그래도 주온 시리즈임 ㅎ(그런데 분신사바2보단 무섭다 리얼.)"
1,디워 이후의 최고 졸작 ㅋㅋ 공포영화보다가 웃고나온건 처음임
1,재미없고 유치하고 하품 나올정도임. 감독이  바껴서 그런지  분장도 그렇고  음향도  유치함
10,아니 소녀인가 뭐시긴가 진짜 그거보다 훨 무섭고 더 잘만들었는데   좀 영화좀 보고와라
10,기대합니다 여자애랑 보러가는데 어떤 반응이 나올지 껄껄
8,어릴때봤던주온생각나서봤는데 고전적공포를좋아해서  무섭고볼만했어요
1,드럽게재미없네 중간에 사람들 다나가
4,그냥...그랬음..가면갈수록지겨움
7,끝이 매우 허무함 이해 안될수도있음  비명 많이 지름 조심
10,퇴근하고 바로 보고 왔는데.. 날이 어두워져서 더 여파가 크다;;
10,내일본다  기대에   부흥하라
10,역시 조용한 것이 한방이 크네만만하게 봤다가 지릴뻔... 오늘 엄마 손잡고 자야지
4,기대했는데 생각보다 재미없긴했음..마지막도 찝찝하게 끝나고 음...그냥 그럼
2,뻔한 답습 그리고 질적하락
9,5번의 채널과 마지막에 허무함
10,와..진짜 무서웠다 꼭보시오
4,사다코보다는 낫지만....이제 지겹다
10,해떠있을때보세요....ㅋㅋㅋ 아 무서운거 싫어해서 안보려고했는데 괜히봐서 밤에 잠안올듯
10,소리가 무서운 영화..
8,공포영화는 배경음이 공포감을 더욱 조성하는듯...  공포영화는 거의 사운드가 먹고가는거 같아요 ;
10,주온 시리즈 좋아하는데 역시영화보다 팝콘쏟을뻔햇슴당 ㅠㅠ
10,이거보다가 전화한번왓었거든요 하필그때 와 진짜로 소름끼쳐가지고 혼자소리질렀음 영화관에서;
9,공포영화 싫어하는 사람들이야 뭔들 재밌겠어 ㅋㅋ 난  공포영화 좋아하는 편이라 만족했음
9,기대 하겠습니다    ㅎㅎㅎㅎ
10,아 존나 재미있었다. 간만에 개그물 하나 제대로 본듯! 다른 개그물에 비해서 상당히 수준 높은 개그물! 끝나면 돈에 대한 많은 생각을 하게되는 영화!
8,"여주인공 너무 예쁘다..,.,.,.,"
9,토시오 ㅋㅋㅋ 아 맨날 의미없이 나타나는줄알았더니 아니네
10,어둠속에서 펼쳐지는 공포는 말도 없이 무섭지만...대낮에 펼쳐지는 주온의 공포도 은근히 으시시 하다.가야코 대체할 캐릭터는 당분간 없을 듯
8,악 ㅋㅋ 뭔가 무서운데 어설퍼서...놀라다가 웃다가 했어요....
10,이쁜여자들이 이렇게 ㅠㅠ 잔인하다고해야되나 무섭다고 해야되나
10,최근 몇년간 나왔던 공포영화중 젤 봐줄만하다.
10,보지도 않고 평점 개똥으로 먹인사람들 많네.. 내일 보러간다.. 주온1의 충격을 다시한번 느꼈으면 좋겠다 ㅠ
9,우와..ㅋㅋ 1.2편 못보고 이번편 봤는데 ㅋㅋ 재밌네요 ㅋㅋ 처음 보시는분들 더 재미있을듯 ㅋㅋ
10,그냥 너무너무너무 덥다싶으면 보세요 ㅋㅋ 무슨 영화를 파헤쳐서 뭐라고 해야 그게 영화보는건가
10,무서움을 극한으로 몰지는 않지만 빠른 전개로 나름 충분히 즐길만 했다. 이걸 조조로 보았는데 귀신이 낮에도 나오는 영화였다. 이론!
7,괜찮았는데 결말이 쫌 웃겼어요.... 무섭다기보단
7,처음시작은됀찮았는데 갈수록 무리수 ... 끝에 한번 무서웠다가 마지막엔딩에서 뿜었다ㅋㅋㅋㅋ...볼만햇음 ㅇㅇ
10,아직안봐서 내가 이영화를보러가면 잘감당할수잇을지모르겟다 평점을 봐야하는데 아직 안올라오네 ㅠ
10,오랜만에 주온 시리즈봐서 넘 좋았당~! 한 동안 머리 감을 때 덜덜 떨었는데;; 이번에도 그런 장면 많아서 넘 무서워ㅜㅜㅜㅜ
8,너무 많은 기대를해서 실망했지만 일본 특유의 공포감을 살려서 괜찮았어요~ 기대하지말고 보면 잘 볼 수있을꺼예요~
10,낮에 봤는데도  섬뜩~~역시 공포영화는  주온!!
10,아 진짜 ㅋㅋ... 보는내내 심장쫄깃 ㅋㅋㅋ 주온시리즈는 다 알면서 무서운 그런 ㅋㅋ
7,보고왓는데 요약해드림팍 ! ! 집    팍! !토시오집      팍! ! 바닥 --  참고로 여주인공입뜯긴여고딩  뜯긴여고딩누나 세여자분이 이뻐서 앉아서봄.
8,공포 영화로선 꽤 괜찮은 편
8,한국 **괴담은 좀 유치 했는데.. 이건 그것보다는 훨씬 무서웠다... 으시시한 분위기.. 긴장하면서 본 영화..
4,지루하고전개가답답함
10,최대한 알아보고 가려고 ㅋㅋ 검색해봤는데 거기서도 놀라고 ㅋㅋㅋ 아 영화보면서도 놀라고 ㅋㅋ 내가 새가슴인가 ㅋㅋ
10,역시 주온이라는 말밖에는 안나온다!!
10,후덜덜ㄷㄷㄷ아 너무 무서워서 죽는 줄ㅠ저처럼 무서운거 못보는 사람들한테는 여전히 킹왕짱 무섭다능
