score,reple
10,"돈 되는 영화가 아니라, 볼 만한 영화가 잘 되야 한다."
10,"코로나로 일도 끊기고, 결혼도 안한 30대 중반의 여자가 이 영화로 위로받고 갑니다. 진솔하지만 빵빵터져요"
10,너무나 사랑스러운 영화ㅠㅠ 강말금님의 맑고 상쾌한 연기 꼭 보고 오셔유!!!
9,"꿈과 일에 청춘을 바친 이들에게 공감이 될 영화, 예고편을 보고 희망을 주지 않을까, 극장을 찾았다. 피식피식 웃다 찬실이가 울 때 따라울었다. 청춘을 바친 쓸쓸한 이들만이 알 수 있는 슬픔... 2020년 3월 5일, 찬실이에게 장국영이 나타났다면 내게는 찬실이가 나타났다. 그리고 함께 울고, 함께 위로해줬다. 지금, 꿈으로 힘든 이들이 있다면 꼭 이 영화를 관람하시길 추천한다. 내 생에 있어 이 영화는 절대 잊지 못할 것 같다. 감독님, 배우님, 스태프님 모두 수고하셨습니다. 코로나에 힘드실텐데 제 감상평이 위로가 되었으면 좋겠습니다. 고맙습니다."
10,"그렇지!!! 영화는 이런거지. 돈 많이 들어간다고, 유명배우 많이 나온다구, 미장센에 돈 많이 쓴다고, CG장면 많다고 좋은 영화가 아니다. 잔잔하지만 많은 사람이 공감할 수 있고 본인도 모르는 사이 주인공을 마음으로 응원하고. 이유는 모르겠지만 나의 눈시울은 뜨거워지고, 영화를 보고 나와 나 자신의 요즘 자세를 반성하며 다시 열심히 살아야지 하는 다짐을 스스로 하게 만든 영화 &#39;찬실이는 복도 많지&#39;. 김초희 감독님 감사합니다. 이 어려운 코로나 시기에 이런영화를 만나게 해주셔서. 찬실이도 저도 2020년에 복 많이 받았으면 합니다."
8,난 내가 하고싶은것만 해 대신 애써서해그래서 오늘은 코로나를 무릅쓰고 찬실이를 보고 왔습니다ㅎ
10,신선함과 유치하지않은 위트 메세지까지 모두잡는영화
10,복 많은 찬실이! 보고나면 나도 덩달아 복이 많아지는 느낌이다! 많은 사람들이 봤으면~~
10,오스 야스지로랑 크리스토퍼 놀란이랑 장국영이 나오는데 어떻게 안 봐요
10,"마음에 위로를 주고, 즐거움도 남겨주는 영화! 우리 존재 화이팅!"
