score,reple
9,"바다와 산, 단란한 가정의 목가적인 스케치. 익숙한 계절에 익숙하지 않은 변화를 받아들이는 가족 구성원들의 낯익은 태피스트리."
10,영화가 끝나질 않기를...
10,마음을 움직이는 시간이 많았다.
10,오즈 야스지로 영화 중 가장 풍성한 삶을 담아낸 최고의 걸작
9,"기억에 남는 대사와 장면이 너무 많다. 하라 세츠코의 연기만 기대했는데, 모든 배역 모든 연기가 그 삶에 오래 머무른 모습이었다. 그걸 하나의 이야기 안에 담아낸 오즈 야스지로는 더 말할 나위 없고."
8,하라 세츠코 보러 갔네요. 동경 이야기에서 착한 며느리였던 노리코가 여기서는 딸로 나오고 나머지 구성원들이 그때랑 죄다 똑같아서 재밌었어요.
8,자신의 인생을 선택할 수 있게된 변화
8,가족애와 나름 흥미진진하고 코믹한 분위기 좋았다.
7,꼬맹이들이 정말 귀엽고 노리코가 예뻐요
8,전후를 살아가는 가족의 탄생
10,정말 기가 막힌다... 1951년에 이런 영화라니
7,"전후의 암담한 일본에서, 그런대로 서민의 일상적인 삶을 이야기하고"
9,이 영화가 63년전 영화라는게 믿기지 않는다 . 촌스런 구석을 찾을수가 없다 .
5,가족을 다루는 오즈 야스지로의 평범하고 진득한 연출은 아무리 좋아하려 해도 나와는 사맞디 않아...
1,"반복적으로 써먹고, 또 써먹고"
8,모처럼 모인 삼대였거늘.
7,건방져지는 꼬마들 뻔뻔해지는 노처녀들 작아지는 가장들
