score,reple
9,넌 리허설 때부터 잔소리가 뭐 그렇게 많아!!
10,인터넷 평점 보고 찾아간 허름한 맛집 같은 영화였습니다. 처음엔 잘못 왔나 꽝이었나 싶지만 가게에서 나올 때는 어느샌가 그 맛에 반해 자신도 남에게 추천하고있는 맛집과도 같은 영화입니다. 절대로 화려하진 않지만 재밌는 영화였습니다.
10,한국 코메디 영화들 반성하자.
10,오프닝만 참으면 웃음 폭탄이 (퐁)
10,외쳐! 퐁! \( -0- )/
10,이영화는 미쳤다고 봐야지.
10,일본의 기발함. 천재성. 이게 왜 다른 아사아영화가 아니고 일본영화였어나하는지를 보여주는 작품. 초반 실제의 37분 원테이크의 노고에 박수를
10,영화속의 영화 감독의 뛰어나고 기발한 연출  재미있게봤어요.  공포아니고 코믹  실컷 웃었어요.
10,후..이번년도 통틀어 굉장한 대작을 만났습니다.센스 터짐 폭팔 영화입니다
9,열정과 디테일은 대자본이 두렵지않다
10,강추에요확실한 반전도 있고   다시보구 웃고 싶네요이번여름 무척 더웠는데 스트레스 날려주네요~후회 안함ㅡ처음 만 참으면~
10,관람을 멈추면 안돼!!!!
10,정신혼미.. 쓰레기영화...... ...30분 후  대반전...... ...깊게 보면 감동.눈물..가볍게 보면 코믹...정말 본전 뽑고 남았다
10,B급 좀비 영환줄 알았는데 최강 코메디였다!
10,"감독이 천재가 아닌가 싶을 정도로 신박하고 한 장면 한 장면 집중하게 만드는 짜임새.오랜만에 친구들과 영화보고 퐁! 끊임없이 터졌네요. 가족들과 봐도 좋을 영화!내 스타일 아닐 것 같은데 하고 넘겼다가 큰 코 다칠 명작,  추천합니다."
9,초반부에 옆자리 사람이 계속 엄청 크게 혼자 웃어서 이상한 사람인줄 알았는데.... 끝나고 생각해보니 n회차 도는 관객이셨음을....
10,저예산 영화일지라도  독특하고 신선한 독창적인 아이디어가 돋보이는 아주 재미있는 영화였어요. 호러물을 가장한 코미디 많이 웃었네요. 강력추천해요.
10,우선 보고 얘기합시다ㅋㅋ 이게 뭐지 하고 보다가 감독ㅅㄲ 천재네 하고 나온다ㅋㅋ
10,진짜 재밌어서 시간가는줄 나중에는 전혀 모르겠더라구옄ㅋㅋㅋ 간만에 재밌는 코미디 영화 찾아서 좋았습니다 감사합니다
10,퐁! \(`Д´)/   퐁!\(`Д´)/
10,"처음만 견디면 된다는 말을 들었는데, 그런거 없어요.이 영화를 보면서 견뎌야될건 없습니다. 그냥 빠져들어요."
10,매일 매일 똑같은 방식으로 전개의 영화에 돌을 던진 영화.
10,시간가는줄 몰랐네요 ㅎㅎ
10,기획력 완성도 감탄을 자아낸다
9,퐁!퐁! 머릿속에서 계속 울려퍼진다
10,오랜만에 보는 코믹영화반전에 반전 웃음보따리 실컨웃어보세요강추
10,계속 카메라를 따라가게 만드는 쫄깃함과 재미짐~~
9,"초반부분 좀비 나타났을때, 다른 배우들은 소리지르고 난리인데, 왜 빠박이 아저씨만 계속 고개숙이고 앉아있지했는데... 30분이 지나서 이유를 알았다ㅋㅋ"
10,"진짜 평점 잘 안남기는데, 눈물 나올 정도로 웃었다 ㅋㅋㅋ"
10,누군가에게 추천해줄 영화가 생겼다. 그 사람이 거의 99% 확률로 이 영화를 모를 거라는 대애서 쾌감이 느껴진다.
10,올해 본 영화중 단언컨데 최고였다!! 올해 한국 영화들은 반성 좀 ㅠㅠ
10,B급을 가장한 S급 영화. 병맛도 이 정도면 예술.
10,제발 이번만은 네이버 평점을 믿어주세요 제가 정말 댓글이나 평가 이런거 잘 안남기는데 글을 잘 못써서...저의 간절함을 알아주시고 이 영화의 가치를 알아주세요 보셔도 후회 없습니다
10,영화 보고 나와서 퐁 해봤는데 진짜 돼요 ㅋㅋㅋ 다들 해보셨나요?
7,좀비가 아닌 영화를 만드는 사람들에 관한 유쾌하고  따뜻한 시선.
6,끝까지 정독 다봤는데 피식할만한 구석은 있었지만 그냥 그게 전부인데 댓글보면 무슨 명작영화라도 보는듯...그냥 평점 7점정도의 영화입니다 객관적으로
10,간만에 완전 대박영화를 만났네요^^
9,허구헌날 민주화팔이 검사팔이 조폭팔이나 하며 쉽게 돈버는 충무로 놈년들이 보고 반성해야될  올해 최고의 무비!
7,포기하지 않는 땜질이 삶의 묘미일지도
10,보고 누구한테 영화 내용 말하고 싶운데 말안하고 그냥 추천하고 싶은 영화! 영화 내용은 안보고 봐야됩니다~그냥 봐야합니다~!ㅋ
10,이런 영화 정말 기발하고 재밌음. 뻔한듯 뻔하지 않아서 더 좋앗다. 퐁!
10,앞부분보다가 뛰쳐나가고 싶었는데 후반부에서 정말 빵터져서 엄청 재미나게 봤어요.
1,"어디서 놀라야 할지 모르겠고, 어디서 웃어야 할지 모르겠다.. 완전 유치뽕."
9,영화인들의 무거운 어깨를 위로해 줄 영화
10,세번 봤어요. 정말 재미있어요 ~~
10,울지말고 빨리 싸.
9,초반30분이 아무리 이상해도 끝까지 봐야한다
6,취향에 맞는다면 좋겠지만 그렇지 않다면 장난스러워 보이는 만듬새에 썩은 미소를 짓게 될 영화. 하지만 복선 회수는 기가 막힘.
8,"처음에는 뭐지 싶었는데, 그거마저 마지막에는 큰 의미로 다가왔다. 뭐 하나 쉬운 게 없구나"
9,B급 좀비영화에서 A급 코미디영화로 바뀌는 마법. 정말 참신하다.
1,? 이게 진짜 재밌어서 9점임? ㅋ진짜.. 개노잼이고 그냥 원테이크로 찍었다는건 인정ㅋㅋㅋㅋ..근데 10노잼
10,근래 본 영화중 가장 기분좋게 극장을 나갈수 있었던 영화
10,신선한 아이디어에 웃음이 있는 유쾌한 영화다
10,일년에 50편의 영화를 보지만이런 보석같은 영화를 선택 하기란쉽지 않다
10,전쟁터같이 살아가는 스탶들과 낄낄대며 시청후 술자리나 생각하는 관객들. 이 영화를 보고 스태프들의 노고에대해 생각해보게 되었다. 영화인들에게 바치는 최고의 헌사!
