score,reple
10,"아는 맛이라 더 그리운. 영화를 보는 내내 아, 이 영화는 진짜 여행자가 만들었구나. 태국과 인도 고인 물인 것 같다, 생각했고 적어도 3개월 이상 여행해본 여행자라면 누구나 일상으로 느껴질 법한 부분을 참 잘 담아낸 것이 신기했다. 암파와나 쏭크란을 볼 수 있는 것도 좋았지만 전통 모자 쓰고 다니며 또로록 또로록 긁어서 소리 내는 악기 들고 다니는 아주머니, 매일 타고 다니던 짜오프라야 수상 버스, 여행자들이 입고 다니는 옷 등 실제로 카오산에서 만날 수 있는 사람들과 풍경을 보는 게 너무 좋았다. 땡모반 들고 다니던 여주인공을 보며 피식, 웃음까지 나오더라니. 진짜 다 넣었네 싶어서. 영화를 보는 내내 얼마 전까지만 해도 일상이었지만, 지금은 너무 아득해 꿈처럼 느껴지는 그 분위기가 너무 그리웠다. 진짜 그렇게 사는 게 행복하니? 돌아갈 수 있을 때 돌아가. 여행자라면 누구나 한 번쯤 해보았을법한 고민을 날카롭게 건드린다. 여행이 길어지며 한 곳에 자리 잡기 점점 어려워지고 돌아간 곳에서의 삶을 감당할 수 없을 만큼 자유를 맛본 사람들이 할 수 있는 말이겠지. 돌아갈 수 있을 때 돌아가라는 말. 꼰대스러운 그 말을 듣는 게 참 싫었는데 지금 생각해보면 그들 자신에게 하는 말이었을 수도 있겠다. 영화를 보는 내내 이 영화를 만든 사람의 목소리가 곳곳에서 느껴졌다. 여행을 통해 인생이 바뀐 사람, 소중한 사람을 잃어본 사람의 목소리가. 영화를 보는 내내 마음이 좋았다. 익숙한 거리의 간판과 사람들을 보며 그곳의 공기가, 온도가 고스란히 전해졌다. 여행이 그리운 사람이라면, 인도와 태국 여행자라면(대개 이 두 곳을 오가는 퐁당퐁당 고인 물이 많으니 ㅎㅎ) 추천하고 싶은 영화."
5,"영화가 무얼 말하려고 하는지 모르겠음. 남주 여주가 왜 그런 감정을 느꼈는지, 왜 서로에게 마음이 끌렸는지에 대한 설명도 없음. 현실적인 방콕 장면에서 비현실적인 이야기를 다루니까 이질감이 매우 느껴짐. 벗, 남주 진짜 잘생겼다라는 생각들었음"
6,영상미는 뛰어나나 다른면은 다 부족함방콕을 가고 싶게 만들지만줄거리가 뜬금 없음
8,여행지에서 이런 감정을 느낄수도 있다고 생각하고 보면 딱 좋을 영화. 잔잔하게 흘러가는 내용에 몰입하게 되더라구요. 태국 방콕의 다양하고 생생한 풍경도 볼만합니다.
10,저는 너무 잘봤습니다.. 잔잔하게 감동주고 여행자들의 군상을 볼 수 있었습니다.. 사람마다 느끼는게 달라서 평이 좀 아쉽네요! 영상 음악도 저는 좋았습니다.
2,이걸 무슨 의도로 만든거냐
1,시간 아까운 영화조연으로 나온 사람 배정남인줄
10,"영화 시작 30분 경과, 나의 몸은 이제 주체할 수 없는 지경에 이르렀다. 내 영혼은 이미 방콕으로 떠났고 이제는 몸마저 영화관 의자 밑으로 떨어지려고 한다. 눈을 잠시 감았다 떴더니 여주인공은 머리를 풀고 택시를 타고 떠난다. 아, 잠시 졸았구나. 다시 영화에 집중하려 했다. 하지만 나는 마음만 방콕에 떠난 것이 아니었다. 실제로 나는 1시간 10분이라는 시간동안 방콕에 다녀갔다 온 것이었다. 그렇다. 감독 김범삼은 나의 손을 잡고 함께 방콕으로 떠났다. 18 years. 내 외길 인생에 이런 몽롱하고 오묘한 경험은 색달랐다.카오산 탱고. 이 날을 평생 잊지 못할 것이다. 아, 얼마나 의미있던가.&#34;카오산 탱고 했다.&#34; -옆자리 이모씨"
10,한국 영화관람객들이 이런 독립영화를 많이 찾아줘야 한국영화도 더 다양성이 생기고 젊은 감독들이 도전할 수 있는 무대가 만들어질 수 있다고 생각합니다. 영화 보는 내내 너무 아름답고 노래가 좋아서 푹 빠져서 봤습니다 마치 미드나잇 인 파리 태국 버전느낌!! 좋은 영화 잘 봤습니다.!~~
10,퓨어한 영화를 찾으신다면 극장으로 가십시오
