score,reple
10,내 '벨에포크'는 언제인지 생각하게 되는 영화! 영상미도 너무 이쁘고 무엇보다 핸드메이드 시간여행이라는 컨셉이 너무너무 신박했음!
10,익숙함에 속아 소중함을 잃지말자란 말이 떠오르네요
9,"""세상이 큰 재떨이 같았어."" 마리안에게는 어둠의 1974년이 빅토르에겐 찬란한 빛이었음을."
10,감동이다.. 눈물났다 할아버지 눈빛과 연기에. 늙어도 사랑은 필요하고 추억을 공유한 옆에 있는 사람에게 잘해주자
10,매력적인 시간여행 로맨스! 아 이 맛에 로맨스 영화 보는거지 싶었다. 소중한 사람이랑 같이 보면 더 좋을 듯
10,뜻밖의 감동과 여운이 길게 남는 영화. 마지막 엔딩 꼭 놓치지 마세요. 눈물이 왈칵 나서 혼났어요.. 강력 추천합니다!!
6,아쉽다 높은 완성도를 가질수 있었을거 같은데..2프로 부족한 영화
10,"추억으로 남은 과거는 사랑스럽고 달콤하다. 초심을 떠올릴 수 있다. 그러나 거기에 함몰되면 안 된다는 듯, 마지막에는 모두의 담배가 꺼진다. 아쉬운듯 과거의 환영을 보며 잠시 담뱃불을 붙여보지만, 이내 금방 꺼버린다. 아름다운 순간에 항상 머물 수는 없기에..."
7,초반 적응하는데  인내심이 필요한 프랑스감각영화.15세가 관람할 영화는 아닌것같은데..
10,너무 독특하고 사랑스러운 영화 ㅠㅠㅠ 오랜만에 로맨스 영화 본건데 대만족.. 한국에서도 꼭 리메이크됐음 좋겠어요
10,"평점 낮게 준 사람들이 보통 영화 내의 연애관이라든지 성 등등 으로 몰입이 안된다는거 같은데, 그 점을 배제하고도 충분히 볼만한 영화입니다. 영상미나 음악도 좋았구요. 70년대 코스튬, 히피스러운 분위기 모두 흥미롭게 봤습니다. 안좋은 평점때문에 고민하시는분들은 안그러셔도 될듯."
6,"아무생각 없이 보기엔 나쁘지 않은거 같습니다. 정말로 아무 생각없이요. 생각을 하는 순간부턴 불편한 순간들이 많은 영화인거 같습니다.  우선 이 영화가 왜 15세인지 모르겠습니다. 성인은 저로썬 상관없었지만 요즘 시국에 할아버지의 잔잔한 시간여행을 생각하며 보러온 청소년들이나 혹여나 자녀를 동반한 부모들에겐 정서적으로 치명타가 될 영화가 될거 같습니다. 심의기준이 어떤지 모르겠네요. 소중한 순간을 되새겨준다는 아름다운 소재를 왜이렇게 사용하는지 모르겠습니다. 저마다 돌아가고 싶는시절이 있고, 머리에 그려지는 소중한 추억이 있을겁니다. 주인공에게 소중한 추억의 한순간순간들인데 어설픈 또다른 연애 이야기가 겹쳐 지면서 &#39;왜 남의 추억을 저리 휘젖는거지?&#39; 싶었습니다. 지나간 순간도 소중하나 현재도 뭐 소중하다 이런내용인거같은데 소재에 비해 내용이 별로인거같은 영화였습니다."
10,매우 프랑스적인 영화라는 생각이 들었습니다.아름답고 진지하면서 유머러스한..삶이란 복잡하면 복잡한대로..애써 단순해질 필요는 없는 거죠.멋진 영화 잘봤습니다.
10,제 마음이 다 설레였어요 너무너무 좋았습니다!
7,전형적인 넷플릭스 드라마 본 느낌. 소재는 참신했으나 결말로 갈수록 이해도와 몰입도가 떨어지는 영화임. 불필요한 성적 표현 씬이 너무 많음.
