score,reple
1,이걸 끝까지 다본 사람들은 나중에 대성할겁니다.전 실패했거든요.
2,햄식이 액션물이 너무 좋아서 동생인 리암 헴스워스 영화라도 볼까했는데... 개노잼이었다.
6,다운받아 보기에도 시간이 아까운  영화
1,인생 최악의 영화.. 평점9점인 것만 보고 영화관 가서 봤는데 확인해보니 2명참여였네요 돈받고도 못 볼 수준의 영화였고 돈 아까워서 눈꺼풀 감기는거 이 악물고 버티면서 끝까지 봤는데 그냥 자는게 훨씬 이득이였네요^^
10,허접한 한국영화보다 100배는 재밌음
2,짜증나네 진짜 평점 9점이라 그낭 아무 생각없이 봤는데 3명이  평점해놨네 아 존나 짜증난다 진짜 살아있다 보다 더 짜증났네 아 암울하다
4,"루즈하고, 평이한 전개, 긴장감은 제로, 액션도 없고...진정한 킬링타임!(=내시간을 죽여버렸음) 극장에 10여명 있었는데, 중간에 정말로 3명 나감...오케이마담은 중간에 웃기기라도 하지....반도는 볼거리라도 있지강철비는 피했는데, 이걸 못 피하네"
10,생각보단 훨씬 잼있음
10,이 영화를 본 여러분께 10점을 드립니다. 전 안봤거든요.
10,역시 햄식이형 동생  연기 잘하고 개멋있었음
8,의외로 존잼임. 오케이마담 강철비같은 허접국산영화 보지 말고 이거봐라~~ 돈 안 아깝다
