score,reple
10,동성애 혐오자들아.. 2D 남자는 에이즈 안 걸려요....  불쌍하니까 프리즘의 여신님께서 뚝배기 깨드릴 겁니다.. 다시 태어나면 꼭! 은시우의 엉덩이 꿀이 되는 축복을 받으시길.... 파이팅!
2,이 뭔 오타쿠들이지...?
10,
10,올해 최고의 애니입니다
2,
1,그냥 존나 별로임 재미없어..
10,
10,최고의 애니시리즈. 비록 내 남자에 떵꺼충은 아니지만 프리티시리즈를 만나고 킹오브 프리즘을 만나고 내인생이 달라졌다
10,최고의 작품 가슴이 뜨거워짐
10,말이 필요한가 세기의 명작이다
1,욱십욱우웩에에엑
10,너무 좋아요! 앞으로도 많이 내주세요
10,거의 모든 무대를 한번에 볼수있어서 너무 좋았어요!!
10,이것이프리즘의반짝임이다 중생들아.
10,보너스로 끝에 귀여운 폭군 악마가 나옵니다
10,"너, 프리즘 쇼는 좋아하니?"
10,프리즘의 여신이 우리를 구원해주실거야
10,내 인생 최고의 영화.. 유일하게 시리즈별로 다 봤다
2,영화관에 수증기 현상 발생
10,I LOVE saionji leo
10,
2,아아아ㅏ아아아아으ㅡ앙
1,이딴걸 돈주고 보는사람도 있냐
10,희대의 명작 클레멘타인급
10,올해의 갓애니
6,"I Have No Mouth, and I Must Scream."
10,5년이 지나도 영화관에서 내려가질 않는 희대의 porno gay star들의 박고 박히는 눈물겨운 똥ㄲ쇼!더러운 잠재적 에이즈 환자들을 위해서라도  별점 5점을 드립니다!
