score,reple
10,뒤돌아 보라고 했을 때 나도 모르게 속이 미어왔다
10,2020년 최고의 영화
10,이 영화에 소피가 있어서 정말 좋았어요. 그 이후에 소피는 어떻게 살았을지 궁금했어요.
10,예술과 사랑을 동등한시선으로 표현한 영화가 또 있을까 모든장면이 소중하고 완벽하다
10,내가 로맨스를 싫어하는게 아니었구나.
10,당신을 그리러 왔어요.
10,"여운이 긴 명작. 아직도 비발디의 사계-여름 3악장이 귓가에 맴돌고 전율이 가시지가 않는다칸 각본상을 수상한 셀린시아마 감독은 연출력도 어마무시하다 카메라의 구도나 기법이 단 하나도 거슬리지않고 어느 장면에서 정지를 눌러도 명화처럼 예술작품이 될 수 있다고 느낀다불과 물, 자연경관도 이 영화의 예술성에 톡톡히 기여한다아델에넬과 노에미메를랑의 시선으로 촘촘히 짜여있어서 몇번을 봐도 새로운 구석이 보인다 첫번째에는 대사에 집중, 두번째에는 표정, 세번째에는 눈(시선) 네번째엔 디테일....프랑스영화여서 거의 모든 영화제에서 하필이면 기생충과 외국어영화상을 두고 맞붙고 있는데 어느쪽을 응원해야할지 모르겠다마지막으로, 이 영화는 모든 여성들이 기다려온 여성서사 작품이다. 아름다워서 미쳐버릴수도 있는 영화라고 확신한다"
8,"파괴적인 결말이 아니라서 좋았다. 살아있으면, 기억할 수 있으면 된 거다. 그럴 수 있다면 슬프지만은 않다."
10,"이렇게 포르노스럽지 않고 독립적인 시선으로 여성을, 레즈비언을 그려낸 영화는 처음인 것 같다. 상영관이 더 늘어서 많은 사람들이 봤으면 좋겠다."
9,"소위 퀴어무비로서도 완성도가 좋지만, 사적 영역(여성간의 금지된 사랑)으로써 당대의 거시적이고 역사적인 맥락(평등을 추구한 18세기 프랑스 혁명)과, 익히 알려진 그리스 신화로 표상되는 사랑의 불멸성 및 초시간성까지 담아냈다는 데 이 영화의 훌륭함이 있는 것 같습니다. 연출과 영상미, 배우들의 연기력 등 거의 모든 요소가 뛰어나지만, 가장 압도적인 면은 감독이 이 주제 의식을 많은 관객들을 전율시킨 보편성을 획득하도록 어떻게 엮어냈는지라 생각합니다. 퀴어무비나 여성영화라는 범주에서만 평가된다면 유감스러울, 천의무봉에 가까운 영화."
10,이 영화가 시네마라고 불리는 이유가 있다. 극장에서 꼭 관람하시길
7,아무리 태우고 지워봐도 다시 그려지는 게 사랑인걸
10,영화와 나눈 모든 순간을 기억하게 되는 영화
10,비발디 사계-여름을 듣고 울게 될 줄이야.정해진 운명을 알고있음에도 후회 없이 사랑하려고 한 여인들의 사랑이 애틋하다.
