score,reple
10,가볍게 보기 좋은 영화였어요 액션도 굿굿
10,태백권 재미있었어요파이팅!!
10,태백이랑 백두가 시장에서 싸우는 장면 액션이 멋잇던 .. 중간중간 웃을수있고 생각없이 가볍게 보기 좋았어요
9,오지호의 매력이 돋보였던 영화... 그의 말대로 가족들이 보면 좋을듯.. 착하고 웃기고.. 귀엽다
2,이거 평점 다 거짓말임 알바 얼마나 쓴거야
10,저예산 액션 영화중 최고입니다..더이상의 영화는 없을듯..
10,극장을 못가서 그러지.... 너무 내 스퇄이라ㅋㅋ 티비 뜨면 백퍼 소장용으로 본다.
9,코미디 영화 가뭄인데 볼 거 없을 거 하다가 관람 의외로 신소율 배우가 돋보인다 ㅎㅎ 무협 설정이 재밌었음
10,오지호의 카멜레온같은 연기를 볼수있는 최고의영화!! 시간가는줄 모르고 재밌게 봤습니다
10,태극권이 아니고 태백권이다
4,뭐랄까... 2020년에 개봉하였지만 2002년에도 진부했던 클리쉐들로 이어간 답답한 영화 연기가 좋은 배우가 단 한명도 등장하지 못하는 답답함 영화시작 촬영감독 포트폴리오용 장면이 가장 안정되어있는듯
10,정말 재밋게 봤어요최근 개봉작중 최고입니다
10,휴머니즘이 살아있는 코믹 무협액션~ 잼있어요~!
1,박평식이 이 영화를 봤다는게 신기하네
7,좀 아쉽다..
4,생계형 액션물
7,액션이 엄청 멋있었음
10,지호형 프리즈너 관객수 2천에 아쉽게 모자랐는데  이작품은 2천넘길 바랍니다.
10,무더운 날씨 가족들과 함께 웃으며힐링할수 있는 영화로 적극 추천^^
10,
10,주성치영화를 보는 느낌약간 빈듯한 캐릭터에는 오지호가 찰떡 궁합인듯
10,액션이신선햇아요 사채업자분 현직 건달같애요 ㅋㅋㅋㅋ
8,생각보다 재밋음 보세여
10,
10,"특히, 북에서 오신분 장만웅(장동) 액션 연기 좋았어유~!"
10,쬐끔 우울할 때 봐서 그런가 내 웃음버튼 마구 눌러댔음 ㅋㅋㅋ 오지호가 무술? 이랬는데 괜찮더만~
10,
10,적당한 코믹과 적당한 액션신등 잘 나타내고 굉장히 돈주고 볼만한 영화였습니다 추천드립니다..
6,무슨 북두의권도 아니고ㅋㅋ 90년대 연출에 나름 볼만
10,액션에 코믹까지!! 가족들이랑 재밌게 보고 왔어요ㅋㅋ
8,ㅋㅋㅋ액션 기깔나네 ㅋㅎㅋㅎ
10,너무 재밋게봣어요 오지호 짱짱!!!!
10,별로 기대 안하고 봤는데 재밌어서 놀랐어요. 요즘같은 영화 비수기에 보면 좋을 영화!
1,노잼이에요...하..
10,힘든시기에 편하게 보기 좋은 영화
10,코믹영화 보고싶으면 이거보세요ㅋㅋㅋㅋ가족들이랑 보러갔다가 한참을 웃었네요
10,음악이 완전 힐링됩니다. 강추
10,스토리가 딱내스타일 재밋고 신선했어요ㅎㅎ액션도재밋어요
10,좋은 영화 오랜만에 봅니다
10,저예산인데 불구하고 이정도 퀄에 놀랐네요. 한국영화 발전을 기도하며 10점 드려요. 잘 봤습니다^^
9,90년대 감성에 딱인듯요ㅋㅋㅋ
10,액션이 너무 재밌고 오지호씨 코믹 연기 너무 웃겼어요ㅋㅋㅋ 강추해요!
10,오지호의 코미디 나쁘지 않네요주인공간의 케미도 잘맞는듯편하게 즐기면서 보기 좋은 영화...
10,오지호 신소율 찰떡케미 유머와 따뜻한 휴머니즘까지 재밌게 봤어요~~
10,코믹에 액션까지 정말 모든게 다 되는 오지호!!
10,"유쾌한 액션영화, 태백권 강추합니다!!배우들의 감칠맛 나는 연기가 인상깊어요."
10,
2,후.. 오지호.. 어쩌다가...
10,짱 웃겨요. 한국형 코믹액션무협 활극...
8,생각없이 봤는데 너무 재밌었어요.강추합니당~~~
9,홍콩 무술 액션의 향수를 불러 일으키는 영화..한국 스타일로 만나니 반갑네요 배우들의 케미들이 돋보였어요~
10,기존 액션들과 다르게 태백권만의 액션 타격감이 좋았다!
9,오지호×신소율 케미 의외로 좋네요 굿!
