score,reple
10,이영화 보고 나올때 드는 생각“아.. 한번 더봐야겠다”
9,~!~!~!추강추강 !!요어밌재 말정 도래그 ...만지겠르모 는지뭔 이용내 !!독감 란놀 한단대 말정
10,무엇을 스포해야할지도 모르겠고 스포를 보더라도 무슨말인지 이해못함
10,스포걱정은 안하셔도 됩니다. 본 사람도 뭘 스포해야할지 모르거든.
10,이해하지말고 느껴라
10,이감독은 어떻게 이런 생각들을 하는거지....
10,인버전 적용된 액션씬들은 아직도 기억남 진짜 또보고싶음
10,"놀란감독 영화의 팬이면 정말 최고의 영화. 난이도는 인셉션, 인터스텔라보다 훨씬 어려워서 놀란감독 영화의 초심자는 이해하기 어려울수도"
10,첫관람이시라면 내용파악은 최소한으로 접어두시고 최대한 많은 장면들과 대사들을 머릿속에 저장해 두세요
10,개봉일을 작년으로 연기시켜야 합니다.
10,개인적으론 인셉션만큼 재밌다.내용은 전혀  파악불가인데 정말 끝내주는 액션과 시각효과에 반한 작품. 아카데미에서 시각부문수상이 유력해보인다. 놀란감독은 머릿속으로 상상하기도 힘든걸 영상으로 놀랍게 구현하는 재주를 지닌 천재다.
10,인셉션 인터스텔라에 이은 대작
10,일어난 일은 일어난 것이다!!놀란 감독 영화들의 결정판.
10,영화를 봤습니다. 예고편이 기대가 되네요
8,문과 관람 불가 등급...
9,이해 못 해도 재밌다. 하지만 이해 한다면 훨씬 재밌을 것이다. 좀만 더 쉽게 만들어주지... 그래도 인버전 액션은 꿀잼. 참고로 알바 아니고 22일에 관람함.
10,사전개봉으로 봤는데 무슨 소린지 모르겠는데 재밌긴 함 ㅋㅋㅋㅋ 한번 더 봐야지
10,영화를 거꾸로 보면 이해할 수 있을까
10,일요날보고 화요일날 이해했습니다
10,로버트 패틴슨 진짜 찐멋..
10,마지막 건물 폭파장면 어떻게 찍었냐
10,한 장면 놓치면 하나도 이해 못하고 끝까지 안 놓치고 보면 하나는 이해할 수 있다
9,"국뽕,멜로,신파,조폭등 연속 망작 생성기였던 적폐 쓰레기 같은 한국영화들로 눈 썩었다가 간만에 정화되고 나온 기분이였음ㅋㅋ"
10,"올해 최고의 영화. 액션은 진짜 좋아졌고 ost도 좋았고 특히 오프닝씬과 후반부가 굉장히 박진감 넘치고 재밌었음. 2,3회차 더 보면서 내가 놓친것이 있는지 확인할 예정"
9,"번역 누가했나요? Tell me about it 은 ""내말이"" 정도로 해석되어야 하는데 ""말씀하세요"" 라니..."
10,놀란 감독은 새로운 도전도 무조건 성공한다. 이번에도 성공했다.
10,코로나로 영화 수익이 줄어든다고? 그럼 두 번은 봐야하는 영화를 만들면 되는거야~
10,"이 영화 하나만해도 같은돈주고 한국영화안본다.. 스케일이며, 연출이며, 연기며, 스토리며.. 한국영화는 그냥 집에서 보거나 안보는게 정신건강에 이득인듯"
10,역시나 놀란감독의 영화.. 대단했다. 머리속에서 어떻게 이런 시나리오가 나오는지 그저 놀라울뿐
10,한동안은 테넷을 뛰어넘을 타임루프물이 나오기는 힘들것같다
3,"놀란 감독이 액션 연출의 약함을 꾸준히 지적 당해 왔는데 이번 영화는 그 고정관념을  어느정도 깬?? 영화이다. 확실히 공을 들인게 보인다, 하지만 중구난방 스토리에 왜 갑자기 주인공과 유부녀가 그렇게 애틋한 관계가 된지 이해가 안된다. 영화 시나리오를 작성함에 있어 잘 짜여져 있는 시나리오를 작성함은 물론 좋은 현상이다. 허나 이는 영화를 보는 관객에게 있어 잘 전달되어야 하는게 기본 전제인데 이번 영화는 전달이 잘 되지 않고 있다. 한마디로 영화를 보는 와중 등장인물들의 대사 + 추가적인 배경지식 + 몇회차씩이나 보지 않는 이상 놓치기 쉬운 장치들 + 뒷장면과의 연관성을 전부 잘 모아가면서 관람해야 이해가 잘 되는다. 한마디로 말해 스토리 진행에 있어 매우 불친절하게 진행하는 영화이다. 가끔보면 몇몇 팬분들중 n회차 보면서 이해하라는것도 이해가 안된다.  도대체 몇명이나 되는 관객이 감독의 깊은 속내와 깨달음을 느끼기 위해 2시간30분짜리 영화를  몇회차씩이나  볼 까? 영화는 돈 내고 극장들어가서 처음 보는 그 순간 재미를 느끼고 희열을 느끼게 만들어 줘야 그게 관객에 대한 예의라고 생각한다.  하지만 이번 영화는 마니아들을 위한 영화일수는 있어도 대중들을 위한 영화는 절대 아니라고 생각한다. 놀란감독이 제작한게 아닌 만약 무명신인 감독이 이 영화를 만들었을때 과연 몇몇이나 되는 관람객이 호평을 할 까?? 기존 놀란 감독들의 영화는 설사 무명신인 감독이 만들었다 해도 호평을 받을 영화 였다면 이번 테넷은 놀란이라는 그림자밑에 이 영화를 만들지 않았다면 분명 실패할 영화라 생각되며 이 테넷이라는 영화의 최대약점인 대중성을 놀란감독이라는 이름으로 커버하는 느낌이 강했다."
10,문득 캣이 발로 문잠금장치풀 때 캐스팅에 감탄했었다
10,화장실 갈타이밍 없음 ㅋㅋ조금이라도 놓치면 영영 이해못해....흑흑... 조금씩 싸서 말리세요
8,박진감 넘치는 사운드가 좋았어요
10,우리는 수없이 과거에서 미래로 메시지를 보내고있다. 가장 중요한 건 그 수신자가 이 글을 읽고 있는 현재의 당신 스스로 라는 거다. 감독은 설명하고 이해시키려 하지 않고 익숙하지 않은 극단적인 상황을 리얼하게 &#39;역 &#39; 방향으로 재현해 내며 자각못하고 살아가는 현재 시간을 소중함을 느끼게 한다. 명작이다. 역시 놀란.
10,150분 동안 전체를 반으로 접어서 보여줌
6,연출은 뛰어나지만 영화에서 인버전을 중복해서 설정하는부분은 조금 난잡했다. 결말을 보면 아~그때 그래서 그랬구나라고 이해는 할수있지만 그런게 너무많다 ㅋㅋ 아마 감독이 다른사람이엇다면 자기만의세계에 빠진영화라고 비판받았을듯
10,분명 수준 높은 영화인데 내가 이해를 못하겠어 이거 이해하면서 보는 사람 능력자
8,차량추격전 이전까지는 쉬운데 그이후로는 사고회로를 총동원해야함. 시간의 흐름을 다루는 장르 특유의 곱씹는맛이 있음
10,크리스토퍼 놀란은 역시 시간장인
8,6분할 시점 분석. 1. 미래의 세대들: 지구엔 희망이 없으니 핵폭탄터뜨려서 지구를 처음부터 다시시작하자! 2. 사토르: 나 췌장암걸렸으니까 그냥 다같이 죽자! 3. 테넷: 아직 지구에 희망이 있으니 핵폭탄을 막자! 4. 주인공: 나도 지구에 희망이 있다고 믿으니 테넷을 돕자! 5. 캣: 난 내 아들이 제일 중요하고 핵폭탄터지면 아들 죽으니까 핵폭탄을 같이 막자! 6. 닐: 나도 지구에 희망이 있다고 믿으니 주인공을 돕자!
10,혹시 일부러 영화집중해서 보라고 한칸씩띄어앉게 미래에서...?
10,내가 뭘본거지?ㅋㅋㅋ
10,역시 크리스토퍼 놀란은 감독으로서 인정 받을 수 밖에 없다
10,영화보러 들어갈땐 앞으로 걸어 들어가고 끝나명 뒷걸음으로 나오게하네
9,어렵다. 그런데 빠져든다. 재밌다.
6,논문을 써 차라리
8,역시 놀란 감독이네요.좋은 의미와 나쁜 의미 양쪽에서 모두...타임 슬립물은 많았지만 인버전 된 세계의 체험은 첨이네요. 놀란 덕후들 꼭 보세요. 두 번 보세요. 정서나 캐릭터보다는 인버전이라는 메커니즘 구현과 액션에 치중한 느낌.
9,"인셉션의 각본, 메멘토의 역순편집, 인터스텔라의 과학적바탕, 덩케르크의 스케일, 프레스티지의 마지막 까지 지금까지 놀란의 모든걸 아우르는 영화"
10,상상 가능한 사이즈와 스토리가 아니다; 당신이 무얼 상상했던 그 이상일 것이다
9,재밌긴한데 인셉션은 못 따라감
10,n차 하면 할수록 닐 너무 짠함ㅠㅜ 어쩐지 처음부터 눈빛이 묘하더라..
10,이해하기가 다소어렵지만아~!아까 그장면이 이거였어?!하며 놀라며 몰입하게 보게되는 명장면들이있음.Ost도 상황과어울리게 좋았고연기는 뭐 말할것도없이 훌륭.여주마져 정말 가느다라니?이쁨ㅜ
10,진짜로..올해의 영화는 바로 이 작품이다! 결말까지 다 보고나니 진짜 놀란이 왜 천재 소릴 듣는지 이제야 알겠다!
10,코로나 때문에 무섭지만 KF94마스크+라텍스 장갑끼고 가서 봄ㅋㅋㅋ 근데 ㄹㅇ 극장에서 봐야됨
10,시간순삭이네 ㄷㄷㄷ
10,그 어느 때보다 스포하고 싶지만 무엇을 스포해야 할 지 모르겠다
7,올해 처음으로 극장에서 본 영화였는데 역시 크리스토퍼 놀란 감독이더군요. 모든 내용을 이해하지 말고 그냥 자연스럽게 이해한 것은 이해한데로 모르는 것은 모르는데로 영화를 보다보면 2시간 반이 훌쩍 지나는 것을 느끼실 수 있을 것입니다. 극장에서 보실 것을 추천드립니다.
10,영화관에서 재개봉하는거 아니고서야 2번 본적없는데 이건 볼거임 재밌으니까ㅇㅇ
8,여배우가 멋지다 스토리는 대충은 이해하지만 세세한 이해가 어려움
10,어려워요 진짜 어려워요
9,나만 어려운게 아니어서 그나마 위안이 된다.
10,역시나네요. 보기 전에 한번 이해해볼까하면서 봤는데 안되네요 ㅋㅋ 해석본 나오면 이해한다음 다시 또 봐야겠어요 ㅋㅋ 영화는 정말 재밌었습니다.
10,캣이 너무 매력적이다...
10,일어난일은 이미 일어난일이다
10,보고나면 백퍼 n차 예매하는 나를 발견할듯
8,교차하는 지점이 주는 황홀경
10,“이 영화 참 대담하군” “그 정도가 아니라 그냥 미친거 아닌가”
10,지난 주말 프리미어로 미리 관람했는데 놀란 감독 매 작품마다 항상 대단했지만 이번 작품은 지금까지 연출작 중 최최고 역대급! 아낌없이 다 쏟아내고 다 제대로 폭발한 영화! 아이맥스로 보지 않으면 후회할 영화!
10,시사회로 보고왔습니다. 무엇보다 놀란의 액션연출이 놀랍게 발전했네요. 어려운 영화인건 사실이지만 현재 극장에 걸려있는 영화중에선 단연 최고
7,뭔 내용인지 1도 이해가 안감 이해를 못하니까 영화 재미가 반감됨
7,한번 보고 이해하는 사람이 있을까 싶음. 줄거리 내용도 이해가 잘안가고 과학적 근거? 이론?에 대해서도 이해가 잘 안됨.한 세번 봐야 알것 같음
7,"영화의 참신함은 있지만, 연출이 메멘토나 인셉션 정도는 아님. 거기에 나온 단어에 집중하기 보다 상황을 이해하면 좀 더 이해가 쉬움."
8,나만 이해 어려움???
2,내가 장담한다 남들이 재밌다하고 놀란감독 작품이니까 이해못해도 일단 재밌다고 한거겠지                           이영화는 한마디로 표현하면영화관에서 안보면 도중에 끄게되는 작품임적당히 어려워야지모든사람이 한번에 이해못하는 영화는관객생각을 전혀안한영화임
10,인터스텔라처럼 사전에 관련 이론을 어렴풋이 알고 있다면 보는 내내 황홀감에 젖어있게 되는 영화라고 생각합니다. 정말 ㅠㅠ 너무 재밌습니다
10,감독 이름을 봐라 언제나 실망시킨 적이 없다
10,놀란이 20년간 구성해온 스토리 진짜 대단한 사람인 것 같다.. 진짜 시나리오 대박임
8,놀란 감독은 확실히 어나더레벨이에요
10,분명히 진짜 재밌게 봤는데 제대로 한번 더 보고싶다
10,어렵지만 액션이 좋아서 볼만했습니다 150분인데 루즈함이 느껴질틈이없었어요
10,옛 시각으로 이해하지 말고 새 시각으로 느껴라!
8,호흡이 빨라요 그래도 재미있네요 한번 더 보러갑니다
10,"마지막 클라이맥스를 본 순간, 너무 충격이었다..그 어떤 영화에서도 보지못한 이야기, 액션..인셉션 때부터 느낀거지만 크리스토퍼 놀란은 진짜 천재다!"
10,2번 봤는데 1회차에선 이해 안가는 부분도 있는데 있었는데 엄청 재밌네요.. 2회차가 더 재밌어요. 이해 안 되던 부분도 이해되고 다는 아니지만 ㅎㅎㅎ
2,아니 내용 이해도 못했으면서 10점주는 사람들 도대체 무슨생각임??
10,전개나 스토리 정말 멋있었고 영화초반엔 이해가 안됐지만 중반이후부터 이해가되더라구요 너무재미있었습니다
10,"인셉션 사촌격인 영화!!!현시대에 인버젼, 엔트로피 외 물리학 관해 이렇게 아날로그를 고수하면서 만드는 감독은 이 분만이 유일하다. 확실히 스토리 구성과 시간을 뒤죽박죽으로 보여주지만 하나의 스토리를 메멘토식으로 영상미를 구축하는 감독은 놀란말고는 없음!!"
10,이해하지 말고 느껴라!
10,역대급 영화다 진짜 ~ㅋㅋ 이야기 미쳣네
6,"영와 내내 이영화는 무언가 대단하고 심오하다는 분위기를 몰아가는 그게 전부인영화, 정작 기대에 정말 못미치는 재미없는 영화임. 광고라도 거창하게 하지 않았음좋았을텐데.. 절대 기대하고 보지마세요..ㅠㅠ"
6,관객에 대한 배려가 1도 없는 영화..이해하려면 n차 해야하는데 굳이 그래야되나 싶은 작품ㅠ
8,영화 보는 내내 되감기해보고싶었음
8,재밌는데 시간 흐름 생각하느라 너무 고민하면 영화에 몰입하기 힘듬
10,진짜 미치게 재밋음 아맥에서 또 볼거임  제발 봐주라 로버트 패틴슨 존멋
1,놀란영화 다재밌게봄근데 이번영화는 도가지나쳤음 대부분의 관객들은 한두번봐서는 절대이해하기힘들거임영화의 완성도를 지적하는게 아니라 여러번보고 검색하면서 봐야 이해가 가능한 영화라는거임흔히 명작이라는 영화들은 이해하기 힘든게아니라 다시보면 새로운 이해 또는 새로운장면이 눈에 띄는 법인데 이영화는 그냥 어려움 한번봐서는 10명보면 1명이해할까말까임
10,인셉션: slow down time인터스텔라: speed up time테넷: reverse time이정도로 시간을 잘 다루는 영화 감독이 놀란 말고 또 있을까?
10,"어렵지만 재밌는, 깔끔한 연출과 속도감있는 전개."
10,또 봐야겠네요 ㅋㅋ뭔가 한번 더 봐야될것 같은 느낌적인 느낌
10,여러분 저만 어렵고 이해 안된거 아니죠?놀란이 만든 논란의 영화네요~
