score,reple
7,줄거리를 잘 이끌고 가다가 이상한 반전으로 느껴지는건 개연성이 부족해서 일거다. 괜찮은 전개와 인물구성인데 아쉽다.
6,"양춘배, 양춘배! 테우리가 되고싶었던 남자"
2,진짜 이런걸 왜 만들까 ㅡㅡ 이해가 안가네
2,재미없다.
4,작은 접시에 너무나 많은 것을 담으려했네요. 웃음도 감동도 반전도 그다지 ...
6,"기대않고 봤는데, 배우들의 연기가 자연스럽습니다. 짱구의 연기가 제일 어색합니다."
3,"그냥 보기가 힘들었다,,"
10,"마지막에 주인공이 죽음을 선택했다면, 보다 원만하게 상황이 정리되었을 것이다. 그냥 살아남기로 결정했기에, 남은 날들은 이제 전보다 더 죽음과 같을  것이다. 이 영화의 내용, 특히 그 흐름과 결말에 동의하지 않으면서도 내가 10점을 남기는 이유는 인간으로서, 나 역시 그 상황이라면 결국엔 살아남는 것을 택하지 않을까 하는 마음 때문이다."
5,여전히 지속되는 감추려는 자들과 밝히려는 자들과의 대결
2,잘못됀 진실?이프로 부족이 아닌 이프로가 남았네요
2,교수가만들엇다하니 평점은 학생들이 올렷나?아뭐
1,
10,이 영화가 진정 독립영화가 맞나요. 평점을 10점밖에 주지 못하는게 아까울 정도로 훌륭한 영화였습니다
10,
10,이건모지?  하면서봤네요.   독립영화치고 스토리.연기. 완전짱이듯
10,
10,모든배우들의연기와쉴틈없는스토리들너무너무좋은영화인거같습니다꼭보세요.강추.강추!^^!~
4,그냥 독립영화 같아요... 전 별로네요 평점 좋아서 봤는데 뭔 내용인지 개연성이 떨어집니다 ...
10,뭐지 하면서 봤는데 우와 하면서 나옴
10,재미있게 잘보았습니다..
10,나만당할수 없다 부류인가 ㅋㅋㅋㅋ 제대로 썼다가 지우고 나만당할순없지... 시간을 테우리
10,"꼭 보세요. 독립 영화 치곤 너무 잘 만들었고, 마지막에 슬프네요."
10,그 시대 깜도 아닌 권력이 바꿔놓은 개인들의 인생사. 40대라면 동감 할 내용.
10,최고! 올해 최고의 영화!
10,묵직하네요...힘이 있는 영화 입니다.
10,
10,최고의 영화!!! 너무 좋습니다
1,누적관객 300명이 안 된다는 건 이런 영화를 왜 만드는 가에 대한 답이다
