score,reple
9,"2차 세계대전이라는 시대적 배경과 현대적인 공간적 배경의 부조화. 남자주인공의 심리를 차분히 따라가게 됩니다. 주인공들의 대사, 영화 내용을 자꾸 곱씹어보게 되더라구요. 오랜만에 만나는 매우 독창적인 영화라고 생각합니다."
8,선생님 여기가 지옥이에요.
7,이거 보고싶은데 하는 영화관이 없는데 어케봄?.. 반도 보기시른데ㅡㅡ
8,실낱같은 희망에서 잠식하는 절망으로
8,"문학에서 영화로, 영화에서 삶으로의 트랜짓!"
10,시대가 어디쯤인지 알쏭달쏭했지만 인간의 다양한 감정을 다루는 영화였네요 또한 시대를 초월한 난민문제에대한 문제의식을 제시한 영화였습니다
8,"재밌는데 사람들이 안 볼 듯함.떠나지도  못하고, 떠날려고도 않는 사람들.불안을 안고 지금을 살아가는게 고작인 사람들.무엇을 선택하지 않는 것이 최고의 선택인 사람들."
9,"예고편에 매혹되어 고민없이 관람했는데, 끝부분이 좀 애매하니 이해가 안되긴 하지만... 매력있는 영화였어요."
6,재미있게 잘 봤습니다.
7,현재진행중인 과거의 이야기
7,떠나가는 자에서 떠나보내는 자의 위치로 바뀌는 변화.
8,찾고 찾으러 떠나는 그 속에서 만난 우리의 삶
10,뭔가 그냥 그랬어요
8,색다른 접근 잘 봤습니다.
7,영화 상영 10분 후 입장해서 봤는데 덕분에 더 혼동스러웠음. 좋았습니다.
10,인간의 사랑과 아이덴티티를 녹여낸 시간에 관한 기록
8,작품 자 봄
7,크리스티안 펫졸드 다음 영화 운디네가 궁금함
8,"""불행한 사람에게 타인의 행복은 달갑지 않았다."" 이기적으로 보였지만 현실적으로 느껴진다. 소재가 독특했고 결말도 나름 충격이었다."
10,
8,70여년 전 독일에 점령당하던 프랑스. 그 땅을 탈출하기 위해 노력하던 이들의 모습을 오버랩하여 오늘날 난민문제와 생존과 사랑에 대한 치열한 고민을 담았다. 이런 시공간의 뒤틀림과 배우들의 열연이 독특하고 매력적이다.
8,오묘한 분위기가 좋아요...
9,"추천, 추천, 추천, 사전 정보 보지말것!!"
8,시간을 중첩해도 전혀 이상하지 않는 기시감의 소용돌이
10,폴라 비어의 눈빛.. 떠날 수 없지
8,떠날수없는 마음이 너무나 납득이 되었던 것..
8,시대적배경과경찰차가안어유림
7,2차 대전 이야기를 현대에 대입한 기발함. 이를 제외하면 스토리의 매력은 극찬에 비해 그다지.
8,분위기가 매력적임소설 읽는 것 같고기묘함
10,
10,연기와 연출 그리고 스토리가 좋았다.
9,참신하고도 진지한 연출과 관점. 흥미로운 역사물이자 sf영화. 현재에 대한 고민도 담겨있다.
10,현재와 과거란 시간이 교차한다.
9,
7,떠나고 싶지만 못 가는 이들을 매우 사실적으로 묘사
8,힘들어 하면서 계속 보게 되는 영화. 반전
10,"그녀를 기다리며, 오늘도 정처없이 이곳에 머무르다"
8,"감독님의 아이디어 놀라움,   현대와 과거 역사를 믹스시켜 신선한 재미가 있네요~ 보면서 인물의 심리를 쫓아가며 빠져들어 정신없이 봤습니다, 그리고 혹여나 들키면 어쩌나 주인공 감정이입되어 심장쫄깃~ 하기도 했네요^^ 오랜만에 들어보는 프랑스어? 새로운 언어도 신선해서 갠적으로 좋았습니다"
9,예술의 세계가 경유하는 기이하고도 놀라운 순간들.
8,선의 또는 호의로 시작한 일들이 의도치 않은 방향으로 흐르게 된다! 떠나지 못하는 여자와 그 여자를 떠나지 못하는 남자 이야기
6,영화 평하기가 좀 어렵네요..뭐라할까! 맛있는 이천쌀밥을 물말아 먹은 느낌 ..명작도 망작도 아닌 그런 영화...단순 난해해요
6,조금 졸립기도
6,떠난사람이 결국 마음은 떠나지 못하는 비극.
6,현대 배경에 갑자기 독일이 프랑스를 쳐들어 온다는데..황당한 설정에 영화자체가 그리 흥미롭지는 않네요..
7,떠나지 못 하는 미련 ... 집착
7,시계토끼같은 마리. 니맘대로 시대적 배경. 난해한 캐릭터의 게오르그. 절대자의 음성으로 말하는 나레이션. 마지막의 소소한 반전. 오바마리스트에 들만한 독특하고 참신한 영화
