score,reple
9,처음부터 끝까지 레골라스 떔에 빡치는 영화
10,진짜 명작이네요. 이 영화를 왜 이제서야 봤는지.. 극장에서 봤으면 더 재밌었을텐데 하는 아쉬움이 계속... 그나저나 브래드 피트는 왜케 섹시한거야!
9,프리아모스 왕과 아킬레스의 장면은 지금봐도 눈물이..
10,다 좋은데...트로이 프리아모스 왕이 불쌍해 보이는건 나뿐인가...
10,신화가 실제로 어떤 사실에 근거해 만들어지는지를 보여주는 영화. 허항된 영화 같지만 의외로 세세한 부분들이 역사의 고증을 따른 살아있는 케릭터와 재미있는 이야기에 전쟁의 슬픔까지도 보여주는 영화. 명작임에 틀림없다.
10,난 남자인데 아킬레우스보다도 헥토르 에릭바나가 너무멋있다 진심
10,동생이 사고치고 형이 수습하는 이야기.
9,파리스 너무빡침 브래드안죽길바랬는데..그래도 선과악이존재한다는걸느낌 진짜브래드오빤 상남자
10,헥토르는 먼죄야..ㅠㅠ
10,"브래드피트 섹시하구, 헥토르 너무 멋지닷! 전쟁에 나가기전 병사들에게 항상 왕을 섬기고 조국을 위하며 아내를 사랑하라+.+멋쪄~ 거대한 전쟁 장면에 눈을 땔수 없었다능~음악도 좋아~!"
10,브래드피트 남자가봐도 졸멋지네 진짜ㅋㅋ
10,이영화가8.5라니... 스토리가별로라고운운하는사람들은영화를대체보긴한건지의심스럽다  정말볼때마다새로운명작중의명작 안본사람은꼭보길추천하는바이다
5,올랜도 블룸은 항상 지 사랑때문에 주위사람 다 죽이거나 고생시키는 역할 전문.
10,브레트피트에 빠질수밖에 없는영화~~ 헥~~~토~~르~~~~!!
10,ㅋㅋ 브리세이스 너무 이쁨
10,이 영화를 보고 브래드피트와 에릭바나에게 푹 빠졌었는데..브래드피트란 배우를 알게해준 영화ㅜㅜ다시보니까 너무 좋당
10,파리스랑 헬레네 완전 병맛 커플. 브리세이스 역할의 로즈번 넘 이쁨. 몇번을 다시 봐도 재밌는 영화. 브레드피트 넘 섹시해 ~~
9,헥토르와 아킬레스의 1:1맞다이는 영화사에 길이남을 액션씬이다. 그것만으로 볼 가치는 충분
9,에릭 바나랑 브래드 피트가 가장 섹시해 보이는 영화. 폭풍간지 아킬레스
10,그래도 파리스가 형의 죽음을 되갚아 준 점에서는 잘했다. 목마 태워버리라고 하는것도 그렇고. 아킬레스의 파탄자같으면서 여린 심성도 잘 봤고. 헥토르는 진짜 맨중에 맨. 캐릭터들이 다 살아넘쳐..최고의 캐스팅 영화b 감독판은 20분 더 긴데 더 잼남.
10,영화가 짧게 느껴질정도로 재밌음 브래드피트 마지막에 너무안타까움
9,진심다시봐도명작
10,"어렸을땐 아킬레스가 멋있었는데, 크고나서 다시보니 헥토르가 제일 멋있단걸 깨달았다..."
10,정작 죽어야되는 커플은 살고 ㅠㅠ 살아야되는 사람들만 죽었어ㅠㅠ엉엉
10,몇번을 다시봐도 재밌다. 이 영화가 원전을 파괴햇다고 욕먹는건 진심 이해가 안감. 영화는 다큐가 아니라 영화임. 평점 9는 될줄알앗는데 넘 짠듯. 배우들 연기도 최곤대
10,명작. 최소 9점짜리 영화
10,감히 최고라 말할 수 있는 영화헬레네랑 파리스 진심 처음부커 끝까지 개민폐
10,"신을 섬기고, 아내를 아끼고, 나라를 지켜라...!!! 헥토르 정말이지 너무나도 매력적인 캐릭터입니다. 몇번을 봐도 잘 만든 영화입니다. 최고의 신화영화 (브리세이스는 왜 단역일지는 의문)"
10,정말 재밌었다 스토리와 연출 cg 다 맘에 들었음 아킬레스와 헥토르의 결투장면도 좋았음
10,"벤허와,글래디에이터와 더불어 그리스,로마영화중 최상의 작품..고대 그리스시대를 이렇게 잘 표현한 영화가 있을까 싶다."
10,헥토르는 정말 멋있다ㅋㅋㅋ
10,진심으로 10번은봤다 앞에나올 대사 다외웠다.거의 90& 봐도봐도 재밌는영화
10,3시간 정도의 런닝시간ㄷㄷ좀 잔인하긴 하지만 재미있다
10,한 남녀의 사랑 놀이에 한 제국이 망할수 있단걸 보여주는 영화
10,아킬레스의 위엄개쩐다;;근데핵토르가 진정한남자인거같음
10,"ㄹㅇ브래드피트 섹시함의 절정을 보여주네파리스 이 개찌질이 왕자ㄴ,ㅡ마지막에 아킬레스 죽였을때 ㄹㅇ 파리스 칼빵하고싶더라ㅅㅂ 아킬레스랑 1:1맞다이뜨면 갈가리 찢겨죽을텐데"
10,세프론 버로우스보단 로즈번이 더주연같은 -ㅁ-어쨋든 재밌게봤삼
10,브래드피트 존나 멋있다진심
10,헥토르가 멋있었네.. 헬레네 역맞은 여배우 누구징?
10,남자가 봐도 에릭바나 개 존잘 ㅋㅋㅋ욀케 잘생겻지 ㅋㅋ 글고 개 꿀잼 ㅋㅋ
10,전설 아킬레스 인 트로이. 완벽하고 흥미진진했던 3시간.
10,빵형 짱짱맨
10,그리스로마신화에서 트로이전쟁전에 패리스가 태어나자 내려졋던 신탁이 생각낫다 &#39;후에 트로이를 불바다로 만들 아이&#39; ... 그때 죽이라고 버렷을때 죽엿어야햇어ㅡㅡ 패리스때매 보는내내 빡쳣지만 그게 실화이기에.. 평점생각보다 낮아서 십점줌
10,아킬레스와 헥토르의 전투씬은 최고의 전투씬이었다.
10,다시봐도 명작
10,다들 브래드피트를 쳐다볼때 나는 핵토르만 쳐다봤다.피트보다 에릭바나가 훨씬더 강렬하고 멋있었다.
8,헥토르 죽었을 때 눈물났다
10,"전반부 주인공은 헥토르, 후반부는 아킬레스"
10,브리세이스 진짜 씨발 ㅠㅠ날가져요
10,"무척 긴 영화로 알고있는데 순식간에 본 것 같아요! 지루함 같은거 전혀 없었고, 화면에서 한시도 눈을 떼지 못한 것 같아요! 박진감 넘치고 배우들 연기도 훌륭했어요! 무엇보다 브래드피트 진짜 멋있어요~ 팬됐음! 브리세이스와의 사랑이 가장 기억에 남아요"
10,헥토르님 사랑합니다.. ㅠㅠㅠㅠㅠㅠㅠㅠ
10,존나재밌네.....ㅋㅋㅋㅋ
10,재밌기도하고.브래드피트도나오고하고..브리세이스와모든장면이아름답고슬펐다
10,"영상,스토리,연출까지 흠잡을게 없는 제작비가 아깝지 않은 영화. 감독판이 더 재밌는듯"
10,브래드피트 겁나 섹시함
10,그냥 브래드피트 리즈시절 눈호강으로도 충분...이 영화를 보면 아 그래 브래드피트가 이렇게 존멋인 남자였었지..를 다시금 깨닫는다
10,지금까지 세번봤다... 브래드피트도 연기잘하지만 나는개인적으로 에릭바나팬이된영화... 블랙호크다운에서도 에릭바나 연기는  역시나...
8,헥토르~ 후훗 남자가 봐도 너무 멋진걸~
7,"영화는 그럭저럭 준작인데, 배우들이 진짜 그리스 신화에서 튀어나온 것처럼 끝내주게 멋있음. 아킬레스와 헥토르는 앞으로 쭉 브래드 피트와 에릭 바나가 연상될 듯."
10,개봉한지 8년만에 드디어 봤다. 아직 못보신 분들은 3D 블루레이 감독판 버전으로 보시길.. 정말 최고. 사랑때문에 일어난 두 국가간의 자존심을 건 전쟁. 180분이 넘는 러닝타임에도 불구하고 시간은 금방감. 이때가 브래드 피트의 최 전성기로 보여진다
10,확장판 세시간짜리로 봤는데도 시간이 쭉쭉 잘만 간다. 이런 걸 보고 편집을 잘했다고 하는 건가 ㅋㅋㅋ 파리스 때문에 짜증나서 블룸이 싫어질 정도였음. 헥토르가 가장 멋있는 캐릭터인데 마음은 아킬레스에게... ㅜㅜㅜ 브래드 피트의 힘이란 ㅋㅋㅋ
9,아...빵오빠.. 영원히 안 늙었으면 좋겠따...ㅠㅠ
10,스케일만큼이나 멋진 인물들이 벌이는 한 편의 신화^^
8,레골라스 비열한 새키 ㅋㅋㅋㅋ 아킬레스가 살아남았으면 10점줬다
10,엄청난 명작... 그리고 브래드 피트 아킬레스는 두말할 필요도 없는 최고의 캐스팅
10,헥토르ㅜㅜ죽다니 안타깝다... 마지막 빵피트 죽는거 왤케 슬픔 하.. 재밋긴했는데 마음한곳이 찝찝해지는 그런 영화 ㅜㅜ....
10,파리스이자식뭐하자는거지
10,최고의 영화!...
9,아킬레스가 악역이 되고 헥토르가 불쌍해지는 영화
10,3시간이라는 시간이 지루하지 않은 다시봐도 명작!!
10,무조건 봐야할 영화 온몸에 전율이 흐른다
10,숀빈이 죽지않은 영화!
10,에릭바나넘 멋있음ㅜㅜ피트도 아...지루하지않았던영화 처음부터끝까지 눈을뗄수없음
10,이만한 전쟁영화가 어디또있냐 최고의 배우로 최고의 영화를 만들고 부럽다 부러워
10,얼굴되지 몸매되지 아... 영화볼 때 너무 뿌듯 ♡
10,헥토르! 헥토르! 헥토르! 하이라이트 ㅠㅠ
10,헥톨!!! 훔... 훔... 헥토올!!!! 훔.... 훔... 헥토올!!!
10,트로이가 8.5라고?!?!?!?
10,맞다이신은 역사상 최고의 맞다이신
10,"자유분방하나 기분파같은 아킬레우스보다는 성숙한 마인드의 헥토르가 너무 멋있음. 트로이를 진심으로 생각하는 왕자이자 전사인 모습도 멋있고, 형으로서도 아들로서도 아버지로서도...그 모든 면에서 최고의 남자. 트로이의 존경스런 왕이 되었을텐데ㅜㅠㅠ"
10,프리아모스왕이 아들을 찾으러 아킬레스의 손에 입을 맞주는 장면은 볼때마다 눈물이 주르륵...
9,그리스 시대 영화중 갑이다. 빵형 아니면 안봤을 영화
10,파리스 1급핵발암물질 개민폐덩어리
8,신은인간이만든것일가실존하는인물일가?3000년전의전쟁대작인것같다
10,남자가 봐도 핵토르가 개 멋있었음..  사람의 눈은 비슷한지 여자들도 핵토르가 아킬레스보다 더 멋있다고 하던데 이해가 감.
10,"현재는 의외로 저평가 되고 있으나 앞으로 20년, 30년 후 이 영화는 세기의 명작이었다라고 재평가 되어도 어색하지 않을 영화"
9,남자가 어떻게 살아야하는지 말해준다.마땅히 분노해야할 일에 분노하고 자기 여자에겐 한 없이 따뜻하고 존경해야될 사람에겐 존경심을 품고 비록 적이라도 존중할 줄 알아야하며 자신을 믿어준 사람들에게 고마움을 표할 줄 알고 때론 사랑을 위해 목숨까지 받칠 줄 아는 진정한 남자의 표본이다.
10,이영화가 8.4점인데 기생충이 9점? 이해가 안간다.... 이영화가 8.4점이면 기생충은 7점
10,글래디에이터랑 비교해도 손색이 없다고 봄. 개인적 의견으로는...
10,로즈 번이 살 찌고 젊고 어렸을 때 얼마나 예쁜 배우인지를 보여줬던 영화. 하지만... 엑스맨 퍼스트 클래스에선 왜그랬어요 ㅜㅜ ;; // 그나저나 &#34;오디세이우스(숀 빈)&#34; 시점으로 한 편(오딧세이) 더 나와 줬으면 하는 아쉬움이....
10,아... 다이앤 크루거의 진주같은 눈과 여신같은 몸매를 잊을수 없을듯..
10,평점이 왜이리 낮은거야?
10,로즈번 ㅈㄴ이쁘네 OO
10,이영화는 평점 9점은 돼야한다 고대전쟁을 이렇게 완벽하게 표현한 영화는 지금까지도 안나오고 있다 평점조절을위해 10점드립니다
10,영화의 모범답안이란 이런게 아닐까 생각한다. 아킬레스와 헥토르.. 마블영화도 재밌지만 이 영화의 영웅들이 더 매력적이다.
10,와......................................
10,역시 최고의 영화 8년이 지난 지금다시봐도 역시 최고!!
10,큰 스크린으로 브래드 피트의 리즈시절을 볼 수 있는 기회를 놓치지 마세요이 영화를 처음 본 게 중학교 때 영화관에서였는데 그 때 제 취향이 뭔지 알게 해줬습니다... 재개봉 해줘서 그저.. 그저... 감사할따름입니다... 진짜.. 진짜 개존잘..ㅠ...
10,아킬레스역  누구보다 잘소화했구만  밑에분   눈깔장애인듯
10,"무조건 10점. 요즘은 SF, 히어로물만 많이 나오고 이런 서사(신화든지 역사든지) 대작이 안만들어지네요. 내용ㆍ액션ㆍ연기ㆍ카메라ㆍ음악등 다시봐도 감동입니다."
