score,reple
9,"알록달록 다채로운 색감,  배우들의 뻔뻔한 연기,  순수한 인어, 그리고 사랑이 돋보이는 영화.   영상미가 좋고, ost도 사랑스럽다. 다소 개연성이 떨어지지만, 판타지 영화에 개연성을 왜 바라나! 연인 또는 썸남썸녀와 보기에 손색없는 로맨틱 코미디임."
10,"동화책 한편을 보고 나온 느낌.연출, 영상이 너무 아름다워 보는 내내 설레었고 수족관신은 정말 최고!두 주인공들의 케미에 피식 웃음이 터지기도- 배경이 파리. 말해뭐해 당장봐야지!"
10,영화가 이렇게 아름다울 수가 없습니다. 사랑해서는 안될 사람과 사랑에 빠져본 적이 있나요? 라는 질문을 던지는 영화이기도 합니다. &#34;당신이 나를 사랑하지 않아서 정말 다행이에요.&#34; 라는 룰라의 말과 진주눈물을 흘리던 장면이 계속 기억에 남네요. 보면서 셰이프 오브 워터랑 노킹 온 헤븐스 도어 생각도 나더라구요! 결말도 희망적인 것이 정말 전 연령 재밌게 볼 수 있는 영화 같아요. 관람 적극 추천합니다.
10,"간만에 화면이 아름다운, 영화다운 영화를 보고왔습니다. 러닝타임 내내 파리에서 인어와 함께 즐기고 사랑한듯한, 정말 간만에 느껴보는 아름다운 경험을 할 수 있는 몰입감 높은 영화였어요"
8,인형처럼 예쁜 인어와 낭만 감성의 소유자 가스파르의 로맨스. 그보다 더 동화적 분위기 작렬인 영상미가 단연 돋보인다. 더불어 동화책을 활용한 연출도 아름답다.
10,내가 딱 상상하던 인어가 그대로 화면에.. 진짜 영상미 너무 예뻐요. 어른들의 동화같은 느낌이랄까.. 파리 전경도 너무 아름다워서 여행가고 싶은 마음 듬뿍 ㅠㅠ 두 사람이 듀엣 부르던 장면이 가장 기억에 남네요.
10,사랑은 동화같은 것
10,어른을 위한 아름다운 동화
9,낭만적이고 순수한 사랑 이야기. 분위기가 잔잔하고 동화같이 예뻐서 설렜음. 그나저나 바버렛츠 언니들을 여기서 보다니 반갑네요!!
9,생각보다 재미있고 노래가 좋음
9,너무 재미있었고 닭살 돋을 정도로 오글거려서 그것또한도 재밌었어요
10,"영상미가 너무 좋았고, 감동적이 였습니다. 이런걸 저만 볼 수 없어서 이렇게 후기 남깁니다."
10,사랑에 대한 설레이는 동화. 화려한 색감과 아름다운 음악 그리고 매력적인 캐릭터들이 한 여름의 꿈 같은 판타지 로맨스를 선물한다.
10,영화에서 눈과 귀가 호강했구요~눈을 뗄 수 없는 연기자들의 목소리 표정연기 프랑스어가 이렇게나 매력적이였나요?우리나라 여성싱어그룹 바버렛츠가 뙇!나오니 어찌나 반갑던지요~~ㅎㅎ제가 꽂힌 메세지를 요약하자면세상을 바꾸기 위해서내 주변 환경을 바꿔라!상상력이 풍부한 사람이 세상을 바꾼다!OST나오길!!!!
10,우리가 할 수 없는 파리의 상상력 멋지네요. 남주인공의  사랑 넘 멋져요.
10,한편의 아름다운 로맨스 동화를 본 것 같다
9,스토리라인은 약하지만 이 정도면 어른 동화로서 손색은 없다~
3,표지만 화려한 동화책. 이 영화에서 가장 매력적인 것은 아마 포스터일 것이다.
10,"평점이 생각보다 너무 낮아서 10점 드립니다 ㅠㅠ아기자기한 소품, 색감, 영상미 너무 예뻤어요!여자배우분도 너무 이쁘시고 목소리가 너무 아름다우셔서 ost가 계속 맴돌아요. 정말 한편의 영화같이 가볍게 보기에 좋은 것 같아요. 다만 전개나 스토리는 크게 기대 안 하시는 게 좋을 듯..ㅎㅎ 몽글몽글한 영화네요"
10,"영상, 음악 다 동화같고 너무 좋았어요! 오랜만에 마음가는 영화 생겼네요"
10,구름을 걷고 꿈을 꾸는 느낌이였어요환상과 사랑이 있는 분들이라면 기쁘게 추천해드리고싶네요
10,아니 진짜 ㄹㅇ볼만한데 평점테러 당했네 진짜 돈안아깝고 볼만합니다
10,이렇게 낮은 평점 받을만한 영화는아닌데...ㅠㅠㅠ
10,아름다운 인어와 인간의 사랑이야기.동심을 불러일으키는 환상적인 스토리와 매력적인 연출.환상 그 자체였다. 강추!!
8,OST 내주세요 굉굉ㅠ*100 (무의미한 자음 모음의 연속은 안된데요ㅠ)파리의 인어 OST 내주세요ㅠ 계속 구글링 하는데 외국 밴드 분들이 부른 것 밖에 안나오고.. 찾고 있는 파리의 인어 OST가 아니라 파리의 연인(?) OST 나온다구요 굉굉ㅠ.ㅠ.ㅠ 이 영화가 동화같은 분위기가 될 수 있었던 건 색감도 있지만 배우분들의 OST라고 생각해요. 내주세요 OST plz..
