score,reple
10,청년들의 밝은 희망과 내일을 응원합니다
10,불확실한 미래를 희망으로 꿈꾸게하는 영화입니다...강츄강츄!!!
9,아름다운 청년들! 2년 간의 여정을 98분으로 보니 너무 아쉬워요. 2탄도 만들어 주셔요.
10,즐거운 관람이었습니다.고생 하셨습니다♡♡
10,페이백! 농부는 사기꾼이 아니야
10,"확실한 메세지, 나는 지금 내가 좋아하는 걸 찾았을까? 짧은 러닝타임에도 다양한 에피소드! 꼭 보세요."
10,정말 괜찮은 영화. 농사로 시작하지만 결국은 우리의 삶을 이야기해줍니다. 처음부터 끝까지 웃으며 봤네요.
9,굳이 농업의 길을 가지 않는 청년들에게도 좋은 자극이 될 수 있는 영화이다.
10,땀과 눈물운 유쾌하게 그린영화. 너무 재밌게 잘봤습니다 :)
9,"힘들어도 끝까지 해냈다는거! 좋았다, 긍정에너지 만땅!!!"
10,생뚱맞은 콘셉트라 걱정했는데 너무 즐겁게 봤어요. 절대 후회하시진 않을 것 같네요. 극장 관계자분들 제발 좀 보기 편한 시간대 몇 번만이라도 좀 걸어주시길..
10,농사라는 내용이 잼나네요~~^^
9,혼자 보기엔 아까운 영화. 그런데 상영관에서 혼자만 본 건 이번이 처음이었음 ㅎㅎ
9,정확한 디렉팅... 멋진 영상미... 싱그럽다!!!
9,젊은이들의 뜨거운 도전기. 나도 떠나고 싶다
9,"자신의 꿈인 농사를 배우기 위해 세계를 여행하는 청년들의 좌충우돌 여행기! 영화도 멋있지만, 영화 이후 주인공들이 만들어갈 사회가 기대된다."
10,끊임없이 도전하는 청년들의 모습이 보기 좋았습니다 앞으로 해결해야할 문제를 영화속에서 볼수있었습니다. 젊은사람들이 이영화를 보고 도전하고 한번더 농업에 대해 생각해봤으면 좋겠습니다.
10,유쾌한 영화! 수고 많으셨습니다.
8,"뜨거운 여름에 보기에 즐거운, 청춘들의 도전기! 화이팅입니다"
10,몰입도있는 편집. 우리나라 청년들이 외국에서 농사일을해야하는 현실에대한  고찰..
10,새로운 돌파구를 찿아나선 멋진 청년들의 도전을 잘 담아내서참 보기 좋았습니다~~
10,한 번쯤 인생에서 고민했던 부분인데 영상에 잘 담아 놓았습니다.
10,"넘나 재밌는 것, 유쾌한 세 청년들의 특급 울트라 환타지 여행 아니 세계일주. 또 보고싶다 후속 편 기대 중 .. 진짜 많이 봐야되요. 이런영화는.."
9,피땀눈물 그래도 웃는 보이즈가 멋있다
7,멋진 도전이 감동이네요
9,도전하는 청년들의 모습에 재미와 감동이 있고 많은것을 생각케 하는 영화네요~  대한민국 청년들 홧팅입니다~^^
8,오랜만에 지루할 틈없이 재미난 영화였습니다
9,이런 영화를 보고 다들 시여가 넓어졌으면 좋겠습니다!
