score,reple
10,정말신선한 오컬트인듯. 배우들 개개인의 연기도좋고. 특히 청부살인업자는 진짜 컨셉도신선하고연기도 신선함.
10,중간부터 나오는 비니쓴 백선생?! 역할하신분이 가장 강하게 남음..궁금해서 검색해봤는데 챔피언에서 길을 잃었던 건달이었다닠ㅋㅋㅋ
10,무서운 장면에서 유쾌한 음악이 나오는게 신선하고 좋았고요 보면서 대학로 연극을 보고있는 듯한 느낌도 들었어요. 재미있었어요~!
10,"몰입감 최고 연출 최고,, 이런 장르 영화 너무 좋다"
10,현실 시간을 반영한 스피드 있는 진행이 아주 좋았다. 지루하지 않게 적당히 웃으면서 보기 좋은 영화. 색채감도 상당히 맘에 들었다.
9,돈없는 타란티노  배우들이 거의다 현직 감독들이야 ㅋㅋㅋ
8,"한국에서 보기 힘든 힘뺀 장르물, 요즘 같이 푹푹 찌는 여름 가볍게 즐기기에 좋았음."
10,음악과 영상이 잘 어울어진 기억에 남을 영화!
9,"늘 예산 대비 고퀄 영화 선보여주는 감독...  고작 4500만원에 이런 영화를 만들었다는거 자체로도 놀라는데..음악,조명,미술,연기(욕은 좀 줄었으면 좋았을듯) 다 좋음. 이것들을 조화롭게 잘 섞은 건 단연 연출가의 역량이다. 상업영화 제작사, 투자자들은 뻘짓말고 이런 감독한테 투자해라!!!!7번방의선물 이딴거 말고"
9,아수라장에서 시원하게 울리는 Fanfare
10,연출도 좋고 배우들 연기도 너무 좋네요!시간가는줄 모르고 봤습니다! ㅋㅋ
10,좁은 공간에서 펼쳐지는 내용이 괜찮았어요연기도 좋습니다.
9,이돈구 감독... 저예산으로 이런 장르물까지 만들 수 있는거에 또 한번 놀랍네요...한명 한명 등장하는 캐릭터 보는 재미가 쏠쏠!!
9,독립영화 느낌이 나서 그 부분은 좀 아쉽지만 오랜만에 본 신선한 장르 영화!
10,"어둡고, 처절한 분위기속에서 누군가에게는 즐거운 축제마냥 계속해서 울리는 팡파레. 배우들의 개성있는 캐릭터와 연기가 좋았습니다."
10,각 배우분들의 연기가 각각 살아있는 좋은영화였습니다. 나름 재미도 있고 장르영화 및 독립영화라는 거를 감안하면 이정도 퀄리티가 가능한가? 싶기도 하고 감독님이 캐릭터에 각각 많은 것을 담으려고 하셨다는게 느껴집니다!
9,임화영의 존재가 팡파레. 살다살다 이렇게 신선한 영화를 보는 날이 올 줄은... 또 볼 수 있는 기회를 주면 또 볼 의사는 당연히 오케이. 올해 베스트.
8,용감한 장르의 변주! 마지막 시원한 한방까지!!
10,예측 불허의 스토리가 보는 내내 긴장감과 궁금증을 유발하는 영화에요 강추합니다
10,감독이 약빤 영화 감독이 약빤 영화
10,"지금까지 제가 본 영화들과는 다른 색다른 스토리여서 재미있게 봤고 음악이 너무 좋아서 더 몰입해서 봤던 것 같아요 ! 배우분들 연기도 너무 잘하셨어요 짱 ,,"
10,연극을 보는듯한 영화 요즘 맨날 나오는 주연급 배우들의 연기의 식상함을 덜어주었음
9,"돈 쳐바른 이상한 K 국뽕 영화, 김치좀비물보다 훨씬 재밌음. 배우들 연기 존나 살아있음"
10,시간가는줄모르고봣어여! 몰입도 채고에여 장소이동이 거의없는데도 이러케 집중해서 볼수잇는영환 처음입미다
10,다들 연기도잘하고 넘 잼있게 잘봤습니다특히 박종환배우님이랑 박세준배우님 연기가 인상깊었습니다 앞으로 잘되실듯해요~~!!
7,한국 영화로는 보기힘든 분위기의 블랙코미디 범죄 드라마
8,사고를 덮기 위해 거짓이 쌓이며 극으로 가는  모습 .
10,더운 여름 휴가도 못 가는데 팡파레 보고 속이 시원함!! 제발 이런 영화 좀 많이 나오길!!
8,이정도되야 보는 맛이나지
10,오랜만에본좋은영화였습니다대박나세요!!
8,오랜 시간 은은하게 향기를 발한 임화영이란 배우의 존재 자체가 한국영화에 팡파레!
10,
9,좋은영화 잘본거같습니다. 다 신선했던거같아요
10,와 대박 작품이에요 특히 배우분들 연기가 일품화영 배우님 정말 섹시합니다
10,엄청난 제작비에 유명한 배우들과 스탭들이 고생한 소문난 잔치상에 먹을꺼 하나없는 애매한 상업영화보단 힘든 환경에서 각자의 자리에서 묵묵히 열일해준 배우들과 스탭들이 보여준 노력의 결과...요즘엔 애매한 상업영화보단 감탄할 수 밖에 없는 개성있는 저예산 영화를 보는 재미뿐...
10,골때리는 영화네 겁나게 신선한건 인정!!
10,사랑합니다 감독님 앞으로도 화이팅!!!!?
10,임화영배우님의 연기 변신이 돋보입니다.
10,
10,오랜만에 신선한영화 너무 재밌게봤어요배우님들 연기도 특색있고 다음에도 좋은영화 부탁드릴께요
8,아주 예쁜 블랙코미디 영화
10,리듬감 좋고 시원시원한 장르영화. 중간 중간 엇박이 매력적.
10,감독의 전작들과는 확실히 결이 다르지만 하고싶어하는 얘기가 뚜렷해서 참 좋았다배우들 연기도 훌륭
10,스릴러보단 블랙코미디?? 악어랑 악어새ㅋㅋ
10,비니 쓴 살인청부업자가 다 씹어먹어버림ㅋㅋㅋㅋ
9,이걸 보고 욕하는 사람들은 연출이나 독립영화에 대해 지식이 1도 없는 사람들인가?
