score,reple
10,어디에서나 이방인일 수밖에 없는 한 여자에 대한 이야기.
6,김지영 참 좋은 배우다 라고 느낀다.
1,"프랑스 여자보다 더 파리지앵 같은 사고 방식을 갖은 한국에 사는 인물들..파리에서 10년을 넘게 살았고 위대한 연극 배우가 되겠다고 유학을 떠났던 프랑스 여자는  삶 자체에 자유와 예술을 향한 어떤 흔적도 없고 남편에게 너 때문에 인생 망했어, 너때문에 모든걸 포기했는데 사랑이 어떻게 변하니~이렇게 예술과 자유, 파리지앵을 꿈꾸며 떠났다고는 생각할수 없는 태도로 일관된 프랑스 여자.... 한국에 대한  회상이나 무의식적 세계에서도 못이룬 후배와의 사랑이나 과거에 대한 죄의식으로 가득찬...답답한 모습~ 이것이 감독의 연출이었다면  어쩔수 없지만 과연 프랑스 여자를 통해서 무엇을 말하고 싶었던 것인지 참... 여기서 프랑스 여자는 담배 피는 여자를 말하는 것일까 하는 헛웃음도 나온다, 프랑스라는 자유와 파리라고하는 예술의 세계를 동경해서 10년을 살았는데  오히려  한국에 사는 사람들보다 더 타인에게 의존하고 과거에 함볼된 인물이라고... 공감이 안되고 동의하기 어려운 썰이라고 생각한다."
10,한국영화 중 간만에 인상깊게 본 작품. 영화 속의 이미지가 계속해서 떠오른다.
8,한국과 프랑스 어디에도 소속되지 않은 불안한 이방인의 심리가 잘 살아난다. 공통의 기억은 나누지 않고 묵혀둔다면 왜곡되고 망가지는 것 같다. 기억의 관계가 가진 소중함을 생각한다.
1,그래서 영화가 말하는게 뭔데??
1,"솔직히 너무 별로였음.. 예술영화나 감각적 영화 즐겨보는 편인데.. 가장 별로였던 점은 스토리랑 감정에 개연성이 너무 없음. 캐릭터들이 갑자기 화내고, 갑자기 분노하고.. 젤 중요한 감정들이 다 뜬금포임. 이건 기본아닌가..? 싶은 지점들이 너무 어설픔.. 글고 2020년 현재.. 술자리에서 남사친이 여사친한테 장난으로 뽀뽀하는 장면이 영화인/연극인들이라는 이유로 웃어넘겨지는 장면이 나오는게 너무 황당하고 어이없고 불쾌했음. 더군다나 이렇게 미묘한 감각을 다루는 영화에서. 난 30대 여성이지만 정말 흠.. 할말하않"
4,서울대입구 롯시] 6월6일 생애 최초로 극장 옮겨 영화 2편 봤는데 그 중 첫 번째 영화였다. 영화제가 좋아할 만한 느낌의 영화다. 특별한 주제의식도 없이 어떻게 느낄지는 관객마음 이라는 컨셉의 영화같다. 전체적으로 공허하고 우울한 느낌이 들었다. 극중 인간관계서도 인스턴트 느낌이 많이 났다. 푸석거리는 느낌이랄까? 배우들은 열심히 &#39;연기&#39;하려는거 같았고 OST는 없었다. 꽤 지루했다.
10,"지나온 날들이 나를 괴롭힐 때 위안이 되어줄 영화. 한 편의 소설 같기도, 연극 같기도 한 영화. 겹겹이 쌓인 스토리 구조가 매력적이다."
1,프랑스여자건 한국여자건 자신에 함몰돼 사는 흥미없는여자
10,김호정 배우의 연기도 정말 좋았고프랑스 여자라는 제목이 딱 김호정 배우가 잘 표현한것 같다김지영 배우는 어떤 역활도 다 잘 소화해내는진짜 늙지않는 배우구나라고 새삼 느꼈다.연출도 좋고 배우들연기도 좋았다  두번보고싶은 영화다
8,"배우들의 연기력과 연출이 좋은 영화.다만 나에겐 분석과 이해가 필요한 영화라 관람 후 분석이 필요했고, 정리가 좀 됐으니 재관람 예정."
4,단순한 이야기를 꼬아 억지로 풍부하게 만드는 연출..그 어느장면에서도 감정적 공감을 할수 없었다.
10,영화 정말 촘촘하고 배우분들 연기 너무 좋았습니다. 주연 배우님 연기 더 보고 싶네요. 간만에 좋은 영화 잘 봤습니다.
10,연기와 분위기가 진짜 좋다..여운이 남는 영화
10,"9점. 연출,연기 모두 새롭고진부하지 않아서 몰입도가 높았던작품이었음."
10,연기도 연긴데 나는 분위기가 너무 ㅠㅠㅠ 좋아 ㅠㅠㅠ
6,반복되는구조. 프랑스만큼 낯선 느낌들. 미스테리물도 아니고 보는 내내 뭔가 찝찝하고 무서웠음.
10,정말 오랫만에 좋은영화 봤어요~^^ 많은 생각이 들게 하는영화네요^^
8,이상하게 뭔간 홀린듯 몰입하게 만드는 영화.. 마지막 장면이 현실의 마지막 일까?? 아~ 자꾸 생각난다.
10,정말 섬세한 영화! 독특한 연출도 재미있었고 내용도 공감됨!!! 오랜만에 영화 만족스럽게 본듯
10,섬세한 연출과 배우들의 연기력이 일품이에요
10,나의 지나간 시간들에 대해 다시 생각해볼 수 있었다
10,찬찬히 곱씹어 볼 수록 참 좋은 영화.
10,너무 너무 재미있어요.
10,"오래되어도 지금보다 더 또렷이, 선명히 기억하는 순간이 있지.. 그때 그 풍경 사물 소리 표정. 눈물이 주륵주륵 쏟아지는것보다 가슴을 죄여오는 몇번의 울컥함.비 오는 밤 이 영화때문에 그 선명한 순간을 곱씹어본다"
1,일생동안 중간에 나온 영화는 이 작품이 처음. 대사는 스크립트를 그대로 읽는 것 마냥 어색하고 연출 역시 촌스럽다. 영상마저 산만해서 배우들의 감정선을 따라가기 어려웠다.
10,"어설프게 척하는게 아닌, 진정한 1인칭 접근으로 이뤄낸 결과물. 그래서 불확실하고 명쾌하지 않아 보였던 과정은 사실 가장 명쾌한 것이었다. '기억'이란 이런거니까."
8,네이버 평점이 이렇게 하나도 없다니..영화 <프랑스여자> 몽환적이고 잔잔하지만 색다른 체험을 해볼수 있었던 영화입니다. 대중적인 영화코드는 아니지만 씨네필이라면 추천드려요!
2,주인공도 횡설수설!보는 나도 정신이 오락가락!과거에 집착해서 현실 부적응증에 시달리는 걸 보고 있으려니 힘들었다!굳이 극장가서 볼 정도는 아니다!
8,그 시간들은 참 찬란하지만 무서웠어
10,"단역으로서, 오징어 다리를 입에 물고 헤드뱅잉을 하던 내가 그대로 나올 줄은 몰랐다. 가슴이 웅장해진다.인간이 살아있음을 느끼는 순간은 언제일까. 좋아하는 일을 했을 때, 사랑을 주고받을 때, 맛있는 걸 먹을 때? 오히려 삶이 무너져 내릴 때 살아있음을 느끼는 사람도 더러 있는 것 같다. 이 영화는 미라라는 한 인간이 살아있음을 깨닫는 과정일지도 모른다."
9,고민과 노력이 느껴지는 영화입니다.적은 예산에 완성도는 크네요.당신이 생각하는 것 보다 훨씬 재밌습니다. 정말이에요.
10,예상치 못한 전개가 매력적이다. 많은 사람들이 봤으면 좋겠다.
10,연극 본 느낌 배우님들 연기 딕션 모두 너무 좋았다. 맥주생각이 간절해지네요!
10,두세번 더 보고 싶은 영화
8,"'프랑스'에 '미라"" 잘 있지?"
10,분위기에 잡아먹혀버렸다 ...
10,극장에서 오랜만에 본 감성적인 영화...특히 주연 김호정 배우의 연기가 인상적이었다. 불어도 정말 잘하시는듯...
10,결말에 대해 자꾸만 생각해보게되고 김희정 배우의 연기가 돋보였던 작품인거같다 감성적인게 너무 좋았음!!
10,시공간을 초월하는 한 여자의 아련한 몽한적이 이야기! 감명깊게 봤습니다.
10,이 영화는 직접 봐야지만 그 느낌을 알 수 있다
1,잘 풀어 관객에게 전달해내는 것도 감독의 역량이 아닐까 싶다
6,배우들이 연기는 잘하는데 뭔 내용인지 알다가도 모르겠고 공감이 가는 것 같다가도 안가고 아무튼 뭔지 잘 모르겠는 영화였어요. 볼만은 했습니다.
10,자우림 기타리스트는 나오지만 끝까지 기타는 안치는 영화
6,와닿는게없어서 좀 그러네
5,"방금 보고 왓습니다. 원래 평점 잘 안 남기는데 평점 알바들이 실제 존재 한다는 걸 오늘에서야 알앗습니다. 장르가 드라만지 스릴런지 재난인지,,"
2,뜬금없는 세월호 장면....영화판이 아무리 다 그렇다해도 너무 심하네
8,분위기 깡패..외국영화인줄?
8,"상처를 주고 받았다는 것을 알면서도 기억하고 싶은 부분만을 기억해 스스로 방어하는 자의식과 좀 더 행복해지는 결말을 바라는 무의식이 과거와 현재를 오가며 불안정한 심리를 담아 낸 연출이 돋보인다. 보는 내내 유학시절 파리의 거리와 파리에서의 사랑이 자연스레 생각났다. 아득하지만, 나도 기억하고 싶은 것들만 조합해 기억하고 있을 ... 추억은 잔잔하지만, 기억은 요동친다 늘."
10,"소통이란 결국 남의 말을 듣는 척 하며 자기 얘기 하는 것. 사랑의 반댓말은 불안감. 현대인은 기억까지 조작해 가며 마음의 안정을 찾으려 하지만, 위태로운 삶은 이어진다. 자기성찰에 도움이 되는 수작"
10,여성의 감정을 깊이 있게 고찰할 수 있었음
10,긴~~~ 연극을 보는듯한 영화..  너무 신선하고 야릇하고 깨끗한 느낌을 주는 힐링영화...  코로나로 40대 삶이 방황중이었는데...  이 영화를 만나서 행복했다....
6,스스로가 무의식적으로 지웠던 기억을 다시 파헤쳐가는 어느 위선자의 신비로운 여행.
1,시간가는줄 알고 잠들었습니다.
6,그녀가 사는 곳은 프랑스도 한국도 아닌 돌아갈 수 없는 과거가 아닐까.
