score,reple
2,진짜 보지마세요 개 오글거리고 병맛에 스토리도 쉣이고 연기도못함 남자친구가 보자고 해서  지금영화 보는중인데 이걸 보자고한 남자친구한테 존?나 화나 미치겠음 옆에서 쳐자노 ㅠ
1,오지호도 다됐네 이런 쓰레기 영화에 나오고이런 영화는 잘 될지 알고 만드는거가?진짜 거지같네
1,이딴 영화 만든 감독을 감옥에 쳐 넣어야된다
1,진짜 기승전결 완벽한 노잼영화
2,절대보지마셈 쓰레기영화ㅋㅋ클레멘타인이하
1,요즘 알바자리 없다더니 다 여기서 평점알바자리 구했냐?
1,낚이지마세요시간이 똥보다 가치가없으면 보세요.
2,와 왠만큼 재미업는 독립영화는 명함도 못내밀겠다 ㅋㅋ 카메라 동선도 안나오는 독방에서의 액션씬은 정말 최고였다 내가 아이폰으로 찍어도 이거보단 나을 듯 ㅋㅋ 와 신선한 충격
1,오지호형님 한테 너무 뭐라하지말자... 처자식 생기면 남자는 뭐든지 할수있다...ㅠㅠ
1,ㅋㅋㅋ개너잼ㅋㅋㅋ그냥 개노잼 진짜 노잼
1,코미디영화 잘봤습니다 개콘보다 재밌네요
2,아무리 싼티난다지만.. 정도라는게있지
1,"진짜 2020년 영화가 맞는거냐? 제작비 어떻게 공수함??? 대사, 연기, 촬영, 모든게 촌스러워 미치는줄 알았다."
1,"내 수많은 리뷰와 평점을 살펴보며 많은 똥들을 피했으나, 태어나 이런 빅똥을 밟고 첫 리뷰를 남길줄 누가 알았을까?...마이너스 점수가 있었다면 이 똥도 피했을것 같것만ㅜㅠ영화값도 올랐는데 아주 주옥같은 시간을 보내었다..."
2,투자대비 괜찮은 영화예요근데 마광도? 와 보는 내내 손발이 오그라들고 연기도 진짜 ㅋ사람부담스럽게 만드는ㅋ거의 단역한명이 영화를 말아먹은 영화같았습니다좀 싫었습니다ㅋㅋ 배우는 맞죠?뭐랄까 되게 싼티나는듯한분ㅋㅋㅋ화이팅
1,정말.. 중학생이 스마트폰 들고 찍은 듯한..
2,영구와 공룡쭈쭈의 쭈쭈보다 부자연스러운 연기.. 티라노의 발톱보다 못한 각본... 중간중간 마이크가 고장난듯한 자체 음소거 기능...
1,평점에 별을 안 찍을 수는 없구나
1,
1,액션?ㅋㅋ 초딩들이싸우냐?
4,솔직히 망했다. 평점 거짓말 너무많다.
1,20분 보다.. 보다 못참고 나왔어요..신랑한테 고개를 못들겠네요ㅋㅋㅋ아 진짜 너무해ㅋㅋ독립영화같다는 글 있었는데 독립영화 억울해서 울겠어요ㅋ
2,아니 후 한국영화라 그런지 결말이 너무 허무해요
2,진짜 OOO기 영화.. 댓글 다 알바.. 이건  감독이 감옥 드가야한다  관객 우롱 영화
1,어디가서 한국영화라 하지마라
1,"와 1점도 아깝다 ...진짜 무슨 3류영화도 아니고 아무리 요즘 알바로 장난 친다고 하지만 10점 천벌 받을 짓하내  연기는 또 외 이렇게 어설프지 ㅡㅡ,,"
1,와~ 유명배우들도 저래? 연기는 배우가 잘해서 그런줄 알앗는데 그건 아닌가보네...  스태프실력인가?
2,
1,평생 무술지도만 하던 스턴트맨이 처음 감독 입봉한 영화.시나리오도 연출도 연기도 다 최저급. 중고딩 영화동아리 작품보다도 유치하다.
1,ㄷㄷㄷ 사라진시간~~~ 지금 시대가 어느시대인데 이런 내용의 영화가 있다니
1,무술감독이랑 찰영감독 누구냐? ㅋㅋㅋ 반성 많이 해야겠다
1,38년살면서 이런OOO기영화는 진짜처음이다 역대 최악의쓰레기 30년전 우뢰매를재개봉해도 이영화보다는100배는 잼있게보겠다 오지호도 엑스트라수준연기이고 진짜 아
1,처음 남겨봐요인생최대쓰레기 씹쓰레기영화입니다올레티비 11000원 으로봣고요제가 허비한시간 보상부탁드립니다.정말 처음 댓글남겨요..
1,정말  살다 살다 이런걸 ... 내시간 돌려줘차라리 영구와 땡칠이 보면 감동이라도 잇겟네
1,지금 보는중인데 2000년대 초반 영화보는줄 알았다....  다들 한번씩 봐라 깜짝놀랄거다 ㅋㅋㅋㅋ
1,이런건 왜 만드는지?
1,오지호 원래 발연기 국어책연기로 유명한 넘인데 영화는 또 산으로 가네...얌마 때리치라...그리고 오지호는 티비에도 와꾸 좀 들이밀지 마라...어떻게 연기력이 발전이 없냐..넌 연기자가 아니라 일반인이야
1,인간적으로 이건 아니다 진짜로ㅋㅋㅋㅋ 액션이라도 좋던가 ;;
1,시간을 돌리고 싶다 과거로 간다면 이 영화를 안보고싶다 3류도 아닌 4류영화다 아오 열받는다 내시간 돌려도 인생에서 허비한 나의 시간 돈으로도 살수없는데 아오
1,"액션은 볼만하다는 글들도 알바일세ㅡ.,ㅡ클레멘타인이 낫다ㅡ.,ㅡ진정 시간이 아까운ㅠ"
1,80분 짜리 영화인데 보다가 토쏠리고 재미없어서 현기증나서 3번 나눠서 꾸역꾸역 봤는데 오지호 나와서 보기 싫었는데 역시는 역시네요 개망작 그나마 이인귀랑 하제용 보고 봤는데 개쌉노잼입니다
1,극장에서 보신 모든 분들께 애도를 표합니다..여기 나온 배우들 주연 영화는 무조건 믿고 거르는거로..이런 영화를 선택 했다는건관객에 대한 예의가 눈꼽만큼도 없다는 뜻임.대학교 졸작보다 못한 영화라고 부르기도 민망하다 진짜 너네 다 반성해라ㅠ
2,감독...다음부터 아무것도하지마세요
2,영화 시작과 동시에 '앗! 당했다.'란 생각이 드는건....?
1,평점 한번도 안남겨봣는데 여러분들 피해보지말라고 남깁니다진짜 OOO기 3류영화입니다스토리 대본 연기 전체다 정말 최악중에 최악..언디스퓨티드랑 비슷할줄알고 봤는데 진짜 개망작입니다 제가 감독해도 이거보단 잘만들거같네요 진짜 절대보지마세요
1,와 역대급 똥맛영화인듯.연기도 너무 못하고 중간중간 개그 요소도민망할정도로 안웃김. 생각할수록 너무하네 이거...
1,큰일이다 코로나가 이영화도 큰일이다....
1,C급
2,스토리가 최악....연기는 둘째임연기파 배우들이 못해보임
1,무술감독이 연출은 못해
4,"볼 만한 게 액션 밖에 없었는데, 액션도 허접. 에휴..결말도 에휴."
2,와...10분 보다가 잠들었음
1,어떤분 오지호가 다된게 아니고 원래 오지호는 연기를 못함볼뻔 했는데 평점 먼저 보길 정말 잘했네요 앞장면 슬로우모션 액션씬 보고 끌까 고민하다 정찬? 그사람 첫장면 보고 그냥끔 바로 삭제오지호는 연기를 안하는게 맞는거 같아 오지호는 그냥 직업군이이 잘어울림
2,이런걸 영화로도 만드는 구나!!  헐~~~
1,오지호님 이제 제발좀..
1,개봉한지도 몰랏네.  ㅜㅜ 강철비 보러갈거임
1,와....  진짜 역대급 시간낭비 핵노잼 영화다.
2,우왕 올레티비서 광고엄청 하길래볼라했는데 전문가평점1 ..처음봄재밌나요혹시?
1,파일X에서 160포인트로 다운받아가지고 집에서 봤는데 영화관 안가길 잘한것같아요.
1,알바들 대단하다할말이 읍다 대단한 영화다
1,아 ㅅㅂ ㅈㄴ 재미없어 동네 개싸움 영상이 더 재밌겠다
