score,reple
10,잘못눌러서 본영화인데 잠깐보다가..다봤다...최고다이영화
10,언제봐도 명작이다. 너무나도 절절하고 엔딩크레딧까지 모조리 듣게만드는 영화. 팀 로스의 눈빛이 아직도 잊혀지지 않는다.
10,"정말 사랑스런 작품이다. 작품 속 모든 배우들이 이렇게 조화로울수가 없다. 팀로스의 떼 묻지 않은 소년과 같은 그 연기, 정말 살아있는 연기가 뭔지 너무도 섬세하게 보여준다."
9,최고의 음악 영화 중의 하나!
10,"이 영화?학교음악시간에 보여준영화, 음악관련 최고의 영화, 내가 본 피아노 영화중 최고의 영화, 심지어 말할수 없는 비밀에서의 피아노 배틀이 약해보이기까지 했던 이 영화의 피아노 배틀은 매우 인상적이였다"
10,이 영화는 킬링타임용으론 부적절...
10,눈물흘렷다 감동적이다 꼭봐라 두번봐라 세번봐라 볼때마다 약간씩느낌이다르다 한번보고 10년뒤에 한번더봐라 감동을 두번느낄거다
10,배에서 태어나 세상을 배로 제한해놓고 사는 주인공.. 어쩌면 그 유한함이 그의 삶을 더욱 빛 나게 할 수 있었기에 영화가 더 감동적이었지 않나.. 가끔 ost 앨범을 듣는데 곡 하나하나에 에피소드가 있어서 듣는 내내 영화내용이 머릿속에 그려지는..
10,팀로스의 연기와 엔리오 모니꼬레의 음악이 만나  최고의 영화를 만들어 냈습니다. 마지막에 결국 눈물이 날 수 밖에 없었던 영화입니다
10,말이 필요한가?
8,이 영화가 폭풍우에 흔들리는 배안에서 피아노 치던 그 영화인가?
10,이 영화 재미없다는사람 감정없는 사이코패스 일것같네요.
10,"네녀석이본 영화중 최고는뭐지? ""피아니스트의전설"""
10,"인생은 무한한데, 용기를 내보지 그래"
10,명장면이 수두룩하다. 피아노와 함께 춤을 추는 장면과 창문 너머의 그녀를 바라보며 피아노를 치는 장면은 아직도 머릿속에 생생하다
10,이런말이 있죠. 어떤 영화는 평가될 수 없다고.
9,배안에서 태어나 가장 순수한 음악을 한 피아니스트의 이야기. 그에게는 배 밖에서의 삶들이 이해할 수 없는 괴기스런 모양의 피아노와 같았을 것이다. 일대기를 읽은것 처럼 영화를 다 보고난 후 여운이 길게 남는다.
10,마지막에 대화하는 부분이 감명 깊었어요..
10,재개봉 되길 간절히 기다려봅니다.
10,88개의건반위에서 바쁘게 살아가는 우리들 가끔은 이런영화에서 잠깐 쉬었다갈수있지 않을까
10,"현실적이지는 못한 설정, 전개이지만 그 부분을 극복해낼 만큼의 음악적 매력.."
10,"우리네 인생은 무한하지만, 존재는 유한하다. 그러나 그의 인생은 유한했고, 존재는 무한했다. 어디에도 없었으나 전설로 기억될 것이기에..."
9,진짜 감독이라면 이영화의 연출력과 구성력을 본받아라 흔히 있는 소재로 이렇게 볼거리를 만들고 이야기를 만드는것은 쉽지 않다. 전부 반성해라
9,토르나토레와 모리꼬네가 뭉치면 악마의 영혼도 홀릴수있을것이다.
10,1900의 욕심없는 순수한 삶
9,"처음봤을땐 왜 배에서 내리지않는지 이해가 안되었는데 나이가들고 다시보니 전혀다르게 보인다. 피아노는 88건반뿐인데, 세상이란 건반은 끝이없어 칠 자신이 없다는 그 말이 이제야 이해가간다. 결국 넓은세상과 타협보다 결국 배안에서 순수성을지킨채 죽음."
10,말은 잘하지만 필요한 순간엔 용기를 내지 못하는 주인공을 보면서 아름다운 음악을 듣는 기쁨과 반대로 그걸 뒤엎는 큰 우울함이 느껴진다. 두번 보기는 힘든 영화일듯하다.
10,"음악이 좋은 음악영화는 많이 봤지만 깨달음과 교훈, 감동을 준 음악영화는 처음인 것 같다. 영화를 보는 내내 숨소리도 내지않고 보다가 엔딩크레딧나올때 눈물이 한번에 터져버렸다. 내 인생 최고의 음악영화."
10,이때까지 평점한번도 쓴 적 없는데 진짜 이건 내가 살면서 본 영화중에 최고다.  죽기전에 꼭봐야 할 영화다
8,성공할 수 있으면서 끝까지 변화를 추구하지 않는 주인공의 모습이 한편으로는 인간적이다고 느껴지는 영화이다.
10,"그 배는 나인틴 헌드레드에게 세상을 배우는 교과서이자 출구, 혹은 세상 그 자체였다고 생각합니다. 그리고 벗어나기엔 두려운, 안정감을 주는 집이자 엄마의 존재가 아니었나 생각합니다. 엄마의 부재가 오히려 그를 배(엄마)에 집착하게 했던 것이 아닐까요."
10,영화를 보고 나와한참을 혼자 걸었네요우울했지만 이해할수 있었고주인공의 선택에  공감했어요
10,이런 영화를 평점 준다는 건 정말 의미 없는 짓이다. 잊을 수 없는 선율. 잊을 수 없는 그의 순수함. 잊을 수 없는 그의 마지막 모습.
10,평식이가 이걸 백두산과 동급으로 매긴거 실화니? ;;;
10,봐도 봐도 감동이 식지 않음말이 필요없음 내인생의 명작
10,정말 단언컨데 이 영화는 명작이다. 여기에 평론가들이 단 한명도 평론을 달지 않았다니 믿기지 않을 따름이다. 매번 볼 때마다 지루하지 않고 울컥하고 나의 인생작라고 생각되게 하는 영화. 지금이라도 얼른 모든 사람들이 이 영화를 봤으면...
10,긴말 필요없는 최고의 영화
10,"그냥 중반부터 이유없이 눈물이 났다.마지막 맥스와 나인틴이 마주 앉아 이야기하는 장면은 숨 쉬는법도 까먹고 본 거 같다.음악 때문에 봤지만, 인생영화 등극 ㅠㅠ재개봉 했으니 두 번 세 번 더 보러가야지 ㅠㅠ"
10,"친구가 보자고 해서 아무것도 모르고 쫓아가서 봤는데 최고였어요!스토리에 대한 감동도 음악도 다 너무 좋았던,다시 상영되어서 다행입니다."
9,영화관에서 꼭 보셔야 될 영화 입니다
9,오히려 세상으로 나가서 때묻고 변질될 바에 배 안에서 처음의 그 순수함을 그대로 간직하는게 더 무한한 가치가 있는 것 같다 또한 배를 탄 수만명의 사람들 중 단 한명의 진정한 친구를 얻었기에 그는 더 이상 바랄 것이 없었을지도 모른다
10,명작중의 명작 말이 필요없습니다. very good
10,"많은것을 느꼈네, 친구, 삶 그리고 죽음."
10,"단지 그가 자신의 음악으로 바다를 춤추게 하고 사람들을 춤추게 했던 것처럼, 나를 울렸다."
10,오랜만에 대사 하나하나 집중해서 봤어요대사 ost 연기 뭐하나 부족한게없는 영화였습니다
10,너무좋습니다 음악 주인공의 마인드
10,나인틴헌드레드가 목숨을 희생하면서까지 밖으로 나가지 못한 이유를 알 거 같아서...
10,음악영화중 손에꼽는 수작이다. 아직도 창문으로 보이는 여자주인공 모습과 피아노 소리를 잊을 수없다.
9,이 영화를 극찬하는데엔 이유가 있다.알고 싶다면 봐야할 것이다.
9,말이 필요 없다. 눈도 필요 없다. 오직 청각에 의존에 앤니오 모리꼬네의 초대에 응하면 되는 것.
9,"처음으로 마음에 둔 창밖에 아름다운 여인을 바라보며 피아노를 치는 씬은,,,여인의 향기의 알파치노의 탱고씬만큼 강렬하고 매혹적이다,,"
10,"육지에 사람들은 이것 저것 많이 보고듣고 즐기죠,, 반면에 주인공은 배에서만 일생을 살았지만 그안의 내면은 훨씬 더 인간적입니다.. 기교로 사람을 평가하는 것이 아니라  그 자체의 마음을 연주하는 피아니스트를 봐달라는 것이죠, 각자를 돌아보게 합니다ㅎ"
10,부모님 예매해드렸는데 무척 여운이 오래가는 영화라며 좋아하셨어요
10,인생영화 ㅠㅠ노래가너무좋다
10,죽기 하루 전날.. 이 영화를 다시 보고 싶다..
10,잔잔하고 아름다운 영화...
10,세 장면이 기억에 남는다피아노 바퀴가 굴러다니면서 주인공이 매직왈츠를 연주하는 장면재즈의 창시자와 주인공의 숨막히는 피아노 배틀장면마지막 여자에게 한눈에 반하면서 즉흥적으로 연주하던 장면최고!!
8,"평론가의 평점은 다소 고개를 갸웃거리게 하네요.음악, 특히 피아노를 좋아하는 이들에게 정말 매력적인 영화입니다.FXXk the critics"
10,이 영화는 잊을수가없어요...
10,이 영화가 지루하고 몰입 안 되고 재미없다 하는 사람들은 얼마나 감정이 매마른 사람들일까?
10,꼭 한 번 더 보고 싶은 영화...
10,무슨 글자수를 채우래?
10,팀 로스 연기 짱 잘해...
10,playing love.. 갖고싶은곡 몇번을봤는지 몰라요 이영화..
9,"감동적인 OST와 스토리, 피아노치는 나인틴헌드레드의 모습은 10점을 주고싶다. 금요일 저녁 퇴근 후 맥주 한캔을 마시며 극장에서 혼자보기 좋은 영화다. 그러나 중간에 여자숙소에 몰래 들어가, 자신을 모르는 어린 여자의 입술에 키스를 하는 모습에서는 아름답지 않고 범죄처럼 느껴져서 살짝 아쉬웠다.. 그리고 맥스의 동공지진이 살짝 과했지만, 음악의 감동은 다른 단점들을 상쇄하는 것 같다. 일단 피아노 음악을 좋아한다면 추천한다."
10,말이필요없음 그냥 명작나오는 곡들도 다 너무 좋고 배우들의 잔잔하면서도 진한 연기가 너무 인상적이어서 계속 기억에 남네요평생 기억속에 가지고 갈 영화가 될거에요스토리가 워낙 좋고 재밌어서 부모님께서 자녀들에게 권해볼 수있을것같네요 ㅎㅎ
9,일단 보기 시작하면 결코 멈출수 없다.그대로 빨려들어감
10,"인상깊은 장면이 참 많은 영화였다.여자도, 친구도, 세상에 대한 호기심도결국 이끌어내지 못했던 미지의 세상에 대한 용기.인간은 결국 자신을 알아주는 곳에서 가장 용기내는 존재이다."
10,음악을 들을때마다 가슴이 아린다.
10,우리는 우리가 편안함에 안주하는 삶이란 배에서 내려서 미지의 세계로 탐험을 떠날수 있는 용기를 갖고 살아가는지를 자문하게 만드는 영화입니다.
10,중간중간 오글거릴수도 있지만 음악 영상미등등 감동적인 너무나 좋은 영화다.
10,최고의 음악 영화. 모리꼬네의 위대함이란!!
10,주인공의 피어노 선율 너무나도 감동이었습니다..!!
10,명작입니다. 왜 이제 봤나 싶은 영화입니다.
10,잔잔하게 인생에 대한 깊은 통찰력
10,세상에 존재하지 않았지만 피아노 앞에서만큼은 빛났던 나인틴 헌드레드. 나의 맘속에서는 영원할것같다. 너무나도 아름답던 연주곡도
10,피아노...이야기..그리고 후반은 인생 이야기.  남자주인공 눈빛연기 정말 대단하다..공허하고
10,이렇게 신기한 소재와 전개는 처음...감동적입니다. 꼭 보세요. 후회하지 않을 겁니다.
10,제발 이런 영화 많이 나오게 해주세요...
9,흑인피아니스트와의 대결 장면 굿...  근데 그 흑인재즈피아니스트 연주도  주인공 못지않게 좋다
10,내가살아야하는 존재 그존재의이유
10,인생영화입니다. 음악도 좋아요
10,영화관에서 봐야 더 재밌는 영화인것 같아요.작은 화면으로 봤으면 자칫 지루해 보일수도 있는데 큰 화면과 음악을 같이 들으면서 보이까.. 정말 최고네요.연령대에 따라 주인공의 마지막 선택의 의미를 이해하는 정도가 다를것 같다는 생각이 드는 명작이네요.
10,스필버그 a.i랑 함께 최고의명작으로 꼽는 두영화중 하나. 감동적이고 사무치게 평생 남을만한영화. 소장할가치가충분함.. 다른상업영화들 베트맨 인셉션 스파이더맨 어벤저스 같은류는 수준이너무낮다..
6,나인틴이 밤에 여자 숙소 들어가서 몰래 입맞춤 하는 장면은 왜 넣었는지 모르겠음. 확실한건 이 영화가 지금 나왔더라면 매장 당했을거다.그리고 트럼펫 부는 사람은 왜자꾸 눈알 굴리는거지? 거슬려서 집중 안됐음
6,동공지진 때문에 도무지 몰입이 안됨 ㅠ
10,피아노를 통해 그가 하고픈 이야기를 모두 들려주는 아름다운 영화.남들은 평범한 이동수단으로 생각하는 배가 그에겐 삶 그 자체였던 것이다.
10,"제목만 보고 끌려 보았지만, 여운이 참 오래 가는 좋은영화"
10,음악도 좋고 판타지 같은 드라마도 좋았습니다. 순수와 고독의 아픔도. 다만 재즈의 창시자를 저렇게 희생시켜도 문제 없나요?
10,차라리.다른배로옮겨타지ㅠ 작품성 높은 작품. 주인공은  태어난곳에서 죽네요. 버림받앗다는게 인생을 다시생각하게한 계기가된듯..
10,재개봉도완벽한승리를!!!그린북을3번본사람으로써신이내린사람들이만든영화가아닐까나...
8,"평생 바다와 함께 떠다니는 피아니스트는 바다의 목소리를 듣지 못한 채 사람의 이미지에 영감을 얻어 피아노를 연주한다. 88개의 건반 속 세상이 본인에게는 확실한 세상. 육지의 무한한, 불확실한 삶(운명)에 대한 두려움 때문에 끝내 배와 함께 생을 마감한 사람. 그의 연주는 아름다웠으나 사랑도 도전도 하지 못한 채 이민자들의 꿈과 희망만 지켜보는 사람. 그가 불행한가. 육지로 희망찾으며 방랑하는 우리가 불행한가. 아니 누가 더 행복한가."
8,10년 뒤에 다시 봐야할 것 같다
9,"피아노, 배, 사랑으로 한 사람의 삶을 만든 영화."
10,인생의 기로에서 다시보면 좋을 영화
10,이 영화를 선택해서 볼 수 있다는 것은 당신만의 행운^^
10,
10,다시봐도 또 다시봐도 음악 한곡한곡 나올때마다 소름이에요.  정말 인생영화
10,다세포소녀같은 영화도 6점 줬으면서 이영화를 5점 주는 박평식은 대체...???  얼마를 받아쳐먹은 게야??
10,영화와 음악의 두 거장이 만나 또 다시 이룬 완벽한 명작
