score,reple
10,20년간 보아온 영화들 중 내 인생의 영화 베스트10에 넣겠다.
10,":""사람은 왜 앞모습만 보려고 할까?""....친구 가족들 그리고 거리의 사람들 화려한 앞모습 그 뒤에 쓸쓸한 뒷모습을 본다면 마지막에 자신을 뒷모습이 보일것입니다"
10,자꾸 눈물이 나는데 정확히 왜 눈물이 나는지 모르겠다.
7,가족 구성원들이 보통 사람은 아닐세... 특히 꼬마는 거의 철학자...
10,영화로인해 인생을 2번살수있다는데 모든게 여기들어있다.
9,"처음엔 지루하다 느꼈는데, 점차 영화속 인물들 하나하나의 모습이 진짜 우리가 살아가는 그 모습 자체라고 느껴졌다."
10,마지막 장면이 가슴에 사무친다.
9,삶은 복잡하지도 단순하지 않다. 그냥 같이 늙어 갈뿐.
10,하나 그리고 둘. 죽음과 탄생. 구름과 나무. 풀 장에서 자유형과 세면대에서 잠수. 뒷통수와 모기를 쫒는 카메라. 반쪽짜리 진실. 아직 이름 없는 아기. 간접적인 살인 경험. 첼로와 피아노 그리고 자전거. 타이페이와 도쿄. 그리고 다시 하나 그리고 둘
10,정말 인생의 영화중 한 편.
10,부산국제영화제에서 이 영화를 보았다. 내 인생의 영화가 바뀌었다.
10,영화 속의 삶.  다시 생각하게 된다.
10,이 영화가 그의 유작이 될줄이야.. 대만의 오늘과내일
9,영화의 존재 이유 증명! 나머지 1점은 아직 목격하지 못한 당신이 완성할 것.
9,이러한 분위기와 영상미를 어떻게 설명할수있을까요. 세월까지 곁들여져 클래식한 분위기까지 더해져 아련해지는 영화. 이게 우리가 영화를 보는 이유인가요?
10,솔직히 너무 좋지 않나. 오래된 명작들을 여전히 극장에서 찾아 볼 수 있다는 것이.
10,마지막 양양의 편지를 잊을 수 없다
9,생의 영롱한 순간들. 삶은 그다지 복잡하지 않다고 말하는 거장의 따뜻한 관찰
10,"인생, 감정, 눈물, 고통, 하지만 새로운 삶"
9,"양양의 뒤통수 사진, 못 말리는 아디, 윤윤과 샤오얀과 아디의 삼각관계, NJ와 셰리의 첫사랑, 인생의 역경을 맞아 절로 떠난 민민, 리리와 패티 등등등. 한 편의 영화에 담긴 무수한 인생사가 놀랍다. 인생이 이런 것이구나 싶다."
10,모든 대사가 명언이 되었던 영화 !!해마다 이영화를 보며 내 나이의 흐름과 생각을 느낀다 .
10,양양이 일기를 읽어나가는 마지막 장면에선 울컥한 마음에 눈물이 난다.
10,나도 내 뒷통수 봐주는 사람 있었으면 좋겠다
8,상영관이 더 많았으면 좋겠어요
10,말로 설명 못 할 여운이 진함..
8,영화는 세상을 들여다보는 창문이 되어간다
8,"세대를 아우르는 사랑과 화합의 시선, 그 삶의 희노애락."
10,가족 하나하나의 이야기가 너무 좋았어요
8,흘러간다흘러가
10,양양의 말이 끝나는 동시에 눈물이 났다. ㅠ.ㅠ
10,할머니... 왜 세상은 기대와는 다르죠? / 다른 사람이 시키는대로 살아가는 건 비참한 일이야
10,러닝타임 긴 영화를 안 좋아하지만.. 재개봉했을 때 극장에서 보기 정말 잘했음.. 여운이 긴 영화
10,인생영화. 마음에  오래 남을 대사와 장면
9,"처음 1시간 동안에는 예상과는 다른 전개 따라가느라 급급했는데, 1시간 반 정도 이후에는 점차 개몰입하기 시작...^^;; 다시 한번 관람하면서 온전히 느껴봐야겠습니다. 기존 관람기가 양양과 카메라에 집중된게 많아서 첫 핀트를 잘못 맞췄던 듯ㅠㅠ"
10,"""보이지않는 모습들을 보여주는 사람이 되고 싶어요""  에드워드 양 감독의 유작인 이 영화는 그의 간절함 소망이 실현되는 순간이다."
10,뒷모습과 함께 삶을 생각하게 해주신 에드워드 양 감독님 존경하고 감사합니다.
3,와 진짜 지루하다 그냥 뭔가가 있을까 해서 봤지만 그리 특별한 건 없다.
10,어느새 시간이 흘러 팅팅이 아닌 NJ의 마음으로 영화를 보고 있는 나를 발견하고 아...나도 이제 어른이 됐구나 싶다. 또 찾아보게 될 영화.
10,"우리가 잘 알지 못하고 볼 수 없는 우리의 뒷모습 또한 우리이며, 우리는 반쪽짜리 앞모습만이 아닌 뒷모습을 가진 온전한 우리로서 살아간다."
10,영원히 뒷 모습을 볼 수 없을지라도    떠나간 시간을 붙잡지 못할지라도    다시 돌아간다 해도 똑같을지라도     그럼에도 불구하고 매일 새로운 삶이기에   그렇게 살아가는 모습이 나쁘지 않다고  별거 아닌 인생이기에 더 살 가치가 있다고      영화는 묵묵히 보여준다.
10,
8,잔잔하다 그리고 아프다
7,긴 런닝 타임에도 불구하고 종종 인생을 깨닫게 해주는 좋은 선문답 같은 대사도 있고 잠잠하나 잠잠하지만은 않은 작품이다
10,나도 이제 다 컸나보다..
9,삶에 대한 섬세한 통찰력
10,최고...예전에 dvd 샀었어요
8,이제껏 내 뒷모습을 보지 못하고 산 것 같다. 보여지는 내가 아닌 진정한 나를 보며 살자.
8,아이의삶 어른의삶 남자의삶 여자의삶지루하고재미없다 그래도끝까지보게되는 영화
10,"3시간동안 세상을 보았다. 모든 사람의 삶을, 내 뒷모습을 보는 법을."
10,내가 보지 못하는 나의 모습
10,"제가 보는 세상은, 너무 아름다워요"
10,에드워드 양 감독 마지막 작품
10,에드워드 양을 추억하며.. 나의 뒷모습은 어떠할까
10,어딘지 모르겠지만 여운이 깊게남는다
9,내 인생 곁에 두고 거듭 보며 곱씹어볼 가치가 있는 영화.
4,지루해요.. 내 3시간....
10,이 세상에 영화가 존재하는 이유
10,인생에대한 빛나는 통찰
10,내가 누구인지 말할 수 있는 자는 누구인가?
8,인생은 영화와 같고 영화는 인생과 같다
10,할말이 없네 .. 좋은 영화
10,나도 그생각을 했었지 다시 그때로 돌아가면.. 돌아가도 다시 이길로 올거란걸..인생에 대한 깊이있는 성찰과 아름다운 장면들..
10,"결혼식이 주는 소음이라니...단한번도 상상해본적도 없는,깨달음.혹,중국어 때문인가?"
10,영화 그리고 삶
10,어딘가 채워지지 않은 - 결핍의 것들과 사람들
10,봐야할 영화
10,결혼식에 의한 시작과 장례식을 끝으로 보이는 내리막 길
8,영화에서 보고 싶었던 것들을 실제로 영화에서 만났을 때의 서프라이즈
8,하나 그리고 둘 그 이유를 분명히 보여준다
10,진실로 듣는것과 보는것.보이지않는것을 느끼는법을 그는 알고있었다.
9,삶은 하나둘 일어나고 스러져 가는 것...
9,"좋아요, 보고나서 몇일동안이나 한장면한장면 곱씹어보았던 영화"
10,최고의 영화
5,전하고자하는 메시지는 어찌저찌 알겠으나 이렇게 지루하고 산만하게 풀어야했는지... 잔잔하게 바람피는 영화
10,Perfect! 꿈을 체험한 느낌!
9,사려깊고 차분하게 바라보는 일상. 내 삶도 영화가 되겠구나.
10,영화는 고스란히 내 삶 속에서 계속된다.
4,20여년전 개봉당시엔 센세이션한 영화였는지도 모르겠으나.. 꽤나 지루했고.. 전하고자하는 메세지도 좀 애매.. 다소 과대평가된 영화같습니다.
6,너무 늘어지고 주제도 잘 모르겠다  길이는 왜 그렇게 긴지...
10,"영화가 인간의 삶의 모방이라면, <하나, 그리고 둘>은 가장 완전한 모방이다."
10,미국영화 보이후드를 봤을 때와 비슷한 감상이 드는 영화였어요. 인생을 생각할 수 있는 훌륭한 작품!!!!
6,러닝타임이 지루하더라도 인생은 담겨있다.
10,"결혼식으로 시작해 장례식으로 끝난 이야기는 그저 우리네 삶이다. 하늘과 땅, 둘이 당겨 천둥이 치듯, 후회와 반성은 뒤에서 내일의 설렘과 욕망은 앞에서 주거니 받거니 스파크를 튀기고 비로소 우리 삶은 아름답다. 뒷모습을 보여주고 싶다던 양양의 카메라 덕에 내일은 조금 더 좋은 하루가 될 것 같다."
8,
9,우린 서로 왁자지껄하게 친화력있게 살아가는 줄 알고행동하지만 내면에는 하나씩 슬픔이있다
10,우리의 삶과 멀리 떨어지지 않은 이야기로가장 평범하지만 가장 기억에 오래 남을 영화
10,
10,
7,영화관에 내리는 비를 바라봅니다... 많이 어색한ATM...
8,자자자자 올리자 올려 올려요
8,초반에는 조금 지겨웠는데 시간이 지날수록 몰입이 잘되고 많은생각이 드게된 영화
7,"메세지도 좋고, 전반적으로 괜찮은 좋은 영화였다. 근데 러닝타임이 많이 길고 늘어진다 ..ㅜㅜ"
7,참 많은 생각이드네요.
7,잔잔한 감동이 있네요~
8,영원히 보지 못할 내 뒷모습은 어떻게 기억될까 .
10,삶과 죽음.그리고 그 삶을 다양하게 생각해보게끔 해주는 영화.3시간 가까이 되는 영화가 지겹지 않았다.
