score,reple
10,재수없어서 제섭이에요? 정 가서 정가영인가?ㅋㅋㅋ
10,오늘의 정가영이 어제의 정가영에게. 그리고 내일의 정가영으로.
10,"정가영,,,당신만을 사랑해스토리가 너무 매력있다. 분명히 호불호는 갈릴 것이지만 분명히 매우 좋아할 사람들도 있을 영화"
10,보면 볼수록 정이 가는 울 정가영 감독님 하고 싶은거 다해요!!! 정가영 사랑해!!
7,부국제때 잘봤습니다 ㅋㅋㅋ발칙한영화ㅋㅋ 찌질한 방어연애 그자체를 보여주는ㅋㅋ 꼭 깐느영화제 가시길 !!ㅋㅋ
8,이번에도 대사빨 좋고 솔직하고 시원시원 쿨하고 적당히 예쁘게 감추지 않고 형식적으로는 일기장처럼 층이 복합적이고 그렇다고 지리멸렬하지는 않고 연기들도 좋고 무척 재밌었습니다만 소재가 데뷔작이랑 겹치네요. 좀더 평가받아야할 연출자인듯.
8,대사가 너무 좋았어요ㅜㅜㅜㅜ
6,"정가영 감독만 할 수 있는 영화. 누가 따라 할래도 할 수 없다. 앞으로도 쭉 감독님이 하고 싶은 이야기 해나갔으면 좋겠다. 유니크하고, 좋아하는 사람들은 좋아할 영화를.."
6,이미지보다 말이 많은 영화. 대사들을 어떻게 이렇게 잘 쓰고 잘 말할 수 있을까.
7,감독 정가영과 사람 정가영의 두가지 고민이 담겨있는 영화. 깐느에서 꼭 만나요
8,정가영의 영화속 주인공은 똥파리 양익준같은 찌질섹시미가 있어서 좋음
10,팬이에요 역시나 좋았어요 근데 항상 ost 가 좋았었는데 요번엔 없어서 아쉬웠어요 !
10,정가영 최고 ㅎㅎ 엄마 나 좋아하는 사람이랑 뽀뽀하고 싶은 사람이 달라 !! ㅋㅋㅋ
10,나는 내 섬에서 혼자 있는데. 그 사람 기다리면서.
10,"정가영은 사랑에 있어서 솔직하고 매우 주체적이다. 나는, 줄곧 그래왔지만, 앞으로 정가영이 무얼하든 끝까지 응원하기로 했다. 계속 정가영의 영화를 보고 싶다."
6,캔 유 필 마이 하트비트?
10,이석형 배우 연기 진짜 너무 좋다 꿈의제인 때 알게됐는데 진짜 너무 연기 좋다
6,러닝타임이아쉽다 발칙하네
6,좋은 대사 킬링타임으로 볼만한 영화
10,"한 번 볼 영화가 아닌데요? 조만간 맥주 마시면서 또 한 번 보려고 하는데, 정가영 감독님 갈수록 성장하시네요. 만드는 영화마다 여운이 참 깁니다."
10,ㅋㅋ 정가영 초코파이설
10,재밌었어요
3,넘 지루하고 재미가 없다  70분이길 망정이지
1,한국독립영화의 현주소
3,통닭천사인줄 알았네요
